"param_iteration","timeperiod","Lifestage","mean_MR","sd_MR"
1,"Soon","Adult",0.22736776929598,0.307027103750787
1,"Soon","Seedling",0.215751906418102,0.2674086597619
1,"Soon","Subadult",0.205604645722381,0.276168060508311
1,"After","Adult",0.0746690312588301,0.130002272100674
1,"After","Seedling",0.121551742598299,0.168554462316365
1,"After","Subadult",0.118072907833119,0.179824239457012
2,"Soon","Adult",0.0380568961387978,0.10817620507553
2,"Soon","Seedling",0.117379425487964,0.178534715102071
2,"Soon","Subadult",0.0634284998645882,0.119413456223939
2,"After","Adult",0.0172584817876928,0.0479824289982167
2,"After","Seedling",0.0779044977250609,0.129665418656277
2,"After","Subadult",0.0472155583604462,0.0958926009063566
3,"Soon","Adult",0.121557271932777,0.240957727259001
3,"Soon","Seedling",0.125725723290422,0.222626626175386
3,"Soon","Subadult",0.11650408970462,0.204064359361855
3,"After","Adult",0.0433782124652353,0.0882166301640577
3,"After","Seedling",0.0777963053897944,0.129454102847502
3,"After","Subadult",0.0675523673154412,0.119564516559862
4,"Soon","Adult",0.0861328550665368,0.195267044068074
4,"Soon","Seedling",0.121820048918351,0.208049017214368
4,"Soon","Subadult",0.0759913391589069,0.128701304708787
4,"After","Adult",0.0230500665411144,0.0599902674867681
4,"After","Seedling",0.0761731370966763,0.120960293848584
4,"After","Subadult",0.0649916085911338,0.116782715893288
5,"Soon","Adult",0.297826852583484,0.342437927830978
5,"Soon","Seedling",0.311080386833309,0.333127755263628
5,"Soon","Subadult",0.315655491384322,0.348617145989954
5,"After","Adult",0.0643722776167853,0.109111610467532
5,"After","Seedling",0.109510195487925,0.165474143180653
5,"After","Subadult",0.0825503003369136,0.136941813491881
6,"Soon","Adult",0.0985194081234708,0.195663101979546
6,"Soon","Seedling",0.164073209550464,0.26144259283502
6,"Soon","Subadult",0.101562379121733,0.182978448845778
6,"After","Adult",0.0376229464588826,0.0815434539430444
6,"After","Seedling",0.0863178729447576,0.131043277736532
6,"After","Subadult",0.0598607334835129,0.108477923751364
7,"Soon","Adult",0.0944638695373473,0.211884481964363
7,"Soon","Seedling",0.113218087157974,0.194522142705987
7,"Soon","Subadult",0.0710151356182377,0.137709412421008
7,"After","Adult",0.0170073128727271,0.046107055848779
7,"After","Seedling",0.0771919364484613,0.127163615309172
7,"After","Subadult",0.0498067582263091,0.106815730499678
8,"Soon","Adult",0.173093511956812,0.275098963474144
8,"Soon","Seedling",0.181932937589459,0.275457994544332
8,"Soon","Subadult",0.153649764475857,0.242787215495367
8,"After","Adult",0.0614613487275346,0.109776593349033
8,"After","Seedling",0.0982300174538623,0.144131096958155
8,"After","Subadult",0.0724437706414104,0.121921237894667
9,"Soon","Adult",0.0810596471294053,0.19140119482322
9,"Soon","Seedling",0.119641895972838,0.185802971937428
9,"Soon","Subadult",0.0892457262667735,0.15904538986434
9,"After","Adult",0.019540177131631,0.0564554810990207
9,"After","Seedling",0.0838323363473839,0.128692273399707
9,"After","Subadult",0.0474559037954323,0.0939269961317816
10,"Soon","Adult",0.0380088328933811,0.0891283393547175
10,"Soon","Seedling",0.104016434463175,0.185617412655893
10,"Soon","Subadult",0.068587187479408,0.125062674123305
10,"After","Adult",0.0178436527248997,0.0508761135555132
10,"After","Seedling",0.0759844212872416,0.12789326672991
10,"After","Subadult",0.0517086972567844,0.103172752853914
11,"Soon","Adult",0.150848161381543,0.275658204444015
11,"Soon","Seedling",0.175708369281634,0.250439179559574
11,"Soon","Subadult",0.0780848234187472,0.151056104163516
11,"After","Adult",0.0159654716247308,0.0448650007477189
11,"After","Seedling",0.0601761228170123,0.10619390216268
11,"After","Subadult",0.0450925255215482,0.0934280106892312
12,"Soon","Adult",0.0651171930941467,0.140947897359768
12,"Soon","Seedling",0.121970218649477,0.185851763185514
12,"Soon","Subadult",0.0752296270441732,0.127309989201102
12,"After","Adult",0.0314893072764836,0.0711410819822824
12,"After","Seedling",0.085462657222929,0.144693560485883
12,"After","Subadult",0.0646324419098886,0.111401790483862
13,"Soon","Adult",0.218854674185086,0.321867136954725
13,"Soon","Seedling",0.218803956966072,0.291140332633343
13,"Soon","Subadult",0.158605996337743,0.2329004395996
13,"After","Adult",0.0397291164352917,0.090670230458454
13,"After","Seedling",0.119073215322977,0.16893302948616
13,"After","Subadult",0.0687169345988493,0.11957484252138
14,"Soon","Adult",0.297048623025842,0.336605479726246
14,"Soon","Seedling",0.234814257384972,0.300571128104639
14,"Soon","Subadult",0.204031651515129,0.273763567786681
14,"After","Adult",0.12251975696562,0.176803515596078
14,"After","Seedling",0.118252095800413,0.178876778247173
14,"After","Subadult",0.132169301612033,0.191155640111312
15,"Soon","Adult",0.263458143605139,0.315734741231641
15,"Soon","Seedling",0.218238711108218,0.287072617055079
15,"Soon","Subadult",0.198336901782405,0.255322694341587
15,"After","Adult",0.0535472227211605,0.103492594641577
15,"After","Seedling",0.111701887401493,0.179086448141924
15,"After","Subadult",0.0920106725039969,0.161638851264527
16,"Soon","Adult",0.365737184704526,0.332068634805007
16,"Soon","Seedling",0.296149218814165,0.305235927021586
16,"Soon","Subadult",0.28895179202004,0.300166275195976
16,"After","Adult",0.116329645743079,0.172595841689354
16,"After","Seedling",0.144797573703551,0.195689214341079
16,"After","Subadult",0.109764059567578,0.1621187629369
17,"Soon","Adult",0.0667242665394256,0.145796771299265
17,"Soon","Seedling",0.14476885952184,0.222309092148016
17,"Soon","Subadult",0.0767939165868046,0.140305136634216
17,"After","Adult",0.0126719015179942,0.0433487142779247
17,"After","Seedling",0.0634767492329713,0.112783876465772
17,"After","Subadult",0.0490407544410496,0.107073828564447
18,"Soon","Adult",0.0941420885723508,0.194612478276069
18,"Soon","Seedling",0.137957279796387,0.216793776823236
18,"Soon","Subadult",0.09647816524876,0.151790783737138
18,"After","Adult",0.0418774743471919,0.086694832662144
18,"After","Seedling",0.0846036066072636,0.140922864463476
18,"After","Subadult",0.0636922828042575,0.129666776127962
19,"Soon","Adult",0.0823861140750723,0.189448372762864
19,"Soon","Seedling",0.12299690605997,0.229676448694219
19,"Soon","Subadult",0.0782845961794523,0.138693440237318
19,"After","Adult",0.0277654049807365,0.0691573473915852
19,"After","Seedling",0.0886926907928405,0.140594506868208
19,"After","Subadult",0.0565427715820717,0.104649019485095
20,"Soon","Adult",0.160163617520075,0.239276011891398
20,"Soon","Seedling",0.164219826865036,0.247083296852956
20,"Soon","Subadult",0.182207027098572,0.246190897945256
20,"After","Adult",0.0819028179694176,0.139261672115444
20,"After","Seedling",0.127050732134298,0.183728517132003
20,"After","Subadult",0.114303925858136,0.176934941898892
21,"Soon","Adult",0.317619874857108,0.375284925908162
21,"Soon","Seedling",0.302700827759539,0.34393438102484
21,"Soon","Subadult",0.22424387750977,0.315692444649508
21,"After","Adult",0.0283860355360471,0.0677659043151802
21,"After","Seedling",0.0880015642063213,0.137600623455457
21,"After","Subadult",0.0705003740544492,0.108440994777243
22,"Soon","Adult",0.109938017487238,0.222440625331087
22,"Soon","Seedling",0.123135767065899,0.213726558445504
22,"Soon","Subadult",0.100497178400191,0.179754535702633
22,"After","Adult",0.0228687937964216,0.054388582413361
22,"After","Seedling",0.0596071015563851,0.105808934784218
22,"After","Subadult",0.0569801355560738,0.115266647091958
23,"Soon","Adult",0.419180824006434,0.371697511270662
23,"Soon","Seedling",0.346235416018781,0.357096204098218
23,"Soon","Subadult",0.390470604453937,0.37299031689122
23,"After","Adult",0.0989578522649786,0.143714467533173
23,"After","Seedling",0.140923641036314,0.195302915691136
23,"After","Subadult",0.123605008343102,0.185351627740949
25,"Soon","Adult",0.0912067591779132,0.19373781025262
25,"Soon","Seedling",0.134869249030112,0.238777550476472
25,"Soon","Subadult",0.0972189278950948,0.191879118671116
25,"After","Adult",0.0271959860326784,0.0708539881797606
25,"After","Seedling",0.0690959959333703,0.116088128049658
25,"After","Subadult",0.0512995754305165,0.0926472159310909
26,"Soon","Adult",0.0699688237192181,0.173546921409692
26,"Soon","Seedling",0.138888683570125,0.2187061954882
26,"Soon","Subadult",0.0619144764490743,0.124651813835989
26,"After","Adult",0.0195680683452114,0.0562713990097673
26,"After","Seedling",0.0860113754190884,0.140299679060098
26,"After","Subadult",0.0456413789137184,0.10181709773463
27,"Soon","Adult",0.101934249738129,0.198468499672749
27,"Soon","Seedling",0.156891692303234,0.230841376013165
27,"Soon","Subadult",0.103657291961654,0.176873103704288
27,"After","Adult",0.0150563981327032,0.0497136464735257
27,"After","Seedling",0.0602294469516812,0.11497709984169
27,"After","Subadult",0.0453355367218721,0.0869581894790066
28,"Soon","Adult",0.0777238889723346,0.184201877781229
28,"Soon","Seedling",0.115779662061757,0.192699128873221
28,"Soon","Subadult",0.0614812950359535,0.103624475403767
28,"After","Adult",0.0139879884219998,0.040054998364041
28,"After","Seedling",0.0774936468740935,0.123224007479591
28,"After","Subadult",0.0550397005007314,0.103464162757183
29,"Soon","Adult",0.168980473924811,0.262158746838049
29,"Soon","Seedling",0.221934965418221,0.292373709927976
29,"Soon","Subadult",0.157668840505457,0.22911780288814
29,"After","Adult",0.0506467603249746,0.0952752977707656
29,"After","Seedling",0.0821303168656251,0.124524032781475
29,"After","Subadult",0.0726152312531178,0.123285637758345
30,"Soon","Adult",0.0896901104149168,0.20375490042583
30,"Soon","Seedling",0.104216607320805,0.180823137005168
30,"Soon","Subadult",0.0615244108349997,0.138920063156335
30,"After","Adult",0.0173752173676458,0.0493759040097103
30,"After","Seedling",0.0756282972067911,0.126717134122933
30,"After","Subadult",0.0384968469683088,0.0793134292024614
31,"Soon","Adult",0.0703858274353599,0.162168888935011
31,"Soon","Seedling",0.129586199933802,0.22208717108295
31,"Soon","Subadult",0.0912858153235603,0.157988223414871
31,"After","Adult",0.0227967176883683,0.066730620961413
31,"After","Seedling",0.074269310876582,0.120090569350136
31,"After","Subadult",0.0685844844664241,0.117767503276776
32,"Soon","Adult",0.209195005249907,0.319923790076407
32,"Soon","Seedling",0.191319153325357,0.275439022900318
32,"Soon","Subadult",0.160531597222095,0.236671277582908
32,"After","Adult",0.0355699759993134,0.069563294481388
32,"After","Seedling",0.0758395880331357,0.128131844995076
32,"After","Subadult",0.07625857353353,0.116280012921809
33,"Soon","Adult",0.210776059940758,0.302178604738978
33,"Soon","Seedling",0.197525725753417,0.274281169278374
33,"Soon","Subadult",0.164611606655945,0.250458885426997
33,"After","Adult",0.0464413549464948,0.0891427411694536
33,"After","Seedling",0.0853231310283845,0.130504561135709
33,"After","Subadult",0.0693184591523042,0.117634789613271
34,"Soon","Adult",0.178863708483251,0.259896692395711
34,"Soon","Seedling",0.208149314057785,0.297910453145129
34,"Soon","Subadult",0.173775933160813,0.264666605901817
34,"After","Adult",0.0716535342799275,0.119827725761832
34,"After","Seedling",0.115057445013736,0.157363956598184
34,"After","Subadult",0.0981883741394938,0.167085967025657
35,"Soon","Adult",0.0833398224444956,0.170515290287708
35,"Soon","Seedling",0.120540677100237,0.173037011163954
35,"Soon","Subadult",0.0617957344878754,0.101916677249478
35,"After","Adult",0.0287629442637222,0.067675954760863
35,"After","Seedling",0.0691696150722605,0.117743173400389
35,"After","Subadult",0.0482263989276663,0.0931165547574999
36,"Soon","Adult",0.171353025142371,0.278068009818757
36,"Soon","Seedling",0.195520018434047,0.281808578791913
36,"Soon","Subadult",0.153388723328944,0.223575354301761
36,"After","Adult",0.0376267972903484,0.0787872767426222
36,"After","Seedling",0.0702577882589848,0.112363893988625
36,"After","Subadult",0.0684603167177886,0.113737802847423
37,"Soon","Adult",0.219363543342378,0.335329072095084
37,"Soon","Seedling",0.162296377385919,0.244631736027277
37,"Soon","Subadult",0.160860460810002,0.238295282530556
37,"After","Adult",0.0358560398475993,0.0763533932626633
37,"After","Seedling",0.0951300810288984,0.156173796245062
37,"After","Subadult",0.0667639117506284,0.10444886682124
38,"Soon","Adult",0.399498990899978,0.381215351751882
38,"Soon","Seedling",0.367887214784908,0.349124076572804
38,"Soon","Subadult",0.395014181932777,0.367791818651532
38,"After","Adult",0.105188471025745,0.168261877784464
38,"After","Seedling",0.162548598407966,0.212968889033864
38,"After","Subadult",0.152232219885277,0.205528354111408
39,"Soon","Adult",0.231815281637327,0.300970726613725
39,"Soon","Seedling",0.192193095376165,0.282089431081914
39,"Soon","Subadult",0.162925514162967,0.263738519203256
39,"After","Adult",0.0273850059883303,0.0820158670099239
39,"After","Seedling",0.0705034879950795,0.127813376385594
39,"After","Subadult",0.0604390458456564,0.116358838730483
40,"Soon","Adult",0.061474805604865,0.137346941175628
40,"Soon","Seedling",0.117602857699748,0.190812286795159
40,"Soon","Subadult",0.0929276727043163,0.151899734617272
40,"After","Adult",0.0150964669162376,0.0435845002806626
40,"After","Seedling",0.0769636264467576,0.123383400998256
40,"After","Subadult",0.0545901045683392,0.112095408458078
41,"Soon","Adult",0.133857392051454,0.231215796378891
41,"Soon","Seedling",0.183380294966215,0.257893700680279
41,"Soon","Subadult",0.118780279574471,0.212198688133235
41,"After","Adult",0.0312993808103497,0.069281467956392
41,"After","Seedling",0.09683632207397,0.145134781994877
41,"After","Subadult",0.0669163789343892,0.114099326492235
42,"Soon","Adult",0.405723159025184,0.376092265256683
42,"Soon","Seedling",0.403122111531381,0.372047804792323
42,"Soon","Subadult",0.427209984452305,0.39156458824794
42,"After","Adult",0.188545614648247,0.246473270037186
42,"After","Seedling",0.186097308586554,0.249028323280627
42,"After","Subadult",0.182697067969403,0.230631855426781
43,"Soon","Adult",0.153658141564008,0.278089001547368
43,"Soon","Seedling",0.135902262626314,0.219045870580139
43,"Soon","Subadult",0.12879728148436,0.216818604496274
43,"After","Adult",0.0373757345274896,0.085430422205975
43,"After","Seedling",0.0845291552770197,0.132220554831456
43,"After","Subadult",0.0689324828415252,0.12984968331049
44,"Soon","Adult",0.402717625239527,0.365884003527639
44,"Soon","Seedling",0.385936795418897,0.372805746272616
44,"Soon","Subadult",0.355273384063476,0.357408274982293
44,"After","Adult",0.0601223943974941,0.117823862309046
44,"After","Seedling",0.0922945625189021,0.152279727490022
44,"After","Subadult",0.0824483154191385,0.140485825245146
45,"Soon","Adult",0.238985958903745,0.311820046314598
45,"Soon","Seedling",0.221430795391471,0.270276725005056
45,"Soon","Subadult",0.212917542376135,0.284183520861004
45,"After","Adult",0.0301854574630844,0.070436622043858
45,"After","Seedling",0.0756385192795776,0.128223076922571
45,"After","Subadult",0.0797572076292485,0.129802031066281
46,"Soon","Adult",0.189661914887304,0.29128975020072
46,"Soon","Seedling",0.197330914707354,0.254804986899166
46,"Soon","Subadult",0.105688697760021,0.185152799639239
46,"After","Adult",0.0260747605970314,0.064676042783428
46,"After","Seedling",0.0803855508528317,0.125699028419343
46,"After","Subadult",0.0673275152851081,0.118495531125902
47,"Soon","Adult",0.198678567282981,0.279267202519188
47,"Soon","Seedling",0.244284165624481,0.284810376668829
47,"Soon","Subadult",0.178989699398345,0.253594482222759
47,"After","Adult",0.0403983461742998,0.095852697895208
47,"After","Seedling",0.07787443364956,0.126354061500541
47,"After","Subadult",0.075406937772376,0.121509869302852
