"","time","sum_size"
"1",1,5381
"2",2,5496
"3",3,5514
"4",4,5611
"5",5,6212
"6",6,6682
"7",7,6536
"8",8,6631
"9",9,7558
"10",10,7302
"11",11,7499
"12",12,7202
"13",13,8065
"14",14,8418
"15",15,7975
"16",16,8016
"17",17,8278
"18",18,8046
"19",19,8436
"20",20,8560
"21",21,8607
"22",22,9373
"23",23,9132
"24",24,9433
"25",25,9597
"26",26,9532
"27",27,9541
"28",28,9448
"29",29,9773
"30",30,9673
"31",31,10171
"32",32,10346
"33",33,10545
"34",34,10658
"35",35,10925
"36",36,11210
"37",37,10656
"38",38,10859
"39",39,11292
"40",40,11379
"41",41,11524
"42",42,12096
"43",43,12721
"44",44,12055
"45",45,11899
"46",46,11948
"47",47,12090
"48",48,12420
"49",49,11978
"50",50,12187
"51",51,12189
"52",52,11939
"53",53,13020
"54",54,13352
"55",55,12734
"56",56,12773
"57",57,12918
"58",58,13534
"59",59,13602
"60",60,13624
"61",61,14193
"62",62,14244
"63",63,13861
"64",64,14434
"65",65,14345
"66",66,13771
"67",67,14338
"68",68,14722
"69",69,15394
"70",70,14841
"71",71,14799
"72",72,14659
"73",73,15328
"74",74,16343
"75",75,16423
"76",76,15971
"77",77,15723
"78",78,15556
"79",79,16545
"80",80,16608
"81",81,16256
"82",82,16846
"83",83,17048
"84",84,16523
"85",85,16608
"86",86,16933
"87",87,17389
"88",88,17572
"89",89,17742
"90",90,18065
"91",91,18551
"92",92,18634
"93",93,18925
"94",94,18807
"95",95,18536
"96",96,18722
"97",97,19516
"98",98,20347
"99",99,19755
"100",100,20310
"101",101,20474
"102",102,20331
"103",103,20217
"104",104,19826
"105",105,21301
"106",106,22134
"107",107,22258
"108",108,22010
"109",109,22281
"110",110,23421
"111",111,23408
"112",112,23952
"113",113,24114
"114",114,23835
"115",115,24069
"116",116,24609
"117",117,24240
"118",118,24565
"119",119,25335
"120",120,25084
"121",121,25200
"122",122,24549
"123",123,24860
"124",124,25385
"125",125,24774
"126",126,25317
"127",127,26108
"128",128,23161
"129",129,23542
"130",130,24601
"131",131,25526
"132",132,24405
"133",133,24749
"134",134,25712
"135",135,24232
"136",136,24750
"137",137,23997
"138",138,23972
"139",139,24709
"140",140,25062
"141",141,24822
"142",142,25178
"143",143,24721
"144",144,24279
"145",145,25217
"146",146,25652
"147",147,24573
"148",148,24907
"149",149,25491
"150",150,24947
"151",151,25059
"152",152,25287
"153",153,26060
"154",154,23587
"155",155,23667
"156",156,25393
"157",157,25055
"158",158,24703
"159",159,24668
"160",160,24556
"161",161,24535
"162",162,25076
"163",163,25213
"164",164,24789
"165",165,24105
"166",166,24213
"167",167,24475
"168",168,24764
"169",169,25097
"170",170,25401
"171",171,24355
"172",172,24494
"173",173,25298
"174",174,25422
"175",175,24379
"176",176,24658
"177",177,24319
"178",178,25110
"179",179,25535
"180",180,25561
"181",181,24981
"182",182,26098
"183",183,23109
"184",184,24186
"185",185,22567
"186",186,24076
"187",187,24504
"188",188,24555
"189",189,24443
"190",190,24092
"191",191,24971
"192",192,25484
"193",193,24421
"194",194,24317
"195",195,25347
"196",196,24698
"197",197,25380
"198",198,25439
"199",199,24761
"200",200,23962
"201",201,24947
"202",202,25422
"203",203,24060
"204",204,24382
"205",205,24523
"206",206,25512
"207",207,24660
"208",208,25403
"209",209,24827
"210",210,24183
"211",211,25089
"212",212,25146
"213",213,24509
"214",214,25593
"215",215,24796
"216",216,24567
"217",217,24028
"218",218,26308
"219",219,22709
"220",220,23208
"221",221,23959
"222",222,23360
"223",223,23579
"224",224,24326
"225",225,24482
"226",226,24884
"227",227,25314
"228",228,24570
"229",229,24111
"230",230,24608
"231",231,25307
"232",232,25344
"233",233,25436
"234",234,23506
"235",235,24064
"236",236,24777
"237",237,24672
"238",238,24958
"239",239,25706
"240",240,23758
"241",241,23817
"242",242,24741
"243",243,24777
"244",244,24311
"245",245,24889
"246",246,25279
"247",247,24823
"248",248,25562
"249",249,24643
"250",250,24850
"251",251,24614
"252",252,24624
"253",253,25460
"254",254,24375
"255",255,25728
"256",256,24389
"257",257,23731
"258",258,24089
"259",259,25077
"260",260,25233
"261",261,24233
"262",262,23831
"263",263,25038
"264",264,25989
"265",265,24187
"266",266,24694
"267",267,25330
"268",268,24742
"269",269,24354
"270",270,24853
"271",271,24491
"272",272,25226
"273",273,24535
"274",274,25584
"275",275,24594
"276",276,25440
"277",277,23456
"278",278,23775
"279",279,24624
"280",280,25116
"281",281,25749
"282",282,25263
"283",283,24381
"284",284,24448
"285",285,24173
"286",286,23818
"287",287,24424
"288",288,24397
"289",289,25658
"290",290,24803
"291",291,24187
"292",292,24915
"293",293,25150
"294",294,24943
"295",295,25025
"296",296,24717
"297",297,25209
"298",298,25193
"299",299,25964
"300",300,23695
"301",301,22627
"302",302,23160
"303",303,23488
"304",304,24260
"305",305,24349
"306",306,24113
"307",307,24144
"308",308,24812
"309",309,25974
"310",310,23910
"311",311,23041
"312",312,23972
"313",313,24334
"314",314,26343
"315",315,23951
"316",316,23569
"317",317,23479
"318",318,23377
"319",319,24196
"320",320,24443
"321",321,25171
"322",322,24638
"323",323,24547
"324",324,25017
"325",325,26351
"326",326,23485
"327",327,23341
"328",328,23040
"329",329,23755
"330",330,24135
"331",331,24820
"332",332,24726
"333",333,24466
"334",334,24575
"335",335,24426
"336",336,24432
"337",337,25465
"338",338,25200
"339",339,24978
"340",340,24797
"341",341,24948
"342",342,25442
"343",343,24144
"344",344,25352
"345",345,25123
"346",346,24176
"347",347,24838
"348",348,24801
"349",349,25675
"350",350,25229
"351",351,25497
"352",352,24715
"353",353,24760
"354",354,24271
"355",355,24645
"356",356,25142
"357",357,27374
"358",358,21755
"359",359,21730
"360",360,21996
"361",361,22028
"362",362,21830
"363",363,22604
"364",364,22760
"365",365,22770
"366",366,22877
"367",367,23882
"368",368,23762
"369",369,23671
"370",370,22958
"371",371,23937
"372",372,23743
"373",373,23851
"374",374,24602
"375",375,24620
"376",376,25345
"377",377,24666
"378",378,24959
"379",379,25114
"380",380,25796
"381",381,25509
"382",382,23833
"383",383,24217
"384",384,24620
"385",385,24829
"386",386,24981
"387",387,25561
"388",388,24860
"389",389,24214
"390",390,24394
"391",391,25484
"392",392,24140
"393",393,24928
"394",394,25894
"395",395,23779
"396",396,23819
"397",397,23481
"398",398,23922
"399",399,25004
"400",400,25470
"401",401,23690
"402",402,24505
"403",403,24647
"404",404,25707
"405",405,24427
"406",406,24675
"407",407,24006
"408",408,24346
"409",409,25587
"410",410,24392
"411",411,26150
"412",412,23378
"413",413,22695
"414",414,23026
"415",415,22953
"416",416,22922
"417",417,24206
"418",418,24139
"419",419,23855
"420",420,24870
"421",421,24391
"422",422,24425
"423",423,25095
"424",424,24824
"425",425,25648
"426",426,24575
"427",427,25195
"428",428,24546
"429",429,24362
"430",430,25330
"431",431,24412
"432",432,24566
"433",433,24003
"434",434,24182
"435",435,25878
"436",436,24271
"437",437,24851
"438",438,24459
"439",439,26105
"440",440,25241
"441",441,25118
"442",442,25619
"443",443,24417
"444",444,24615
"445",445,23831
"446",446,24054
"447",447,24485
"448",448,24163
"449",449,23926
"450",450,23850
"451",451,25020
"452",452,24910
"453",453,26072
"454",454,23756
"455",455,24712
"456",456,24292
"457",457,24238
"458",458,24513
"459",459,24829
"460",460,24067
"461",461,25117
"462",462,25012
"463",463,25144
"464",464,25996
"465",465,24307
"466",466,24040
"467",467,23790
"468",468,24109
"469",469,24872
"470",470,25107
"471",471,25238
"472",472,25144
"473",473,25018
"474",474,24210
"475",475,25073
"476",476,24663
"477",477,24570
"478",478,25981
"479",479,24632
"480",480,24776
"481",481,24852
"482",482,24781
"483",483,25592
"484",484,25324
"485",485,26096
"486",486,23307
"487",487,22863
"488",488,22571
"489",489,22745
"490",490,22970
"491",491,23625
"492",492,24005
"493",493,23478
"494",494,24776
"495",495,24438
"496",496,25366
"497",497,25064
"498",498,25333
"499",499,24507
"500",500,24712
"501",501,25098
"502",502,24499
"503",503,25894
"504",504,24684
"505",505,24926
"506",506,24692
"507",507,24790
"508",508,24893
"509",509,25560
"510",510,24988
"511",511,24574
"512",512,24906
"513",513,25778
"514",514,24325
"515",515,25071
"516",516,26024
"517",517,24632
"518",518,24840
"519",519,25608
