"","time","sum_size"
"1",1,5801
"2",2,6274
"3",3,6841
"4",4,7302
"5",5,9038
"6",6,8742
"7",7,8528
"8",8,8281
"9",9,8854
"10",10,8632
"11",11,8619
"12",12,9056
"13",13,10067
"14",14,9981
"15",15,10438
"16",16,10624
"17",17,11027
"18",18,11093
"19",19,11265
"20",20,10931
"21",21,11041
"22",22,11182
"23",23,12903
"24",24,12787
"25",25,12850
"26",26,13044
"27",27,13995
"28",28,14072
"29",29,15086
"30",30,14579
"31",31,15485
"32",32,15343
"33",33,15023
"34",34,14965
"35",35,15059
"36",36,15536
"37",37,15230
"38",38,16570
"39",39,18048
"40",40,18473
"41",41,17648
"42",42,19547
"43",43,18516
"44",44,18581
"45",45,18391
"46",46,19030
"47",47,18644
"48",48,20207
"49",49,19927
"50",50,19601
"51",51,20175
"52",52,21429
"53",53,20939
"54",54,21355
"55",55,20856
"56",56,22307
"57",57,23367
"58",58,22713
"59",59,23869
"60",60,24654
"61",61,24354
"62",62,25737
"63",63,25514
"64",64,24916
"65",65,24705
"66",66,24281
"67",67,24748
"68",68,25747
"69",69,23522
"70",70,24409
"71",71,24282
"72",72,24765
"73",73,25012
"74",74,25917
"75",75,25384
"76",76,23992
"77",77,24653
"78",78,25599
"79",79,24183
"80",80,24400
"81",81,25232
"82",82,25399
"83",83,25265
"84",84,24787
"85",85,25197
"86",86,25427
"87",87,24762
"88",88,24797
"89",89,25169
"90",90,25641
"91",91,24604
"92",92,25243
"93",93,23643
"94",94,25161
"95",95,24762
"96",96,26748
"97",97,23082
"98",98,24057
"99",99,23877
"100",100,24170
"101",101,24600
"102",102,25911
"103",103,23969
"104",104,25370
"105",105,25094
"106",106,25499
"107",107,24088
"108",108,23424
"109",109,24408
"110",110,24608
"111",111,24963
"112",112,25669
"113",113,25792
"114",114,24582
"115",115,24919
"116",116,24826
"117",117,25540
"118",118,24649
"119",119,25574
"120",120,24370
"121",121,26841
"122",122,22708
"123",123,24341
"124",124,23721
"125",125,23686
"126",126,23226
"127",127,24385
"128",128,25399
"129",129,25916
"130",130,24252
"131",131,23204
"132",132,23957
"133",133,24950
"134",134,26201
"135",135,24434
"136",136,24679
"137",137,25480
"138",138,26335
"139",139,23426
"140",140,23806
"141",141,23839
"142",142,23815
"143",143,23456
"144",144,24173
"145",145,24385
"146",146,24423
"147",147,25337
"148",148,25498
"149",149,24623
"150",150,26178
"151",151,25194
"152",152,25005
"153",153,25303
"154",154,24197
"155",155,24044
"156",156,25072
"157",157,25586
"158",158,25708
"159",159,23600
"160",160,24870
"161",161,23991
"162",162,23949
"163",163,24894
"164",164,26067
"165",165,23737
"166",166,26435
"167",167,23763
"168",168,23229
"169",169,23654
"170",170,22433
"171",171,23253
"172",172,23035
"173",173,23604
"174",174,24893
"175",175,26244
"176",176,23321
"177",177,24256
"178",178,23630
"179",179,24295
"180",180,24013
"181",181,24609
"182",182,26374
"183",183,23697
"184",184,24480
"185",185,24216
"186",186,23856
"187",187,25342
"188",188,25314
"189",189,24951
"190",190,25787
"191",191,24612
"192",192,24962
"193",193,25666
"194",194,24691
"195",195,25389
"196",196,24779
"197",197,24593
"198",198,24441
"199",199,25157
"200",200,24750
"201",201,26550
"202",202,23801
"203",203,24407
"204",204,24995
"205",205,24727
"206",206,25893
"207",207,24239
"208",208,25143
"209",209,24515
"210",210,25731
"211",211,26123
"212",212,23854
"213",213,22934
"214",214,23671
"215",215,24068
"216",216,23693
"217",217,23637
"218",218,24303
"219",219,25106
"220",220,25774
"221",221,25050
"222",222,24786
"223",223,25441
"224",224,25692
"225",225,24996
"226",226,24756
"227",227,25540
"228",228,25885
"229",229,24247
"230",230,24600
"231",231,24887
"232",232,25565
"233",233,25232
"234",234,24318
"235",235,25115
"236",236,25390
