"","time","sum_size"
"1",1,5762
"2",2,6452
"3",3,6573
"4",4,6364
"5",5,6588
"6",6,6514
"7",7,6734
"8",8,6436
"9",9,6744
"10",10,7157
"11",11,7137
"12",12,7287
"13",13,7591
"14",14,7608
"15",15,7897
"16",16,7874
"17",17,7845
"18",18,8068
"19",19,8173
"20",20,8952
"21",21,8835
"22",22,9202
"23",23,9192
"24",24,8945
"25",25,9204
"26",26,9553
"27",27,9936
"28",28,9487
"29",29,9094
"30",30,9828
"31",31,10215
"32",32,10792
"33",33,10366
"34",34,10526
"35",35,10666
"36",36,10426
"37",37,10177
"38",38,10806
"39",39,10746
"40",40,10590
"41",41,10716
"42",42,10319
"43",43,10788
"44",44,11600
"45",45,12319
"46",46,11428
"47",47,11527
"48",48,12558
"49",49,12971
"50",50,13371
"51",51,12602
"52",52,12749
"53",53,13400
"54",54,13398
"55",55,13246
"56",56,13125
"57",57,14159
"58",58,13667
"59",59,14308
"60",60,14261
"61",61,14781
"62",62,14814
"63",63,14687
"64",64,14139
"65",65,14451
"66",66,14395
"67",67,14394
"68",68,15026
"69",69,14608
"70",70,14335
"71",71,15042
"72",72,15050
"73",73,15606
"74",74,16156
"75",75,16301
"76",76,16595
"77",77,16362
"78",78,16310
"79",79,16976
"80",80,18326
"81",81,17784
"82",82,17662
"83",83,18137
"84",84,18906
"85",85,17912
"86",86,17936
"87",87,18532
"88",88,17815
"89",89,17486
"90",90,17479
"91",91,18034
"92",92,18392
"93",93,19858
"94",94,20007
"95",95,20469
"96",96,19639
"97",97,19354
"98",98,20767
"99",99,20633
"100",100,20567
"101",101,19959
"102",102,20466
"103",103,20925
"104",104,21210
"105",105,21597
"106",106,21077
"107",107,22107
"108",108,22855
"109",109,23214
"110",110,24287
"111",111,24306
"112",112,23927
"113",113,24016
"114",114,23834
"115",115,25010
"116",116,25015
"117",117,24837
"118",118,25398
"119",119,25335
"120",120,24628
"121",121,24608
"122",122,24856
"123",123,24936
"124",124,24260
"125",125,25172
"126",126,25051
"127",127,24673
"128",128,26414
"129",129,23563
"130",130,24118
"131",131,23998
"132",132,24589
"133",133,24319
"134",134,25246
"135",135,25781
"136",136,25680
"137",137,23883
"138",138,24756
"139",139,24725
"140",140,24242
"141",141,23283
"142",142,24143
"143",143,23648
"144",144,24832
"145",145,25937
"146",146,23902
"147",147,23217
"148",148,23242
"149",149,24064
"150",150,23765
"151",151,23905
"152",152,24215
"153",153,24206
"154",154,24638
"155",155,25503
"156",156,24518
"157",157,24760
"158",158,25939
"159",159,25983
"160",160,23645
"161",161,23120
"162",162,23659
"163",163,23835
"164",164,25272
"165",165,25376
"166",166,23538
"167",167,23588
"168",168,24216
"169",169,24877
"170",170,25110
"171",171,25211
"172",172,24673
"173",173,24865
"174",174,24459
"175",175,25313
"176",176,24606
"177",177,24992
"178",178,25778
"179",179,24323
"180",180,23876
"181",181,24280
"182",182,24566
"183",183,24419
"184",184,23696
"185",185,25236
"186",186,24685
"187",187,25336
"188",188,24710
"189",189,24924
"190",190,24939
"191",191,25885
"192",192,23366
"193",193,23713
"194",194,24698
"195",195,24736
"196",196,24911
"197",197,25744
"198",198,23707
"199",199,24681
"200",200,24414
"201",201,25196
"202",202,24994
"203",203,25146
"204",204,25183
"205",205,24624
"206",206,24240
"207",207,25434
"208",208,25578
"209",209,24394
"210",210,25022
"211",211,26307
"212",212,23783
"213",213,23192
"214",214,24180
"215",215,23634
"216",216,23306
"217",217,23527
"218",218,24667
"219",219,24306
"220",220,23851
