"","time","sum_size"
"1",1,5990
"2",2,6898
"3",3,6874
"4",4,8088
"5",5,8013
"6",6,7877
"7",7,8109
"8",8,8386
"9",9,8876
"10",10,9466
"11",11,9619
"12",12,9638
"13",13,10253
"14",14,10162
"15",15,11142
"16",16,9896
"17",17,10912
"18",18,11973
"19",19,12257
"20",20,11971
"21",21,12515
"22",22,13103
"23",23,13637
"24",24,13302
"25",25,13449
"26",26,13570
"27",27,13887
"28",28,14240
"29",29,14751
"30",30,15495
"31",31,16554
"32",32,15667
"33",33,15167
"34",34,15662
"35",35,16205
"36",36,16747
"37",37,16741
"38",38,17072
"39",39,18088
"40",40,17693
"41",41,18103
"42",42,17791
"43",43,18997
"44",44,19060
"45",45,18739
"46",46,19653
"47",47,19492
"48",48,19515
"49",49,20743
"50",50,20206
"51",51,20053
"52",52,20903
"53",53,21595
"54",54,21792
"55",55,21661
"56",56,23166
"57",57,23201
"58",58,23846
"59",59,23504
"60",60,23298
"61",61,26075
"62",62,23435
"63",63,24131
"64",64,24217
"65",65,24619
"66",66,24761
"67",67,25304
"68",68,24709
"69",69,24568
"70",70,24729
"71",71,25804
"72",72,25732
"73",73,24951
"74",74,24993
"75",75,25567
"76",76,24304
"77",77,24576
"78",78,25181
"79",79,26102
"80",80,23167
"81",81,23260
"82",82,23734
"83",83,24221
"84",84,24830
"85",85,25582
"86",86,25714
"87",87,25281
"88",88,25213
"89",89,24717
"90",90,23885
"91",91,24125
"92",92,24379
"93",93,24803
"94",94,24777
"95",95,25731
"96",96,24431
"97",97,24912
"98",98,25826
"99",99,25638
"100",100,24131
"101",101,24428
"102",102,24874
"103",103,26327
"104",104,24510
"105",105,24907
"106",106,24756
"107",107,24678
"108",108,25927
"109",109,24523
"110",110,25195
"111",111,25241
"112",112,25321
"113",113,25521
"114",114,25081
"115",115,24971
"116",116,26528
"117",117,23303
"118",118,23030
"119",119,23491
"120",120,24342
"121",121,25558
"122",122,24312
"123",123,24813
"124",124,25564
"125",125,24985
"126",126,24931
"127",127,25898
"128",128,25195
"129",129,24050
"130",130,24786
"131",131,25122
"132",132,25222
"133",133,25301
"134",134,24674
"135",135,24937
"136",136,26062
"137",137,24620
"138",138,25368
"139",139,24831
"140",140,24693
"141",141,25253
"142",142,25541
"143",143,25547
"144",144,25029
"145",145,24846
"146",146,24390
"147",147,25179
"148",148,24963
"149",149,25785
"150",150,24855
"151",151,24739
"152",152,25342
"153",153,26095
"154",154,24054
"155",155,24720
"156",156,24350
"157",157,25537
"158",158,25551
"159",159,24571
"160",160,25972
"161",161,23868
"162",162,23947
"163",163,23906
"164",164,24480
"165",165,25396
"166",166,25479
"167",167,24763
"168",168,24144
"169",169,24569
"170",170,25308
"171",171,25051
"172",172,26604
"173",173,22440
"174",174,22708
"175",175,23934
"176",176,24993
"177",177,25402
"178",178,24804
"179",179,24546
"180",180,25667
"181",181,24526
"182",182,25107
"183",183,25232
"184",184,25318
"185",185,24247
"186",186,25464
"187",187,24273
"188",188,24739
"189",189,25075
"190",190,26723
"191",191,24566
"192",192,23911
"193",193,24288
"194",194,24077
"195",195,24744
"196",196,26248
"197",197,23794
"198",198,23651
"199",199,24629
"200",200,24984
"201",201,25560
"202",202,25048
"203",203,24939
"204",204,26310
"205",205,24488
"206",206,23693
"207",207,23701
"208",208,23536
"209",209,25108
"210",210,25002
"211",211,25160
"212",212,25717
"213",213,24080
"214",214,24729
"215",215,25334
"216",216,26317
"217",217,23971
"218",218,23336
"219",219,24695
"220",220,25012
"221",221,25859
"222",222,25145
"223",223,24802
"224",224,25135
"225",225,25516
"226",226,25373
"227",227,24420
"228",228,24803
"229",229,25520
"230",230,24459
"231",231,25786
"232",232,24957
"233",233,25189
"234",234,24544
"235",235,24603
"236",236,25315
"237",237,25256
"238",238,26813
"239",239,23696
"240",240,24215
"241",241,25422
"242",242,24271
"243",243,23872
"244",244,25896
"245",245,25038
"246",246,24282
"247",247,23459
"248",248,24114
"249",249,24050
"250",250,25079
"251",251,25620
"252",252,25931
"253",253,24573
"254",254,24833
"255",255,23917
"256",256,24006
"257",257,24243
"258",258,25054
"259",259,26122
"260",260,23275
"261",261,24008
"262",262,25055
"263",263,23859
"264",264,25052
"265",265,25540
"266",266,24887
"267",267,24243
"268",268,26247
"269",269,23514
"270",270,22966
"271",271,23446
"272",272,25103
"273",273,24522
"274",274,25482
"275",275,24731
"276",276,26074
"277",277,24305
"278",278,24098
"279",279,24808
"280",280,24941
"281",281,25843
"282",282,24631
"283",283,24815
"284",284,24290
"285",285,25371
"286",286,24563
"287",287,26093
"288",288,24611
"289",289,25884
"290",290,23848
"291",291,24549
"292",292,24113
"293",293,24437
"294",294,24506
"295",295,25894
"296",296,24283
"297",297,23795
"298",298,25296
"299",299,25434
"300",300,24363
"301",301,25144
"302",302,24561
"303",303,24703
"304",304,26153
"305",305,24833
"306",306,25210
"307",307,26925
"308",308,22928
"309",309,21916
"310",310,22682
"311",311,23088
"312",312,24013
"313",313,24540
"314",314,25070
"315",315,24624
"316",316,24137
"317",317,24385
"318",318,24869
"319",319,25636
"320",320,25509
"321",321,25366
"322",322,26624
"323",323,24511
"324",324,24553
"325",325,24077
"326",326,24613
"327",327,25188
"328",328,25177
"329",329,24920
"330",330,25964
"331",331,23985
"332",332,24687
"333",333,25365
"334",334,24750
"335",335,24421
"336",336,25059
"337",337,25498
"338",338,25524
"339",339,24536
"340",340,24720
"341",341,25942
"342",342,25299
"343",343,24597
"344",344,24521
"345",345,26071
"346",346,22964
"347",347,23030
"348",348,22998
"349",349,23327
"350",350,23717
"351",351,24435
"352",352,24486
"353",353,26091
"354",354,24741
"355",355,25288
"356",356,24561
"357",357,24528
"358",358,25553
"359",359,24958
"360",360,26054
"361",361,25130
"362",362,25031
"363",363,24483
"364",364,25331
"365",365,25408
"366",366,25403
"367",367,25685
"368",368,25342
"369",369,24048
"370",370,24435
"371",371,24767
"372",372,24673
"373",373,25953
"374",374,23784
"375",375,24623
"376",376,25081
"377",377,25450
"378",378,25836
"379",379,24989
"380",380,24939
"381",381,25110
"382",382,25124
"383",383,25822
"384",384,24006
"385",385,24157
"386",386,24554
"387",387,25048
"388",388,25384
"389",389,24540
"390",390,24911
"391",391,26456
"392",392,23523
"393",393,23646
"394",394,23826
"395",395,25063
"396",396,26228
"397",397,24218
"398",398,23967
"399",399,24729
"400",400,24606
"401",401,25418
"402",402,24427
"403",403,25340
"404",404,25145
"405",405,25715
"406",406,23509
"407",407,24647
"408",408,24333
"409",409,24729
"410",410,25784
"411",411,25170
"412",412,26758
"413",413,22421
"414",414,22944
"415",415,23583
"416",416,24284
"417",417,24485
"418",418,25241
"419",419,25326
"420",420,24981
"421",421,26065
"422",422,24564
"423",423,24985
"424",424,25413
"425",425,24426
"426",426,25173
"427",427,25275
"428",428,25139
"429",429,25001
"430",430,24765
"431",431,25461
"432",432,25293
"433",433,24027
"434",434,24343
"435",435,25186
"436",436,25850
"437",437,24577
"438",438,26749
"439",439,22909
"440",440,23224
"441",441,23398
"442",442,23191
"443",443,24008
"444",444,25255
"445",445,25344
"446",446,24287
"447",447,25334
"448",448,23988
"449",449,23728
"450",450,24006
"451",451,25460
"452",452,25241
"453",453,25272
"454",454,24808
"455",455,25448
"456",456,24910
"457",457,26113
"458",458,25894
"459",459,23079
"460",460,22655
"461",461,21679
"462",462,22837
"463",463,24349
"464",464,24884
"465",465,25637
"466",466,23927
"467",467,24982
"468",468,25516
