"","Taxa","BLUE.N","BLUE.I","QTNs","Group","RefInf","ID","BLUP","PEV","gBreedingValue","Prediction","COI"
"1","Sample_11",1.61326196862591,0.196295025977838,0,"   1","2","   1",-0.0329956887597437,0.109626400977682,0.163299337218094,1.776561305844,NA
"2","Sample_12",1.61326196862591,0.0779778054638785,0,"   2","2","   2",0.428005879883476,0.127742253419951,0.505983685347355,2.11924565397326,NA
"3","Sample_13",1.61326196862591,-0.255700312646027,0,"   3","2","   3",0.079588944264528,0.154756447816484,-0.176111368381499,1.43715060024441,NA
"4","Sample_14",1.61326196862591,0.0575147970937551,0,"   4","2","   4",-0.232547077878834,0.0977250664330256,-0.175032280785079,1.43822968784083,NA
"5","Sample_15",1.61326196862591,0.196295025977838,0,"   5","2","   5",-0.0329956887597437,0.109626400977682,0.163299337218094,1.776561305844,NA
"6","Sample_16",1.61326196862591,0.196295025977838,0,"   6","2","   6",-0.0329956887597437,0.109626400977682,0.163299337218094,1.776561305844,NA
"7","Sample_17",1.61326196862591,0.196295025977838,0,"   7","2","   7",-0.0329956887597437,0.109626400977682,0.163299337218094,1.776561305844,NA
"8","Sample_18",1.61326196862591,-0.165124790689693,0,"   8","2","   8",-0.18958508560746,0.138649896700491,-0.354709876297153,1.25855209232875,NA
"9","Sample_19",1.61326196862591,0.0575147970937551,0,"   9","2","   9",-0.232547077878834,0.0977250664330256,-0.175032280785079,1.43822968784083,NA
"10","Sample_20",1.61326196862591,-0.145541838774381,0,"  10","2","  10",0.329579128659456,0.122506047886991,0.184037289885075,1.79729925851098,NA
"11","Sample_21",1.61326196862591,0.233648989517429,0,"  11","2","  11",0.418364505878247,0.141219194359636,0.652013495395677,2.26527546402158,NA
"12","Sample_22",1.61326196862591,-0.020118552503301,0,"  12","2","  12",-0.224268547116318,0.077789151764933,-0.244387099619619,1.36887486900629,NA
"13","Sample_23",1.61326196862591,0.0514535196970152,0,"  13","2","  13",0.308453149248077,0.149190482591837,0.359906668945092,1.973168637571,NA
"14","Sample_24",1.61326196862591,-0.0983252463540884,0,"  14","2","  14",0.103531450767297,0.0972979002311195,0.00520620441320896,1.61846817303912,NA
"15","Sample_25",1.61326196862591,-0.202482881718008,0,"  15","2","  15",-0.00774274910558918,0.0988102147349242,-0.210225630823597,1.40303633780231,NA
"16","Sample_26",1.61326196862591,-0.00536279908112001,0,"  16","2","  16",0.0476095231292885,0.130750942744281,0.0422467240481685,1.65550869267408,NA
"17","Sample_27",1.61326196862591,0.0583948535485673,0,"  17","2","  17",-0.091158334383445,0.143886102233447,-0.0327634808348777,1.58049848779103,NA
"18","Sample_28",1.61326196862591,-0.131382253624342,0,"  18","2","  18",-0.242696639856642,0.105902509948532,-0.374078893480984,1.23918307514492,NA
"19","Sample_29",1.61326196862591,-0.340270868605912,0,"  19","2","  19",-0.145723572481311,0.148371802090423,-0.485994441087223,1.12726752753869,NA
"20","Sample_30",1.61326196862591,-0.346206000307513,0,"  20","2","  20",-0.103308202994908,0.153707758454981,-0.449514203302421,1.16374776532349,NA
"21","Sample_31",1.61326196862591,-0.00548752324661133,0,"  21","2","  21",-0.028868728516971,0.125494649439773,-0.0343562517635823,1.57890571686233,NA
"22","Sample_32",1.61326196862591,-0.340439728000205,0,"  22","2","  22",0.18071358215961,0.161421576828192,-0.159726145840595,1.45353582278531,NA
"23","Sample_33",1.61326196862591,0.0840390828606184,0,"  23","2","  23",-0.112994347243435,0.0762768372611278,-0.0289552643828161,1.58430670424309,NA
"24","Sample_34",1.61326196862591,-0.157906539391205,0,"  24","2","  24",-0.362249370492055,0.127350739120431,-0.52015590988326,1.09310605874265,NA
"25","Sample_35",1.61326196862591,0.0840390828606184,0,"  25","2","  25",-0.112994347243435,0.0762768372611278,-0.0289552643828161,1.58430670424309,NA
"26","Sample_36",1.61326196862591,0.203401091734959,0,"  26","2","  26",-0.125841795892313,0.0830253572978851,0.0775592958426455,1.69082126446855,NA
"27","Sample_37",1.61326196862591,-0.0538610895686521,0,"  27","2","  27",-0.171156992867126,0.110536538516891,-0.225018082435778,1.38824388619013,NA
"28","Sample_38",1.61326196862591,-0.340439728000205,0,"  28","2","  28",0.18071358215961,0.161421576828192,-0.159726145840595,1.45353582278531,NA
"29","Sample_39",1.61326196862591,0.021036762520252,0,"  29","2","  29",0.0906840021184319,0.10404642026788,0.111720764638684,1.72498273326459,NA
"30","Sample_40",1.61326196862591,0.0779778054638785,0,"  30","2","  30",0.428005879883476,0.127742253419951,0.505983685347355,2.11924565397326,NA
"31","Sample_41",1.61326196862591,-0.046518114104673,0,"  31","2","  31",-0.267343026105445,0.104493674241325,-0.313861140210118,1.29940082841579,NA
"32","Sample_42",1.61326196862591,0.125194397884171,0,"  32","2","  32",0.201958201991315,0.102534105764073,0.327152599875487,1.94041456850139,NA
"33","Sample_43",1.61326196862591,-0.0261798299000409,0,"  33","2","  33",0.316731680010574,0.129254567923758,0.290551850110533,1.90381381873644,NA
"34","Sample_44",1.61326196862591,-0.074441210680715,0,"  34","2","  34",0.0946252379084117,0.129598343100607,0.0201840272276966,1.6334459958536,NA
"35","Sample_45",1.61326196862591,-0.0902269386007886,0,"  35","2","  35",0.0722559093780928,0.132159778451494,-0.0179710292226958,1.59529093940321,NA
"36","Sample_46",1.61326196862591,0.129660213547803,0,"  36","2","  36",-0.0193468486355659,0.129681734125669,0.110313364912237,1.72357533353814,NA
"37","Sample_47",1.61326196862591,0.149078433557545,0,"  37","2","  37",0.193051989132411,0.134834548633561,0.342130422689956,1.95539239131586,NA
"38","Sample_48",1.61326196862591,0.0840390828606184,0,"  38","2","  38",-0.112994347243435,0.0762768372611278,-0.0289552643828161,1.58430670424309,NA
"39","Sample_49",1.61326196862591,-0.020118552503301,0,"  39","2","  39",-0.224268547116318,0.077789151764933,-0.244387099619619,1.36887486900629,NA
"40","Sample_50",1.61326196862591,0.021036762520252,0,"  40","2","  40",0.0906840021184319,0.10404642026788,0.111720764638684,1.72498273326459,NA
"41","Sample_51",1.61326196862591,0.307558727098878,0,"  41","2","  41",-0.0145675960194219,0.0815130427940826,0.292991131079456,1.90625309970536,NA
"42","Sample_52",1.61326196862591,0.0921373906139183,0,"  42","2","  42",-0.144269888632639,0.111138715481489,-0.0521324980187203,1.56112947060719,NA
"43","Sample_53",1.61326196862591,0.307558727098878,0,"  43","2","  43",-0.0145675960194219,0.0815130427940826,0.292991131079456,1.90625309970536,NA
"44","Sample_54",1.61326196862591,-0.0468116976644572,0,"  44","2","  44",-0.0173841231108059,0.112287155674602,-0.0641958207752631,1.54906614785064,NA
"45","Sample_55",1.61326196862591,0.280865581937722,0,"  45","2","  45",0.192316827986082,0.116011046703751,0.473182409923804,2.08644437854971,NA
"46","Sample_56",1.61326196862591,0.203401091734959,0,"  46","2","  46",-0.125841795892313,0.0830253572978851,0.0775592958426455,1.69082126446855,NA
"47","Sample_57",1.61326196862591,-0.131382253624342,0,"  47","2","  47",-0.242696639856642,0.105902509948532,-0.374078893480984,1.23918307514492,NA
"48","Sample_58",1.61326196862591,0.233817848911722,0,"  48","2","  48",0.0919273512373283,0.128169419621856,0.32574520014905,1.93900716877496,NA
"49","Sample_59",1.61326196862591,-0.0185287207053333,0,"  49","2","  49",0.106392748101974,0.157431649484147,0.087864027396641,1.70112599602255,NA
"50","Sample_60",1.61326196862591,0.021036762520252,0,"  50","2","  50",0.0906840021184319,0.10404642026788,0.111720764638684,1.72498273326459,NA
"51","Sample_61",1.61326196862591,0.0840390828606184,0,"  51","2","  51",-0.112994347243435,0.0762768372611278,-0.0289552643828161,1.58430670424309,NA
"52","Sample_62",1.61326196862591,-0.0983252463540884,0,"  52","2","  52",0.103531450767297,0.0972979002311195,0.00520620441320896,1.61846817303912,NA
"53","Sample_63",1.61326196862591,-0.020118552503301,0,"  53","2","  53",-0.224268547116318,0.077789151764933,-0.244387099619619,1.36887486900629,NA
"54","Sample_64",1.61326196862591,-0.229176026879164,0,"  54","2","  54",0.199141674899919,0.133308218644598,-0.0300343519792454,1.58322761664666,NA
"55","Sample_65",1.61326196862591,0.0139306967631309,0,"  55","2","  55",0.183530109250991,0.130647463947673,0.197460806014122,1.81072277464003,NA
"56","Sample_66",1.61326196862591,0.203401091734959,0,"  56","2","  56",-0.125841795892313,0.0830253572978851,0.0775592958426455,1.69082126446855,NA
"57","Sample_67",1.61326196862591,0.156184499314666,0,"  57","2","  57",0.100205881999841,0.108233504953768,0.256390381314507,1.86965234994041,NA
"58","Sample_68",1.61326196862591,0.149078433557545,0,"  58","2","  58",0.193051989132411,0.134834548633561,0.342130422689956,1.95539239131586,NA
"59","Sample_69",1.61326196862591,0.125194397884171,0,"  59","2","  59",0.201958201991315,0.102534105764073,0.327152599875487,1.94041456850139,NA
"60","Sample_70",1.61326196862591,0.307558727098878,0,"  60","2","  60",-0.0145675960194219,0.0815130427940826,0.292991131079456,1.90625309970536,NA
"61","Sample_71",1.61326196862591,-0.313746582839048,0,"  61","2","  61",-0.0261708418459169,0.126923572918526,-0.339917424684965,1.27334454394094,NA
"62","Sample_72",1.61326196862591,0.143077595049818,0,"  62","2","  62",0.0543360046103549,0.165572634059252,0.197413599660173,1.81067556828608,NA
"63","Sample_73",1.61326196862591,-0.229007167484871,0,"  63","2","  63",-0.127295479740985,0.120258443906821,-0.356302647225856,1.25695932140005,NA
"64","Sample_74",1.61326196862591,-0.0983252463540884,0,"  64","2","  64",0.103531450767297,0.0972979002311195,0.00520620441320896,1.61846817303912,NA
"65","Sample_75",1.61326196862591,0.143077595049818,0,"  65","2","  65",0.0543360046103549,0.165572634059252,0.197413599660173,1.81067556828608,NA
"66","Sample_76",1.61326196862591,0.0368224904403255,0,"  66","2","  66",0.113053330648722,0.101484984917003,0.149875821089047,1.76313778971495,NA
"67","Sample_77",1.61326196862591,-0.0468116976644572,0,"  67","2","  67",-0.0173841231108059,0.112287155674602,-0.0641958207752631,1.54906614785064,NA
"68","Sample_78",1.61326196862591,-0.0468116976644572,0,"  68","2","  68",-0.0173841231108059,0.112287155674602,-0.0641958207752631,1.54906614785064,NA
