"Set","Iteration","BG","epistatic","MR","SNP_percentage_removed"
"Set1",1,761,23,491,0.5
"Set1",2,769,14,492,0.5
"Set1",3,714,26,535,0.5
"Set1",4,735,21,519,0.5
"Set1",5,716,20,539,0.5
"Set1",6,750,22,503,0.5
"Set1",7,764,23,488,0.5
"Set1",8,753,23,499,0.5
"Set1",9,749,29,497,0.5
"Set1",10,760,18,497,0.5
"Set1",11,745,23,507,0.5
"Set1",12,742,21,512,0.5
"Set1",13,772,23,480,0.5
"Set1",14,763,16,496,0.5
"Set1",15,752,22,501,0.5
"Set1",16,747,23,505,0.5
"Set1",17,746,28,501,0.5
"Set1",18,764,26,485,0.5
"Set1",19,735,22,518,0.5
"Set1",20,763,18,494,0.5
"Set2",1,1116,31,766,0.25
"Set2",2,1126,34,753,0.25
"Set2",3,1119,32,762,0.25
"Set2",4,1132,29,752,0.25
"Set2",5,1138,27,748,0.25
"Set2",6,1113,32,768,0.25
"Set2",7,1111,33,769,0.25
"Set2",8,1125,33,755,0.25
"Set2",9,1118,34,761,0.25
"Set2",10,1146,36,731,0.25
"Set2",11,1118,35,760,0.25
"Set2",12,1126,32,755,0.25
"Set2",13,1126,35,752,0.25
"Set2",14,1140,34,739,0.25
"Set2",15,1119,35,759,0.25
"Set2",16,1159,32,722,0.25
"Set2",17,1123,33,757,0.25
"Set2",18,1127,33,753,0.25
"Set2",19,1126,33,754,0.25
"Set2",20,1120,33,760,0.25
"Set3",1,1344,39,912,0.1
"Set3",2,1362,38,895,0.1
"Set3",3,1340,36,919,0.1
"Set3",4,1357,40,898,0.1
"Set3",5,1354,41,900,0.1
"Set3",6,1356,40,899,0.1
"Set3",7,1343,39,913,0.1
"Set3",8,1348,37,910,0.1
"Set3",9,1359,39,897,0.1
"Set3",10,1358,40,897,0.1
"Set3",11,1373,37,885,0.1
"Set3",12,1358,40,897,0.1
"Set3",13,1331,43,921,0.1
"Set3",14,1352,41,902,0.1
"Set3",15,1344,42,909,0.1
"Set3",16,1357,41,897,0.1
"Set3",17,1353,39,903,0.1
"Set3",18,1349,39,907,0.1
"Set3",19,1346,40,909,0.1
"Set3",20,1353,41,901,0.1
"Set4",1,1431,43,949,0.05
"Set4",2,1426,43,954,0.05
"Set4",3,1425,42,956,0.05
"Set4",4,1420,42,961,0.05
"Set4",5,1427,39,957,0.05
"Set4",6,1435,44,944,0.05
"Set4",7,1420,41,962,0.05
"Set4",8,1416,42,965,0.05
"Set4",9,1428,44,951,0.05
"Set4",10,1424,41,958,0.05
"Set4",11,1421,42,960,0.05
"Set4",12,1430,42,951,0.05
"Set4",13,1423,44,956,0.05
"Set4",14,1433,39,951,0.05
"Set4",15,1422,42,959,0.05
"Set4",16,1421,41,961,0.05
"Set4",17,1438,43,942,0.05
"Set4",18,1412,44,967,0.05
"Set4",19,1419,41,963,0.05
"Set4",20,1423,43,957,0.05
"Set5",1,1488,44,993,0.01
"Set5",2,1486,44,995,0.01
"Set5",3,1484,44,997,0.01
"Set5",4,1486,44,995,0.01
"Set5",5,1485,44,996,0.01
"Set5",6,1486,44,995,0.01
"Set5",7,1486,44,995,0.01
"Set5",8,1484,44,997,0.01
"Set5",9,1482,44,999,0.01
"Set5",10,1485,44,996,0.01
"Set5",11,1489,44,992,0.01
"Set5",12,1487,44,994,0.01
"Set5",13,1487,44,994,0.01
"Set5",14,1488,42,995,0.01
"Set5",15,1485,44,996,0.01
"Set5",16,1487,44,994,0.01
"Set5",17,1486,44,995,0.01
"Set5",18,1484,44,997,0.01
"Set5",19,1484,44,997,0.01
"Set5",20,1484,44,997,0.01
