"time","sum_size"
1,10975
2,12456
3,13120
4,12927
5,13667
6,12911
7,13043
8,14485
9,14130
10,14854
11,14217
12,14639
13,14632
14,14248
15,15126
16,15158
17,15117
18,14720
19,15277
20,14847
21,15059
22,15180
23,16095
24,17496
25,17087
26,17253
27,17172
28,17294
29,17884
30,18179
31,18267
32,17625
33,17210
34,17173
35,16676
36,17652
37,18752
38,19156
39,18618
40,18706
41,18990
42,18513
43,17958
44,17933
45,17895
46,18041
47,19106
48,19583
49,19296
50,18506
51,19215
52,17995
53,18433
54,19116
55,18439
56,18309
57,18782
58,18644
59,18573
60,19088
61,19313
62,18997
63,19312
64,19210
65,19195
66,19546
67,19084
68,18750
69,18990
70,19014
71,18822
72,19653
73,20007
74,19445
75,20029
76,19798
77,18863
78,19774
79,20113
80,20509
81,21226
82,20477
83,20046
84,19573
85,20410
86,20752
87,22511
88,20913
89,20490
90,19161
91,18871
92,19500
93,20317
94,20684
95,20837
96,21405
97,21430
98,21468
99,21595
100,21867
101,21887
102,21254
103,21626
104,22646
105,22832
106,23794
107,23338
108,22767
109,22594
110,23531
111,22521
112,23677
113,22611
114,24012
115,23058
116,24055
117,24350
118,24324
119,24006
120,23834
121,24854
122,26052
123,26284
124,26347
125,25291
126,24543
127,24462
128,25004
129,25961
130,27606
131,26705
132,25625
133,27586
134,27349
135,26970
136,27996
137,27361
138,27044
139,27501
140,27268
141,27424
142,27869
143,27599
144,28823
145,27082
146,28169
147,27991
148,28822
149,28376
150,28907
151,28340
152,29331
153,29135
154,29185
155,29665
156,29613
157,30336
158,29472
159,29063
160,29306
161,30561
162,29707
163,30566
164,29776
165,30223
166,29591
167,29883
168,30799
169,32355
170,30825
171,30631
172,31358
173,31846
174,31437
175,33369
176,32353
177,33508
178,33245
179,34560
180,33765
181,32159
182,32912
183,31883
184,32966
185,32740
186,34471
187,34118
188,33358
189,34627
190,34629
191,35132
192,35093
193,35460
194,35366
195,34581
196,35894
197,35575
198,37036
199,35489
200,35215
201,34649
202,35782
203,36363
204,34324
205,35930
206,37533
207,38353
208,37640
209,37785
210,36766
211,37193
212,38403
213,37920
214,38763
215,40268
216,39433
217,39577
218,39428
219,38808
220,39027
221,37313
222,38554
223,38939
224,40491
225,41109
226,41745
227,40011
228,39416
229,40336
230,40342
231,40772
232,40855
233,42930
234,42472
235,41357
236,40656
237,42849
238,44521
239,45742
240,43082
241,42394
242,43181
243,43665
244,43869
245,44556
246,46058
247,46346
248,44916
249,45467
250,45007
251,45544
252,46076
253,46350
254,45070
255,46690
256,46698
257,46257
258,46408
259,47069
260,47278
261,47436
262,48268
263,49565
264,49586
265,48434
266,51372
267,47123
268,47147
269,46516
270,47782
271,45728
272,47203
273,47243
274,47827
275,47933
276,48005
277,47601
278,46944
279,49161
280,48611
281,48208
282,50222
283,49456
284,48328
285,49346
286,49671
287,49172
288,51895
289,49372
290,47376
291,48252
292,48096
293,47626
294,48999
295,48190
296,49078
297,48958
298,48915
299,47458
300,47820
301,47920
302,49134
303,48516
304,50246
305,49845
306,50506
307,49760
308,49416
309,48224
310,50155
311,50134
312,50463
313,50398
314,49728
315,49830
316,49168
317,49139
318,50660
319,50265
320,49446
321,50582
322,48585
323,47645
324,47018
325,48739
326,49731
327,48453
328,48684
329,48363
330,48864
331,49613
332,48507
333,48961
334,48302
335,48583
336,49287
337,49060
338,50196
339,50771
340,48273
341,50248
342,51349
343,48766
344,47072
345,47803
346,47808
347,48085
348,48584
349,48424
350,50028
351,49530
352,49905
353,48577
354,50788
355,50266
356,48889
357,48206
358,48937
359,48448
360,46791
361,49183
362,51251
363,48839
364,49707
365,49184
366,47278
367,49067
368,49480
369,48645
370,50356
371,49686
372,50713
373,49539
374,48866
375,47488
376,48678
377,48281
378,49237
379,48312
380,48458
381,48414
382,50626
383,50271
384,49519
385,49742
386,51723
387,48023
388,48654
389,47563
390,47421
391,47520
392,47666
393,48913
394,49115
395,49611
396,48488
397,48500
398,48963
399,48248
400,48140
401,46875
402,47961
403,49684
404,49376
405,49624
406,50277
407,48773
408,50775
409,49082
410,51139
411,49046
412,48827
413,47891
414,47920
415,49045
416,49814
417,48744
418,50352
419,49850
420,49067
421,48345
422,49989
423,49698
424,49308
425,51048
426,48935
427,48414
428,49365
429,50793
430,49878
431,51271
432,48450
433,47278
434,46945
435,44550
436,45511
437,48181
438,48297
439,46522
440,47268
441,48607
442,48419
443,50033
444,49989
445,50097
446,49390
447,50645
448,50926
449,47687
450,49016
451,49844
452,47907
453,46215
454,49404
455,48694
456,48478
457,49847
458,50075
459,50320
460,48937
461,49288
462,49535
463,51016
464,49139
465,49023
466,49543
467,48996
468,48803
469,49701
470,50329
471,49520
472,49124
473,50851
474,49271
475,49885
476,50836
477,48914
478,48963
479,48942
480,47896
481,48190
482,48936
483,49408
484,48426
485,49815
486,50053
487,50087
488,51892
489,48926
490,48047
491,47347
492,47933
493,48460
494,48299
495,48787
496,49834
497,49469
498,50347
499,49303
500,47646
501,49654
502,49909
503,49334
504,48855
505,49520
506,50370
507,50127
508,50702
509,48187
510,48377
511,49639
512,51019
513,49191
514,48987
515,48512
516,48585
517,48989
518,49874
519,48732
520,50042
521,50141
522,51001
523,48304
524,46980
525,47336
526,48467
527,48606
528,49111
529,50390
530,50060
531,49636
532,48181
533,48487
534,49508
535,49489
536,49850
537,49401
538,50530
539,50203
540,50382
541,49101
542,49934
543,50398
544,49576
545,50321
546,49645
547,48517
548,48519
549,49948
550,49575
551,49624
552,50495
553,49358
554,48453
555,50142
556,50612
557,51539
558,47733
559,46503
560,48036
561,46884
562,47042
563,47479
564,47775
565,48800
566,47868
567,47972
568,47544
569,48728
570,49824
571,48675
572,50321
573,49556
574,48610
575,48818
576,51958
577,46301
578,47550
579,45625
580,45262
581,45999
582,45310
583,46559
584,47246
585,47958
586,47586
587,49395
588,50000
589,47912
590,47862
591,48349
592,51680
593,48031
594,47675
595,46853
596,49186
597,48561
598,49553
599,51070
600,48746
601,48038
602,48112
603,48357
604,47817
605,49701
606,47820
607,48744
608,48447
609,50216
610,49447
611,48927
612,48188
613,48473
614,48657
615,47342
616,47649
617,48103
618,49158
619,49771
620,50275
621,49642
622,50970
623,49345
624,49147
625,48347
626,49051
627,49989
628,48831
629,51489
630,48538
631,48701
632,49196
633,51017
634,48895
635,48786
636,47606
637,47877
638,48248
639,47550
640,48240
641,47824
642,48520
643,49248
644,49435
645,48703
646,50067
647,50073
648,50455
649,50745
650,48757
651,49029
652,48977
653,49679
654,49960
655,48699
656,50887
657,49220
658,48145
659,48870
660,49617
661,50815
662,47416
663,48232
664,47098
665,46737
666,47612
667,48020
668,48536
669,48178
670,49361
671,50504
672,49996
673,49171
674,48945
675,47125
676,49288
677,50095
678,49866
679,50213
680,49978
681,51988
682,47263
683,47041
684,47062
685,47272
686,48641
687,47400
688,48628
689,48090
690,47035
691,47037
692,47804
693,46685
694,48090
695,49273
696,50318
697,48331
698,47519
699,49399
700,50654
701,49966
702,49319
703,48962
704,49975
705,50860
706,48778
707,47675
708,48382
709,48944
710,48686
711,49502
712,51046
713,50028
714,49588
715,49919
716,48245
717,47551
718,49338
719,50006
720,50541
721,51144
722,47880
723,48650
724,49309
725,48365
726,48393
727,49020
728,49358
729,49903
730,51420
731,48225
732,47902
733,47821
734,46987
735,46748
736,46881
737,47338
738,49203
739,49224
740,49270
741,49922
742,51068
743,47807
744,47017
745,47440
746,48165
747,49439
748,48336
749,48066
750,47579
751,48744
752,49675
753,50198
754,48746
755,48978
756,50227
757,48695
758,50116
759,50287
760,50133
761,48750
762,49999
763,50140
764,49616
765,48969
766,52506
767,48427
768,46402
769,47067
770,46426
771,47437
772,47534
773,47427
774,48606
775,49433
776,48917
777,47873
778,48614
779,48372
780,47843
781,48064
782,47413
783,48402
784,49684
785,49625
786,50801
787,51805
788,46684
789,46697
790,45797
791,47192
792,46144
793,46746
794,46958
795,47170
796,46516
797,46257
798,47285
799,47589
800,45765
801,46754
802,48409
803,48338
804,47556
805,48626
806,50148
807,48655
808,48479
809,49583
810,49121
811,49769
812,51021
813,48843
814,50895
815,46745
816,47414
817,48382
818,48274
819,48536
820,47848
821,47904
822,48147
823,49436
824,50344
825,48224
826,48239
827,49649
828,49328
829,50611
830,50074
831,50955
832,48505
833,48117
834,46888
835,47819
836,48211
837,48496
838,48297
839,49306
840,49337
841,48997
842,49588
843,49756
844,50800
845,50737
846,48221
847,48673
848,49070
849,51440
850,47965
851,48288
852,48509
853,49340
854,47126
855,47626
856,46877
857,47995
858,50004
859,49914
860,49046
861,50315
862,48916
863,48646
864,50483
865,49024
866,49410
867,48912
868,48381
869,49583
870,48902
871,51123
872,49392
873,49957
874,48891
875,49126
876,50827
877,48854
878,48023
879,48354
880,48015
881,48185
882,48620
883,47860
884,50227
885,49839
886,49259
887,48165
888,50121
889,51512
890,47064
891,48480
892,48478
893,48320
894,46051
895,47544
896,49311
897,48791
898,49408
899,48907
900,48210
901,48961
902,50377
903,49497
904,51339
905,48180
906,48500
907,47083
908,48726
909,50302
910,50979
911,46626
912,46454
913,46780
914,47437
915,47081
916,48213
917,47526
918,48268
919,48169
920,47876
921,48136
922,47511
923,48509
924,48788
925,49798
926,49348
927,49873
928,49102
929,51110
930,49363
931,49738
932,49953
933,50863
934,48142
935,48260
936,48557
937,47029
938,48037
939,48121
940,47301
941,48212
942,48772
943,49967
944,49349
945,50808
946,50321
947,48714
948,50589
949,50454
950,48614
951,47890
952,48950
953,50843
954,49898
955,48556
956,47818
957,48963
958,49502
959,47437
960,48104
961,47918
962,48106
963,48743
964,47926
965,50205
966,48597
967,47593
968,48836
969,49958
970,49884
971,50461
972,50692
973,50216
974,47875
975,50153
976,50504
977,48928
978,50323
979,50085
980,48406
981,49585
982,48793
983,49880
984,51024
985,48123
986,48954
987,48375
988,49377
989,49023
990,49740
991,49205
992,47749
993,49766
994,49779
995,49189
996,49057
997,48934
998,49478
999,49042
1000,49887
1001,50585
1002,50441
1003,48633
1004,49637
1005,50162
1006,48783
1007,50176
1008,50629
1009,49770
1010,49780
1011,49673
1012,49294
1013,47769
1014,49893
1015,49314
1016,49360
1017,51260
1018,49287
1019,48224
1020,47218
1021,47341
1022,47432
1023,48457
1024,48742
1025,49412
1026,49210
1027,50647
1028,49375
1029,48749
1030,49489
1031,50303
1032,49374
1033,49679
1034,50448
1035,48676
1036,49825
1037,49335
1038,49056
1039,48358
1040,48803
1041,49516
1042,50848
1043,49110
1044,48485
1045,49713
1046,49696
1047,48567
1048,49823
1049,50983
1050,49870
1051,48836
1052,47205
1053,49688
1054,50970
1055,49401
1056,49636
1057,49179
1058,48584
1059,49798
1060,50306
1061,49887
1062,49888
1063,49510
1064,50770
1065,50704
1066,48189
1067,49615
1068,48938
1069,49561
1070,48118
1071,48531
1072,49776
1073,47672
1074,47892
1075,49726
1076,51527
1077,48167
1078,49300
1079,48567
1080,48089
1081,47475
1082,48231
1083,48253
1084,49862
1085,49476
1086,48240
1087,49228
1088,49456
1089,48639
1090,49860
1091,48234
1092,48144
1093,50142
1094,51458
1095,47497
1096,48906
1097,47146
1098,49100
1099,48911
1100,49478
1101,48983
1102,50843
1103,50287
1104,48394
1105,48268
1106,49706
1107,49391
1108,49740
1109,52634
1110,46511
1111,45343
1112,46228
1113,45721
1114,45961
1115,46217
1116,46139
1117,46145
1118,45916
1119,47775
1120,48426
1121,46725
1122,46468
1123,46270
1124,47546
1125,48447
1126,47941
1127,47622
1128,48010
1129,47919
1130,48699
1131,49003
1132,49820
1133,49825
1134,49738
1135,48825
1136,47928
1137,49950
1138,50904
1139,49872
1140,49741
1141,51467
1142,48310
1143,45905
1144,47079
1145,46437
1146,46092
1147,47637
1148,47323
1149,48251
1150,47866
1151,48037
1152,49418
1153,49587
1154,48909
1155,50611
1156,48908
1157,48169
1158,49481
1159,50485
1160,49460
1161,49282
1162,47926
1163,49590
1164,50448
1165,49459
1166,50726
1167,48374
1168,50126
1169,49055
1170,48639
1171,50620
1172,48623
1173,46792
1174,48962
1175,49391
