"time","sum_size"
1,1446
2,1176
3,1279
4,1167
5,1107
6,1051
7,1356
8,1181
9,1401
10,1590
11,1388
12,1410
13,1250
14,1535
15,1776
16,1430
17,1512
18,1477
19,1658
20,1625
21,1425
22,1392
23,1656
24,1847
25,1546
26,1629
27,1676
28,1524
29,1621
30,1769
31,1650
32,2070
33,1903
34,1833
35,1672
36,1702
37,1560
38,2103
39,2180
40,1801
41,1840
42,2035
43,1751
44,1553
45,2008
46,1765
47,1870
48,1810
49,1902
50,2359
51,2164
52,2032
53,1837
54,2084
55,1796
56,1646
57,1776
58,1950
59,2173
60,2447
61,1978
62,1844
63,1736
64,1570
65,1487
66,1422
67,1506
68,2013
69,1982
70,1770
71,1939
72,1988
73,2064
74,1728
75,1830
76,1926
77,2779
78,2084
79,1877
80,1980
81,1734
82,1784
83,1751
84,1799
85,1811
86,2066
87,1931
88,2360
89,2038
90,2222
91,2533
92,2222
93,2286
94,2380
95,2164
96,2320
97,2642
98,2270
99,2556
100,2268
101,2094
102,2168
103,2298
104,2216
105,2327
106,2370
107,2356
108,2633
109,2826
110,2283
111,2431
112,2718
113,2492
114,2286
115,2299
116,2568
117,2348
118,2511
119,2674
120,2467
121,2529
122,2660
123,2409
124,2803
125,2614
126,2409
127,2559
128,2397
129,2920
130,2608
131,2782
132,2947
133,2692
134,2765
135,2441
136,2446
137,2628
138,2819
139,2623
140,2539
141,2525
142,2770
143,2928
144,2673
145,2794
146,3012
147,2918
148,3184
149,3081
150,2913
151,3158
152,3443
153,3095
154,3526
155,3576
156,2952
157,3489
158,3060
159,2939
160,2872
161,3092
162,3218
163,3153
164,3056
165,2985
166,3083
167,3177
168,3067
169,3296
170,3232
171,2980
172,3231
173,3052
174,3315
175,2983
176,2883
177,2755
178,3153
179,3197
180,3128
181,3762
182,3392
183,3691
184,3602
185,3318
186,3078
187,3434
188,3627
189,3466
190,3622
191,3626
192,3853
193,3520
194,3334
195,3629
196,3333
197,3727
198,3724
199,3881
200,3837
201,4578
202,4025
203,3614
204,4073
205,4456
206,4224
207,3733
208,4104
209,3908
210,4405
211,4092
212,4190
213,4735
214,4309
215,4008
216,4103
217,4206
218,4103
219,4249
220,4317
221,4856
222,4767
223,4609
224,4266
225,4680
226,4124
227,4135
228,4096
229,4353
230,5085
231,4662
232,4721
233,4770
234,5053
235,5148
236,4343
237,4652
238,4404
239,4561
240,4257
241,4134
242,4710
243,4443
244,4190
245,4921
246,4655
247,4862
248,4937
249,4967
250,4415
251,4691
252,4740
253,4451
254,4580
255,4136
256,4827
257,5678
258,3625
259,3650
260,3496
261,3831
262,3685
263,3308
264,3423
265,3356
266,4033
267,4031
268,4057
269,3628
270,3356
271,3608
272,3646
273,3623
274,3511
275,3852
276,3791
277,4146
278,3931
279,4280
280,4330
281,3967
282,4147
283,4434
284,4235
285,3689
286,3715
287,3593
288,3646
289,4066
290,4084
291,4130
292,4113
293,4098
294,3703
295,3887
296,4607
297,4322
298,4419
299,4448
300,4173
301,4194
302,4213
303,4438
304,3947
305,4231
306,4602
307,4291
308,5002
309,5699
310,4584
311,3953
312,3577
313,3389
314,3530
315,3462
316,3485
317,3460
318,3177
319,3571
320,3936
321,4077
322,3586
323,3824
324,3537
325,3820
326,3811
327,3547
328,3487
329,3325
330,3740
331,3780
332,3492
333,3697
334,4070
335,3935
336,3566
337,3624
338,3958
339,3668
340,3895
341,4112
342,4148
343,3840
344,4514
345,4475
346,4533
347,4236
348,4290
349,3998
350,3711
351,4082
352,4215
353,3951
354,4342
355,4494
356,4524
357,4188
358,4451
359,4589
360,4219
361,3840
362,4365
363,4552
364,5154
365,3900
366,4500
367,4377
368,4185
369,4372
370,4444
371,3840
372,4491
373,4654
374,4783
375,4469
376,4414
377,3933
378,4028
379,4403
380,4517
381,4582
382,4546
383,4665
384,4232
385,4245
386,4516
387,4347
388,4543
389,4360
390,4239
391,4328
392,4413
393,4565
394,4411
395,4467
396,4492
397,5197
398,4645
399,4430
400,4681
401,4589
402,4341
403,4428
404,4947
405,4533
406,5446
407,4273
408,3575
409,3714
410,3878
411,3439
412,3747
413,3669
414,3744
415,4048
416,4278
417,3990
418,3984
419,4637
420,4204
421,4183
422,3954
423,3608
424,4257
425,4295
426,4134
427,4278
428,4245
429,4316
430,4180
431,4313
432,4483
433,4581
434,4044
435,4127
436,4073
437,4339
438,4198
439,4482
440,4317
441,4749
442,4747
443,4903
444,4820
445,4674
446,4548
447,4616
448,4889
449,4783
450,4933
451,4489
452,4848
453,4797
454,4804
455,4713
456,5093
457,4940
458,4639
459,4164
460,4500
461,4475
462,4363
463,5208
464,4370
465,4102
466,4168
467,3811
468,4137
469,4332
470,4270
471,4324
472,4323
473,4534
474,4172
475,4538
476,4387
477,4733
478,4901
479,4868
480,4776
481,4520
482,4418
483,4290
484,4443
485,4552
486,4481
487,4994
488,4894
489,4789
490,5065
491,4834
492,4704
493,4945
494,4221
495,4489
496,4694
497,4508
498,4455
499,4632
500,4658
501,4456
502,4856
503,4976
504,4605
505,5004
506,4900
507,4802
508,5131
509,4771
510,4490
511,4779
512,4882
513,4538
514,4669
515,4951
516,4797
517,5153
518,5105
519,4679
520,4132
521,4702
522,4597
523,4332
524,4120
525,3944
526,4050
527,4383
528,4742
529,4793
530,4845
531,4403
532,4979
533,4577
534,4752
535,5465
536,4045
537,4624
538,3804
539,4004
540,4198
541,4031
542,4255
543,3987
544,3895
545,3817
546,4145
547,4023
548,4475
549,4795
550,4057
551,3972
552,3733
553,4136
554,3806
555,3952
556,3944
557,4414
558,3949
559,4341
560,4212
561,3984
562,3824
563,4679
564,4828
565,4310
566,4222
567,4522
568,4323
569,4031
570,4573
571,4327
572,4425
573,4542
574,4926
575,4595
576,4407
577,5726
578,3911
579,3750
580,3453
581,3218
582,3144
583,3327
584,3415
585,3674
586,3351
587,3211
588,3256
589,3213
590,3153
591,3676
592,3686
593,3827
594,3443
595,3390
596,3984
597,3491
598,3783
599,4085
600,4021
601,4063
602,4079
603,3957
604,4180
605,3767
606,3479
607,3873
608,4194
609,4320
610,3929
611,3615
612,3552
613,3677
614,3566
615,3699
616,3334
617,4067
618,3855
619,4408
620,4259
621,4557
622,4604
623,4741
624,4478
625,4250
626,3849
627,4036
628,3778
629,4410
630,4881
631,4834
632,4703
633,4688
634,5425
635,4821
636,4216
637,4009
638,3791
639,3608
640,3822
641,3780
642,3997
643,3677
644,3753
645,4132
646,4169
647,3895
648,4324
649,3942
650,4198
651,4093
652,3969
653,3844
654,3908
655,4419
656,4046
657,4164
658,4127
659,4206
660,4299
661,3961
662,3929
663,4074
664,3819
665,4348
666,4285
667,4455
668,4507
669,4301
670,4214
671,4681
672,4681
673,4884
674,4487
675,4534
676,4455
677,4628
678,4380
679,4421
680,4244
681,4319
682,4475
683,4397
684,4555
685,4336
686,4575
687,5257
688,5584
689,4275
690,3611
691,3430
692,3688
693,3411
694,3850
695,3781
696,3576
697,3706
698,3789
699,3468
700,3326
701,3469
702,3444
703,3460
704,3234
705,3640
706,3642
707,3514
708,4168
709,3754
710,3750
711,3563
712,4093
713,3957
714,3926
715,3837
716,3656
717,3355
718,3258
719,3566
720,3248
721,3845
722,3986
723,3778
724,3848
725,3713
726,3798
727,4135
728,4232
729,3897
730,4031
731,4244
732,3878
733,3814
734,4135
735,4040
736,4002
737,4159
738,3954
739,3833
740,4090
741,3741
742,4128
743,3902
744,3876
745,3800
746,3878
747,3856
748,3829
749,3868
750,4013
751,4344
752,3879
753,4050
754,4010
755,3954
756,3820
757,3796
758,4188
759,4064
760,4283
761,4059
762,3831
763,3890
764,4111
765,4202
766,3931
767,3994
768,4184
769,4817
770,5405
771,4281
772,4061
773,3807
774,4146
775,4061
776,3790
777,4010
778,4521
779,4116
780,4584
781,5051
782,4702
783,4534
784,4366
785,3858
786,3956
787,3977
788,4292
789,4272
790,3984
791,3978
792,4340
793,3820
794,4288
795,3976
796,3586
797,4174
798,4239
799,5005
800,4932
801,4960
802,4804
803,4610
804,4673
805,4785
806,4865
807,4728
808,4563
809,4312
810,4202
811,4872
812,4568
813,5044
814,4719
815,4796
816,4843
817,4514
818,5128
819,4825
820,4622
821,4279
822,4269
823,4713
824,4780
825,4547
826,4931
827,4910
828,4647
829,4225
830,4506
831,4454
832,4153
833,4853
834,4271
835,4267
836,4578
837,4510
838,4521
839,4716
840,5284
841,4699
842,4703
843,4488
844,4283
845,4580
846,4509
847,4657
848,4837
849,4525
850,4876
851,5004
852,4848
853,4356
854,4225
855,4185
856,3950
857,3736
858,3857
859,4580
860,4704
861,4454
862,4635
863,4713
864,5207
865,4561
866,4477
867,4213
868,4319
869,4412
870,4440
871,4671
872,4100
873,4471
874,4927
875,4843
876,5083
877,4287
878,4294
879,4467
880,4910
881,4654
882,4987
883,5358
884,5090
885,4369
886,4832
887,4900
888,4365
889,4369
890,4335
891,4329
892,4350
