"time","sum_size"
1,5706
2,6468
3,6694
4,7083
5,7130
6,7032
7,6969
8,7242
9,7544
10,7265
11,7355
12,7240
13,7435
14,7637
15,8122
16,8084
17,7488
18,8198
19,8251
20,8111
21,7834
22,7794
23,8408
24,8193
25,8092
26,8478
27,8605
28,8800
29,8018
30,8597
31,8725
32,8913
33,9827
34,9001
35,8429
36,8627
37,8694
38,9240
39,10036
40,9183
41,9300
42,9338
43,9178
44,8945
45,9310
46,9853
47,10476
48,10358
49,9377
50,9701
51,9438
52,9808
53,9453
54,9030
55,9635
56,9136
57,9047
58,9130
59,8987
60,10198
61,9772
62,10329
63,10586
64,10192
65,10366
66,10523
67,10753
68,10419
69,10776
70,10570
71,10286
72,10342
73,10228
74,10886
75,11343
76,10837
77,10943
78,11394
79,11446
80,11288
81,11185
82,10683
83,10461
84,10893
85,10652
86,10672
87,10506
88,9999
89,10382
90,10718
91,10637
92,10379
93,10373
94,10450
95,10935
96,10044
97,10806
98,10791
99,11296
100,11302
101,10662
102,11235
103,10842
104,11381
105,11180
106,10827
107,11039
108,11262
109,12196
110,11881
111,11557
112,12555
113,12633
114,11752
115,11713
116,12556
117,12616
118,13158
119,14177
120,13613
121,13686
122,13057
123,13005
124,13682
125,12550
126,12592
127,13560
128,13030
129,13379
130,13267
131,12884
132,12874
133,13108
134,13776
135,14747
136,14405
137,13624
138,13455
139,13496
140,13024
141,12573
142,13323
143,13335
144,14388
145,14481
146,14328
147,13715
148,14016
149,14025
150,13965
151,13556
152,13806
153,13973
154,14684
155,15012
156,16446
157,14950
158,15236
159,15615
160,15813
161,15055
162,14467
163,15464
164,14508
165,14810
166,15247
167,15508
168,14813
169,15207
170,15951
171,16198
172,16797
173,16807
174,17598
175,16724
176,16463
177,15940
178,15949
179,15685
180,16131
181,15810
182,16131
183,16050
184,17374
185,17139
186,18226
187,17628
188,17752
189,17953
190,18490
191,17156
192,17814
193,18538
194,18904
195,18566
196,18205
197,18657
198,16890
199,17822
200,17503
201,17697
202,17245
203,18164
204,18054
205,18234
206,18784
207,19115
208,19410
209,19895
210,19465
211,19448
212,19337
213,19814
214,19940
215,19203
216,20335
217,19523
218,18656
219,20796
220,21764
221,19852
222,20154
223,19476
224,20698
225,20675
226,20433
227,19585
228,20647
229,20770
230,20512
231,20414
232,20933
233,20603
234,21397
235,20305
236,21958
237,21838
238,21332
239,21259
240,22016
241,21947
242,22127
243,22133
244,22444
245,23023
246,22757
247,23203
248,22580
249,22732
250,22502
251,22082
252,22145
253,22606
254,22225
255,22122
256,22876
257,23233
258,23812
259,23385
260,22557
261,23890
262,23632
263,23697
264,23318
265,23330
266,24688
267,25263
268,24328
269,25829
270,24876
271,24766
272,24329
273,24694
274,23377
275,24080
276,23496
277,23920
278,23626
279,24082
280,26130
281,23204
282,23839
283,23080
284,22724
285,22513
286,23156
287,22129
288,21960
289,23305
290,22799
291,22878
292,23854
293,23815
294,23589
295,23841
296,23630
297,23849
298,24148
299,24769
300,24231
301,24416
302,24501
303,25000
304,25474
305,24875
306,25439
307,23696
308,24643
309,24665
310,23676
311,23946
312,24908
313,26712
314,22959
315,22106
316,21321
317,21746
318,22309
319,21673
320,21997
321,22201
322,22299
323,22087
324,22201
325,22019
326,22531
327,23782
328,23462
329,22698
330,23216
331,22463
332,22822
333,22241
334,22840
335,22622
336,22966
337,22953
338,23923
339,23578
340,23053
341,23739
342,23609
343,24203
344,24802
345,23758
346,24617
347,24265
348,24432
349,24711
350,25213
351,26399
352,23206
353,22942
354,23332
355,23627
356,23393
357,23428
358,24155
359,24193
360,24164
361,23752
362,23914
363,23983
364,23776
365,24256
366,23511
367,24914
368,23994
369,25765
370,23583
371,22178
372,23298
373,23190
374,23215
375,23498
376,23399
377,22776
378,23566
379,24502
380,24143
381,23967
382,24793
383,23767
384,24530
385,24488
386,24035
387,24554
388,23913
389,25654
390,23855
391,23913
392,23176
393,24678
394,25400
395,23336
396,24583
397,24144
398,24243
399,24219
400,25392
401,23663
402,23407
403,23540
404,23807
405,23969
406,24627
407,24438
408,25150
409,24301
410,24376
411,24040
412,24877
413,24875
414,25539
415,25327
416,24759
417,24150
418,23919
419,23015
420,24458
421,24466
422,24465
423,24540
424,23175
425,23906
426,25745
427,25687
428,23516
429,24423
430,24036
431,24971
432,23755
433,24140
434,22902
435,23791
436,24032
437,23758
438,24025
439,25111
440,25398
441,23590
442,23750
443,23006
444,22263
445,22638
446,23096
447,23717
448,24452
449,23725
450,24266
451,23796
452,25483
453,23789
454,23516
455,24866
456,23488
457,23547
458,24190
459,25135
460,24346
461,24987
462,24884
463,24606
464,25161
465,25363
466,23953
467,25494
468,25342
469,25082
470,23678
471,23159
472,22429
473,23804
474,25003
475,23755
476,23471
477,24226
478,23358
479,24198
480,24385
481,24388
482,23696
483,23869
484,23685
485,25026
486,23947
487,25037
488,24540
489,24633
490,24487
491,24596
492,24839
493,26531
494,23801
495,24247
496,23002
497,22640
498,22164
499,22405
500,21514
501,23052
502,22065
503,22044
504,22917
505,22067
506,23624
507,23779
508,23625
509,24341
510,23460
511,24319
512,23195
513,24390
514,24078
515,25263
516,25518
517,24607
518,24374
519,23806
520,23719
521,23781
522,23699
523,24031
524,23511
525,24240
526,23865
527,25107
528,25389
529,23282
530,25154
531,24250
532,23417
533,24253
534,24034
535,24993
536,24725
537,25232
538,24638
539,24142
540,24088
541,24692
542,24282
543,23475
544,25064
545,25197
546,24393
547,24878
548,25382
549,25354
550,25533
551,24314
552,24232
553,22563
554,23884
555,24538
556,24013
557,23447
558,23546
559,23714
560,23837
561,24269
562,24014
563,24300
564,25231
565,24566
566,24173
567,24329
568,24477
569,24853
570,24577
571,24568
572,25296
573,24625
574,23416
575,23497
576,23825
577,23426
578,23273
579,23923
580,24631
581,24534
582,25332
583,23732
584,24071
585,23937
586,23606
587,23072
588,24413
589,25052
590,23531
591,24573
592,24180
593,24475
594,25001
595,24739
596,24359
597,25401
598,24981
599,24171
600,24918
601,25488
602,24144
603,23588
604,23699
605,23778
606,25220
607,25424
608,23969
609,24136
610,24276
611,24170
612,25069
613,25113
614,25784
615,23505
616,23387
617,23483
618,22951
619,23487
620,22622
621,25133
622,24365
623,24583
624,23700
625,23799
626,23944
627,24485
628,24219
629,24458
630,25004
631,24482
632,24664
633,23908
634,24201
635,24458
636,23904
637,25577
638,23386
639,23601
640,24258
641,23421
642,23669
643,23810
644,25810
645,25054
646,23976
647,24088
648,23128
649,23328
650,23369
651,23115
652,24711
653,23640
654,24535
655,24120
656,24619
657,24667
658,25454
659,23863
660,24178
661,24771
662,24943
663,25177
664,25066
665,24574
666,23924
667,23435
668,23188
669,23557
670,24848
671,25417
672,24619
673,24460
674,24480
675,23790
676,23248
677,24441
678,24345
679,24919
680,23393
681,23947
682,23397
683,23610
684,25233
685,24578
686,24994
687,25298
688,24067
689,24789
690,25851
691,24257
692,23837
693,24286
694,24065
695,24481
696,24447
697,24506
698,24337
699,24565
700,24569
701,25012
702,25638
703,23905
704,24108
705,23774
706,24593
707,23250
708,24748
709,24780
710,25276
711,24281
712,24604
713,24835
714,23443
715,24092
716,23785
717,24171
718,23618
719,26006
720,23380
721,22681
722,23518
723,24762
724,24968
725,24729
726,23809
727,23439
728,23486
729,24040
730,24150
731,25384
732,23556
733,23374
734,23923
735,24296
736,24377
737,24109
738,23811
739,24454
740,24349
741,23727
742,25029
743,25177
744,24463
745,23883
746,23915
747,25326
748,23222
749,23640
750,23216
751,24632
752,24184
753,23903
754,24727
755,24359
756,25484
757,23873
758,25304
759,24599
760,24354
761,24111
762,25942
763,23883
764,23165
765,22009
766,22745
767,22709
768,22841
769,23235
770,23466
771,22635
772,23168
773,23317
774,24781
775,24092
776,24680
777,24008
778,23695
779,24503
780,26102
781,22985
782,22269
783,23486
784,22573
785,22551
786,21940
787,22518
788,23810
789,24951
790,23638
791,23194
792,22973
793,23386
794,24062
795,23229
796,23529
797,25245
798,24829
799,25451
800,24214
801,24291
802,24329
803,24883
804,25467
805,23698
806,23675
807,22691
808,23087
809,23666
810,23149
811,23151
812,23007
813,23742
814,24469
815,23959
816,24869
817,25139
818,25387
819,23209
820,24703
821,23208
822,22814
823,24007
824,24020
825,24632
826,24557
827,23861
828,24956
829,24613
830,24503
831,24976
832,24799
833,24786
834,24048
835,24595
836,25842
837,24031
838,23858
839,23159
840,24044
841,25279
842,24278
843,24889
844,24693
845,23907
846,23594
847,24425
848,25083
849,23573
850,23057
851,23401
852,25282
853,25766
854,24105
855,23147
856,23108
857,23454
858,23266
859,22415
860,23231
861,23172
862,23826
863,23273
864,23103
865,24370
866,25637
867,24224
868,24129
869,23515
870,23583
871,23658
872,23707
873,24057
874,25136
875,22725
876,24734
877,24410
878,24435
879,25105
880,23864
881,22800
882,23335
883,24176
884,24752
885,25298
886,24338
887,23715
888,24016
889,24191
890,24814
891,23552
892,22759
893,24342
894,24747
895,24982
896,25776
897,23805
898,23861
899,24798
900,24712
901,25383
902,24541
903,24969
904,25113
905,24070
906,24217
907,25145
908,25348
909,23868
910,24544
911,23440
912,23690
913,24349
914,25053
915,25586
916,23629
917,24419
918,25955
919,23999
920,23112
921,23088
922,21922
923,23634
924,22873
925,22883
926,23152
927,23609
928,23637
929,23330
930,24067
931,24791
932,23923
933,23684
934,23862
935,23265
936,23507
937,25054
938,25019
939,24887
940,26452
941,23089
942,22811
943,22080
944,22739
945,23468
946,22582
947,22116
948,23522
949,24843
950,23799
951,23603
952,23470
953,23544
954,23648
955,23894
956,24731
957,24417
958,25000
959,25071
960,24322
961,25842
962,23223
963,23977
964,23655
965,25809
966,22888
967,22535
968,21229
969,22055
970,21987
971,22180
972,23118
973,24204
974,23435
975,23034
976,23369
977,22906
978,22818
979,21831
980,24045
981,23182
982,23009
983,23832
984,23184
985,23638
986,23101
987,23740
988,24077
989,24624
990,23980
991,24011
992,24326
993,24533
994,24160
995,24255
996,24003
997,25588
998,24988
999,25227
1000,23629
1001,23319
1002,23166
1003,24203
1004,24059
1005,24754
1006,24867
1007,24873
1008,24766
1009,25027
1010,25205
1011,24087
1012,24462
1013,25451
1014,23621
1015,25320
1016,24310
1017,23110
1018,22640
1019,23547
1020,23682
1021,23173
1022,24210
1023,24399
1024,25264
1025,24651
1026,25344
1027,23454
1028,23657
1029,24033
1030,24873
1031,24598
1032,24517
1033,24078
1034,24216
1035,24733
1036,24874
1037,25433
1038,24021
1039,24421
1040,24451
1041,25012
1042,24938
1043,24587
1044,23897
1045,24613
1046,24771
1047,24797
1048,24176
1049,25342
1050,24269
1051,23687
1052,24587
1053,25156
1054,25771
1055,24030
1056,24182
1057,24443
1058,23723
1059,23645
1060,24243
1061,25151
1062,24915
1063,25430
1064,23784
1065,23971
1066,24685
1067,24866
1068,24253
1069,23680
1070,23740
1071,23858
1072,25969
1073,23975
1074,23983
1075,23415
1076,22845
1077,23910
1078,23352
1079,22891
1080,24123
1081,23433
1082,23697
1083,22891
1084,22836
1085,22545
1086,24405
1087,24581
1088,23827
1089,23681
1090,24346
1091,24220
1092,25091
1093,25151
1094,25202
1095,23686
1096,24804
1097,24557
1098,22950
1099,23630
1100,23711
1101,22799
1102,24163
1103,24563
1104,24502
1105,24860
1106,23278
1107,24454
1108,24845
1109,25709
1110,24989
1111,24554
1112,24237
1113,24746
1114,24485
1115,23618
1116,24049
1117,24684
1118,25115
1119,26041
1120,24051
1121,23362
1122,23506
1123,24472
1124,24266
1125,24240
1126,23636
1127,23287
1128,24213
1129,25185
1130,25267
1131,24583
1132,25366
1133,24129
1134,23556
1135,23045
1136,24012
1137,23784
1138,24069
1139,23213
1140,24655
1141,25907
1142,23750
1143,24660
1144,24106
1145,24308
1146,23567
1147,23007
1148,22316
1149,23730
1150,23258
1151,23840
1152,23678
1153,24503
1154,23251
1155,23823
1156,23610
1157,23809
1158,23651
1159,25580
1160,23207
1161,24290
1162,24246
1163,23621
1164,24205
1165,25627
1166,24339
1167,23579
1168,23493
1169,24436
1170,25406
1171,24379
1172,23205
1173,23420
1174,23577
1175,24109
1176,24012
1177,23375
1178,23185
1179,24058
1180,24074
1181,24567
1182,24543
1183,25098
1184,25237
1185,25909
1186,23343
1187,23003
1188,22776
1189,22657
1190,23028
1191,24029
1192,23000
1193,22656
1194,22549
1195,23422
1196,23882
1197,24332
1198,23449
1199,23766
1200,23906
1201,24507
1202,25067
1203,25067
1204,24942
1205,24601
1206,25800
1207,26636
1208,22302
1209,21117
1210,20369
1211,20926
1212,20476
1213,21320
1214,21234
1215,20440
1216,22221
1217,21665
1218,22453
1219,22092
1220,22515
1221,23275
1222,21477
1223,21115
1224,21983
1225,22913
1226,22856
1227,22390
1228,22011
1229,21084
1230,21090
1231,22193
1232,22584
1233,22966
1234,22420
1235,22372
1236,22851
1237,22452
1238,23695
1239,22664
1240,24331
1241,24501
1242,24710
1243,24025
1244,24443
1245,24410
1246,24406
1247,23960
1248,23538
1249,23787
1250,24379
1251,25061
1252,24129
1253,24805
1254,25142
1255,25192
1256,25196
1257,25901
1258,23995
1259,22950
1260,23490
1261,21931
1262,22754
1263,23239
1264,24171
1265,23884
1266,24236
1267,24461
1268,24833
1269,24511
1270,24678
1271,24928
1272,25763
1273,24618
1274,24860
1275,23921
1276,23586
1277,24179
1278,25075
1279,24227
1280,24567
1281,23874
1282,24851
1283,25174
1284,24320
1285,23331
1286,24549
1287,24910
1288,24220
1289,24448
1290,24392
1291,23559
1292,24819
1293,24160
1294,24582
1295,24754
1296,24521
1297,25668
1298,24136
1299,23723
1300,23749
1301,25297
1302,23783
1303,23929
1304,23641
1305,24010
1306,24129
1307,25069
1308,24204
1309,23577
1310,25070
1311,24926
1312,23810
1313,24754
1314,24407
1315,24346
1316,24563
1317,25051
1318,25538
1319,23986
1320,26092
1321,23349
1322,22761
1323,22923
1324,23868
1325,23530
1326,22717
1327,23675
1328,23233
1329,23603
1330,23566
1331,23855
1332,25191
1333,25736
1334,23089
1335,22448
1336,22900
1337,23547
1338,23081
1339,22748
1340,22280
1341,22807
1342,23286
1343,23387
1344,23181
1345,22914
1346,23167
1347,23669
1348,23530
1349,23991
1350,23690
1351,22179
1352,23568
1353,24828
1354,25515
1355,25026
1356,25482
1357,25109
1358,25551
1359,23611
1360,23367
1361,21985
1362,24627
1363,22735
1364,23257
1365,22979
1366,22467
1367,23073
1368,22469
1369,23344
1370,23217
1371,23202
1372,22897
1373,21972
1374,23533
1375,23124
1376,23720
1377,22808
1378,24925
1379,24443
1380,24805
1381,25428
1382,24750
1383,24518
1384,24252
1385,23890
1386,23576
1387,23255
1388,23513
1389,23951
1390,24431
1391,24941
1392,25161
1393,24535
1394,24295
1395,25564
1396,25207
1397,25126
1398,25173
1399,24627
1400,24890
