"time","sum_size"
1,5265
2,5305
3,5621
4,6186
5,7033
6,6939
7,6458
8,6738
9,7016
10,7158
11,6920
12,6894
13,7234
14,8167
15,7846
16,7361
17,7503
18,7824
19,7766
20,7791
21,7753
22,8105
23,8034
24,8030
25,7792
26,8190
27,8508
28,8193
29,8356
30,8619
31,8826
32,8278
33,8650
34,8928
35,9116
36,8509
37,8480
38,8247
39,8367
40,8793
41,9035
42,9449
43,9502
44,9711
45,9822
46,8891
47,9232
48,9170
49,8931
50,8819
51,8883
52,8463
53,8908
54,9847
55,10458
56,9733
57,9344
58,10384
59,9424
60,9946
61,9503
62,9116
63,9254
64,8947
65,9234
66,9811
67,9214
68,8972
69,8943
70,9067
71,8343
72,8804
73,9077
74,9710
75,8887
76,8939
77,9050
78,9047
79,9483
80,8961
81,9433
82,8921
83,8846
84,9162
85,9517
86,9014
87,8781
88,9407
89,9166
90,9389
91,9400
92,9596
93,9915
94,9408
95,9307
96,9215
97,9458
98,9524
99,9969
100,10601
101,10702
102,10202
103,10638
104,10511
105,10089
106,9255
107,10843
108,11528
109,10585
110,10625
111,10272
112,10915
113,10308
114,11539
115,11079
116,11326
117,10851
118,11015
119,11259
120,10417
121,10519
122,11943
123,11877
124,10991
125,11210
126,10542
127,11022
128,10530
129,11743
130,11010
131,11083
132,11216
133,11856
134,12457
135,12418
136,12513
137,13145
138,13148
139,12340
140,12796
141,13724
142,13358
143,13257
144,13015
145,12326
146,12722
147,12919
148,13713
149,13146
150,12880
151,13256
152,13648
153,13680
154,13441
155,13870
156,12833
157,14001
158,14469
159,14207
160,14482
161,13810
162,14311
163,14609
164,14908
165,14389
166,13984
167,14728
168,15626
169,15407
170,15000
171,15013
172,14912
173,15043
174,14567
175,14824
176,14970
177,15383
178,15532
179,15084
180,14967
181,15141
182,16248
183,15849
184,15678
185,15817
186,15651
187,16863
188,16725
189,16037
190,16715
191,17380
192,18179
193,17343
194,16979
195,17195
196,16577
197,16596
198,17114
199,16640
200,16643
201,17568
202,17386
203,17991
204,17738
205,17249
206,17543
207,17818
208,17033
209,16889
210,17778
211,17362
212,17280
213,17059
214,18577
215,18488
216,18293
217,17509
218,17753
219,17885
220,17296
221,18001
222,18880
223,19569
224,19688
225,20164
226,18905
227,19255
228,19754
229,19155
230,18808
231,18499
232,18723
233,18121
234,19646
235,19257
236,21083
237,19622
238,19405
239,19318
240,19049
241,19020
242,20977
243,21397
244,21132
245,21822
246,21446
247,22153
248,22055
249,21315
250,21268
251,21944
252,21756
253,21623
254,22389
255,23082
256,21716
257,22381
258,22367
259,22240
260,22362
261,22530
262,22861
263,21943
264,24409
265,23558
266,23060
267,23839
268,24686
269,24237
270,24229
271,23423
272,23474
273,23462
274,23302
275,24207
276,24331
277,23782
278,24427
279,25988
280,23512
281,24108
282,23374
283,23246
284,23479
285,23634
286,23262
287,23698
288,23346
289,23779
290,24103
291,24434
292,23938
293,23607
294,24992
295,24203
296,24143
297,23349
298,24448
299,24825
300,24619
301,25614
302,24564
303,25591
304,23794
305,23239
306,23148
307,22469
308,23452
309,23464
310,23090
311,23187
312,24455
313,25235
314,24778
315,25510
316,23416
317,23426
318,23849
319,23907
320,23214
321,22948
322,24020
323,22151
324,23612
325,25535
326,22970
327,24161
328,24868
329,24806
330,24148
331,24703
332,23883
333,24725
334,24086
335,24248
336,23031
337,24036
338,24337
339,23606
340,24275
341,24646
342,24115
