"","time","sum_size"
"1",1,1218
"2",2,1264
"3",3,1592
"4",4,1445
"5",5,1673
"6",6,1715
"7",7,1420
"8",8,1903
"9",9,1570
"10",10,1783
"11",11,1810
"12",12,1615
"13",13,1725
"14",14,1688
"15",15,1774
"16",16,1683
"17",17,1824
"18",18,1901
"19",19,1801
"20",20,1539
"21",21,2095
"22",22,2041
"23",23,2203
"24",24,2208
"25",25,1935
"26",26,2145
"27",27,1849
"28",28,1869
"29",29,1815
"30",30,1862
"31",31,1837
"32",32,1773
"33",33,1892
"34",34,1897
"35",35,1789
"36",36,1690
"37",37,1722
"38",38,1679
"39",39,2374
"40",40,2618
"41",41,2168
"42",42,2092
"43",43,1957
"44",44,1921
"45",45,1886
"46",46,1755
"47",47,2017
"48",48,1873
"49",49,1842
"50",50,1705
"51",51,2153
"52",52,2166
"53",53,2339
"54",54,2131
"55",55,1977
"56",56,1899
"57",57,1882
"58",58,1986
"59",59,1950
"60",60,2023
"61",61,1890
"62",62,1993
"63",63,2012
"64",64,2107
"65",65,2048
"66",66,2526
"67",67,2090
"68",68,2026
"69",69,2465
"70",70,1968
"71",71,1881
"72",72,1698
"73",73,1915
"74",74,1885
"75",75,1797
"76",76,1820
"77",77,1783
"78",78,1967
"79",79,2075
"80",80,1756
"81",81,1963
"82",82,1687
"83",83,1744
"84",84,1668
"85",85,1691
"86",86,1796
"87",87,1910
"88",88,1897
"89",89,2066
"90",90,2134
"91",91,1752
"92",92,1852
"93",93,2265
"94",94,2057
"95",95,1962
"96",96,1961
"97",97,1977
"98",98,1965
"99",99,2118
"100",100,2056
"101",101,1982
"102",102,2092
"103",103,2249
"104",104,2242
"105",105,2052
"106",106,2178
"107",107,1958
"108",108,2048
"109",109,2257
"110",110,1886
"111",111,2374
"112",112,2323
"113",113,2320
"114",114,2325
"115",115,2307
"116",116,2107
"117",117,2389
"118",118,2397
"119",119,2040
"120",120,2227
"121",121,2352
"122",122,2244
"123",123,2469
"124",124,2397
"125",125,2023
"126",126,1937
"127",127,2133
"128",128,2107
"129",129,2443
"130",130,2121
"131",131,2092
"132",132,2071
"133",133,2091
"134",134,2407
"135",135,2157
"136",136,2122
"137",137,2049
"138",138,2180
"139",139,2077
"140",140,1835
"141",141,2046
"142",142,2009
"143",143,1895
"144",144,2207
"145",145,1978
"146",146,2126
"147",147,2474
"148",148,2285
"149",149,2389
"150",150,2338
"151",151,2378
"152",152,2258
"153",153,2277
"154",154,2441
"155",155,2169
"156",156,2310
"157",157,2277
"158",158,2233
"159",159,2909
"160",160,2496
"161",161,2255
"162",162,2438
"163",163,2296
"164",164,2602
"165",165,2861
"166",166,2379
"167",167,2467
"168",168,2237
"169",169,2222
"170",170,2066
"171",171,2186
"172",172,2415
"173",173,2249
"174",174,2226
"175",175,2003
"176",176,2158
"177",177,2150
"178",178,2090
"179",179,2042
"180",180,1951
"181",181,2109
"182",182,2120
"183",183,2453
"184",184,2416
"185",185,2361
"186",186,2840
"187",187,2442
"188",188,2306
"189",189,2227
"190",190,1969
"191",191,2144
"192",192,2428
"193",193,2198
"194",194,2555
"195",195,2320
"196",196,2188
"197",197,2179
"198",198,2331
"199",199,2406
"200",200,2865
"201",201,2771
"202",202,2574
"203",203,2174
"204",204,3218
"205",205,2670
"206",206,2921
"207",207,2491
"208",208,2328
"209",209,2917
"210",210,2584
"211",211,2662
"212",212,2785
"213",213,2652
"214",214,2987
"215",215,2787
"216",216,2963
"217",217,3125
"218",218,2911
"219",219,2920
"220",220,2686
"221",221,2506
"222",222,2936
"223",223,2720
"224",224,2457
"225",225,2439
"226",226,2390
"227",227,2457
"228",228,2908
"229",229,2473
"230",230,2542
"231",231,2459
"232",232,3224
"233",233,2984
"234",234,2901
"235",235,2728
"236",236,2465
"237",237,2578
"238",238,2396
"239",239,2709
"240",240,2603
"241",241,2474
"242",242,2492
"243",243,2996
"244",244,2683
"245",245,2473
"246",246,2361
"247",247,2300
"248",248,2373
"249",249,2346
"250",250,2283
"251",251,2702
"252",252,2328
"253",253,2454
"254",254,2804
"255",255,2603
"256",256,2603
"257",257,2633
"258",258,2579
"259",259,2397
"260",260,2898
"261",261,2646
"262",262,2717
"263",263,2510
"264",264,2466
"265",265,2377
"266",266,2674
"267",267,2823
"268",268,2913
"269",269,2746
"270",270,2803
"271",271,3092
"272",272,2922
"273",273,2643
"274",274,2707
"275",275,2950
"276",276,3173
"277",277,3161
"278",278,3037
"279",279,2626
"280",280,2964
"281",281,2540
"282",282,2846
"283",283,2574
"284",284,2817
"285",285,2818
"286",286,2632
"287",287,2564
"288",288,2477
"289",289,2676
"290",290,2598
"291",291,2718
"292",292,2704
"293",293,2508
