"","time","sum_size"
"1",1,1267
"2",2,1169
"3",3,1345
"4",4,1590
"5",5,1804
"6",6,1841
"7",7,1471
"8",8,1650
"9",9,1755
"10",10,1764
"11",11,2088
"12",12,2394
"13",13,2438
"14",14,1996
"15",15,2003
"16",16,1800
"17",17,2429
"18",18,2216
"19",19,2544
"20",20,2722
"21",21,2813
"22",22,2709
"23",23,2685
"24",24,2235
"25",25,2285
"26",26,2616
"27",27,2320
"28",28,2396
"29",29,2706
"30",30,2769
"31",31,2714
"32",32,2609
"33",33,2616
"34",34,2933
"35",35,3206
"36",36,3159
"37",37,2641
"38",38,3039
"39",39,3419
"40",40,3100
"41",41,2965
"42",42,3644
"43",43,3303
"44",44,3233
"45",45,3633
"46",46,3425
"47",47,2940
"48",48,3139
"49",49,3484
"50",50,3565
"51",51,3170
"52",52,3316
"53",53,3177
"54",54,3197
"55",55,3402
"56",56,3169
"57",57,3124
"58",58,3347
"59",59,3481
"60",60,3454
"61",61,4161
"62",62,3660
"63",63,4169
"64",64,3985
"65",65,3562
"66",66,3831
"67",67,4154
"68",68,4899
"69",69,4726
"70",70,4340
"71",71,4554
"72",72,4858
"73",73,4324
"74",74,4589
"75",75,4988
"76",76,5309
"77",77,4172
"78",78,4384
"79",79,4395
"80",80,4008
"81",81,4506
"82",82,5601
"83",83,4058
"84",84,3880
"85",85,3979
"86",86,3592
"87",87,3664
"88",88,3940
"89",89,5135
"90",90,4152
"91",91,4229
"92",92,4260
"93",93,4841
"94",94,4858
"95",95,4753
"96",96,4457
"97",97,4860
"98",98,4453
"99",99,4473
"100",100,4879
"101",101,5475
"102",102,4165
"103",103,3990
"104",104,4081
"105",105,4267
"106",106,4278
"107",107,4733
"108",108,4405
"109",109,4094
"110",110,4413
"111",111,4794
"112",112,4690
"113",113,4359
"114",114,4728
"115",115,5474
"116",116,4581
"117",117,4337
"118",118,3971
"119",119,4508
"120",120,4965
"121",121,4684
"122",122,5444
"123",123,5140
"124",124,3868
"125",125,3613
"126",126,3789
"127",127,3512
"128",128,3584
"129",129,3594
"130",130,3803
"131",131,4072
"132",132,4294
"133",133,4528
"134",134,4828
"135",135,4846
"136",136,4395
"137",137,4226
"138",138,4947
"139",139,4686
"140",140,4938
"141",141,5275
"142",142,4514
"143",143,4480
"144",144,4542
"145",145,4720
"146",146,4497
"147",147,3932
"148",148,4458
"149",149,4148
"150",150,3728
"151",151,3901
"152",152,4116
"153",153,5081
"154",154,4464
"155",155,4840
"156",156,4586
"157",157,4879
"158",158,5476
"159",159,4295
"160",160,4211
"161",161,4331
"162",162,4208
"163",163,4835
"164",164,4794
"165",165,4951
"166",166,4767
"167",167,5235
"168",168,4415
"169",169,4230
"170",170,4025
"171",171,4683
"172",172,4332
"173",173,4887
"174",174,4938
"175",175,4741
"176",176,4827
"177",177,4662
"178",178,4334
"179",179,4925
"180",180,5556
"181",181,4608
"182",182,4170
"183",183,4635
"184",184,5249
"185",185,4940
"186",186,4528
"187",187,4476
"188",188,4987
"189",189,4544
"190",190,4801
"191",191,5322
"192",192,4903
"193",193,4576
"194",194,4738
"195",195,4730
"196",196,4208
"197",197,4716
"198",198,4927
"199",199,4810
"200",200,5221
"201",201,4861
"202",202,4959
"203",203,4584
"204",204,4954
"205",205,4484
"206",206,4186
"207",207,5275
"208",208,4429
"209",209,4016
"210",210,4594
"211",211,5024
"212",212,5148
"213",213,4727
"214",214,4517
"215",215,4428
"216",216,4822
"217",217,5011
"218",218,4747
"219",219,5440
"220",220,4265
"221",221,4916
"222",222,4976
"223",223,4794
"224",224,5267
"225",225,4589
"226",226,3884
"227",227,4163
"228",228,3786
"229",229,3622
"230",230,3921
"231",231,4227
"232",232,4788
"233",233,5019
"234",234,4759
"235",235,4500
"236",236,4663
"237",237,4665
"238",238,5122
"239",239,5093
"240",240,4632
"241",241,4966
"242",242,4699
"243",243,4334
"244",244,4421
"245",245,4527
"246",246,4465
"247",247,4859
"248",248,4794
"249",249,5644
"250",250,4607
"251",251,4273
"252",252,4993
"253",253,4650
"254",254,4515
"255",255,4295
"256",256,4698
"257",257,4815
"258",258,4624
"259",259,4697
"260",260,4668
"261",261,4799
"262",262,4787
"263",263,5791
"264",264,4048
"265",265,3940
"266",266,4271
"267",267,4571
"268",268,4949
"269",269,5270
"270",270,4123
"271",271,4201
"272",272,4016
"273",273,4303
"274",274,4561
"275",275,5192
"276",276,4725
"277",277,4734
"278",278,4473
"279",279,4144
"280",280,4747
"281",281,4242
"282",282,4487
"283",283,4647
"284",284,4957
"285",285,4703
"286",286,4291
"287",287,5266
"288",288,4845
"289",289,4496
"290",290,5047
"291",291,4638
"292",292,5080
"293",293,4759
"294",294,5256
"295",295,4409
"296",296,4256
"297",297,3890
"298",298,3607
"299",299,3619
"300",300,4371
"301",301,4641
"302",302,5562
"303",303,3906
"304",304,3562
"305",305,4061
"306",306,4231
"307",307,4400
"308",308,3917
"309",309,4459
"310",310,4182
"311",311,4246
"312",312,4288
"313",313,5072
"314",314,4884
"315",315,5179
"316",316,4483
"317",317,4128
"318",318,4253
"319",319,4588
"320",320,4830
"321",321,5348
"322",322,4616
"323",323,4669
"324",324,4689
"325",325,4226
"326",326,4580
"327",327,4181
"328",328,4523
"329",329,4767
"330",330,4618
"331",331,4557
"332",332,5103
"333",333,4613
"334",334,5231
"335",335,4504
"336",336,4388
"337",337,4847
"338",338,4849
"339",339,5393
"340",340,4529
"341",341,4249
"342",342,4156
"343",343,4596
"344",344,4483
"345",345,4068
"346",346,4031
"347",347,4260
"348",348,4951
"349",349,5128
"350",350,5196
"351",351,4712
"352",352,4373
"353",353,4910
"354",354,5223
"355",355,4764
"356",356,4895
"357",357,4139
"358",358,4353
"359",359,4755
"360",360,4233
"361",361,4386
"362",362,5033
"363",363,4870
"364",364,4737
"365",365,4932
"366",366,5394
"367",367,4157
"368",368,4325
"369",369,4710
"370",370,5014
"371",371,4717
"372",372,4837
"373",373,4415
"374",374,4592
"375",375,4870
"376",376,4537
"377",377,5362
"378",378,4317
"379",379,4067
"380",380,3855
"381",381,4127
"382",382,4781
"383",383,4589
"384",384,4801
"385",385,4431
"386",386,4278
"387",387,4863
"388",388,5081
"389",389,4266
"390",390,4492
"391",391,4692
"392",392,4766
"393",393,4794
"394",394,5351
"395",395,4337
"396",396,4515
"397",397,4224
"398",398,3942
"399",399,4532
"400",400,4611
"401",401,4720
"402",402,4714
"403",403,4629
"404",404,4473
"405",405,4729
"406",406,5114
"407",407,4791
"408",408,5255
"409",409,5084
"410",410,4323
"411",411,4488
"412",412,4551
"413",413,4785
"414",414,5293
"415",415,4297
"416",416,4268
"417",417,4217
"418",418,4618
"419",419,4446
"420",420,4698
"421",421,5027
"422",422,4537
"423",423,4450
"424",424,4908
"425",425,5280
"426",426,4118
"427",427,4858
"428",428,4344
"429",429,5246
"430",430,5060
"431",431,4617
"432",432,4992
"433",433,5169
"434",434,5047
"435",435,4943
"436",436,4706
"437",437,4733
"438",438,4780
"439",439,4948
"440",440,4730
"441",441,4926
"442",442,4937
"443",443,4859
"444",444,5085
"445",445,4761
"446",446,5452
"447",447,4247
"448",448,4748
"449",449,4205
"450",450,4193
"451",451,4763
"452",452,4424
"453",453,4468
"454",454,4461
"455",455,5071
"456",456,4843
"457",457,5033
"458",458,4807
"459",459,5110
"460",460,5062
"461",461,4792
"462",462,5260
"463",463,4558
"464",464,4239
"465",465,4098
"466",466,4880
"467",467,4698
"468",468,4419
"469",469,4833
"470",470,4796
"471",471,5324
"472",472,4126
"473",473,4804
"474",474,4473
"475",475,4487
"476",476,4526
"477",477,4930
"478",478,4547
"479",479,4612
"480",480,4389
"481",481,4519
"482",482,5039
"483",483,5329
"484",484,4882
"485",485,4327
"486",486,4599
"487",487,4506
"488",488,4396
"489",489,4415
"490",490,4181
"491",491,4964
"492",492,4584
"493",493,5284
"494",494,5264
"495",495,4410
"496",496,4725
"497",497,4380
"498",498,4214
"499",499,4324
"500",500,4571
"501",501,4986
"502",502,4832
"503",503,5366
"504",504,4577
"505",505,4688
"506",506,4726
"507",507,4238
"508",508,4489
"509",509,4881
"510",510,5132
"511",511,4381
"512",512,4894
"513",513,5607
"514",514,4494
"515",515,4546
"516",516,4109
"517",517,4020
"518",518,3929
"519",519,4544
"520",520,4516
"521",521,4007
"522",522,4686
"523",523,4347
"524",524,4290
"525",525,4532
"526",526,4176
"527",527,4530
"528",528,4502
"529",529,4618
"530",530,4310
"531",531,4543
"532",532,4854
"533",533,4195
"534",534,4404
"535",535,4496
"536",536,4180
"537",537,4750
"538",538,4677
"539",539,4846
"540",540,4967
"541",541,5548
"542",542,4644
"543",543,4450
"544",544,4522
"545",545,4933
"546",546,5012
"547",547,5083
"548",548,4528
"549",549,4989
"550",550,4890
"551",551,4774
"552",552,4863
"553",553,4756
"554",554,4708
"555",555,4400
"556",556,4575
"557",557,4672
"558",558,5393
"559",559,4561
"560",560,4465
"561",561,4894
"562",562,5037
"563",563,4667
"564",564,5285
"565",565,4738
"566",566,4368
"567",567,4120
"568",568,4536
"569",569,4980
"570",570,4791
"571",571,4707
"572",572,4485
"573",573,4422
"574",574,4826
"575",575,4628
"576",576,5018
"577",577,5719
"578",578,4434
"579",579,4249
"580",580,4246
"581",581,4742
"582",582,4181
"583",583,4748
"584",584,4588
"585",585,4688
"586",586,4983
"587",587,4839
"588",588,4432
"589",589,4396
"590",590,4054
"591",591,4278
"592",592,5171
"593",593,4416
"594",594,4250
"595",595,5476
"596",596,4138
"597",597,4091
"598",598,4177
"599",599,3959
"600",600,4124
"601",601,4078
"602",602,4318
"603",603,4579
"604",604,4755
"605",605,5012
"606",606,4683
"607",607,5052
"608",608,4721
"609",609,5116
"610",610,5317
"611",611,4422
"612",612,4150
"613",613,3928
"614",614,3936
"615",615,4316
"616",616,4331
"617",617,4903
"618",618,4735
"619",619,4598
"620",620,5452
"621",621,4304
"622",622,3996
"623",623,4354
"624",624,5118
"625",625,4870
"626",626,4796
"627",627,4227
"628",628,3785
"629",629,5559
"630",630,4057
"631",631,4023
"632",632,3919
"633",633,4344
"634",634,3874
"635",635,3753
"636",636,3621
"637",637,3377
"638",638,3390
"639",639,3289
"640",640,3280
"641",641,4049
"642",642,3575
"643",643,3746
"644",644,3887
"645",645,4459
"646",646,4253
"647",647,4383
"648",648,4568
"649",649,4904
"650",650,4909
"651",651,4333
"652",652,4539
"653",653,4888
"654",654,4433
"655",655,5458
"656",656,5175
"657",657,4599
"658",658,3872
"659",659,3844
"660",660,4395
"661",661,4268
"662",662,4394
"663",663,4920
"664",664,4735
"665",665,4408
"666",666,4130
"667",667,4713
"668",668,4379
"669",669,4421
"670",670,4245
"671",671,4551
"672",672,4910
"673",673,5047
"674",674,5068
"675",675,5388
"676",676,4709
"677",677,4581
"678",678,4286
"679",679,4417
"680",680,4497
"681",681,4638
"682",682,4588
"683",683,4430
"684",684,5944
"685",685,4086
"686",686,3216
"687",687,3718
"688",688,4168
"689",689,3501
"690",690,3310
"691",691,3596
"692",692,4045
"693",693,3914
"694",694,3510
"695",695,3632
"696",696,4213
"697",697,3906
"698",698,4166
"699",699,4243
"700",700,4096
"701",701,4001
"702",702,4127
"703",703,4850
"704",704,4165
"705",705,4058
"706",706,3999
"707",707,3861
"708",708,3851
"709",709,4206
"710",710,3936
"711",711,4838
"712",712,4995
"713",713,5030
"714",714,4620
"715",715,5515
"716",716,4338
"717",717,4805
"718",718,4742
"719",719,4567
"720",720,4731
"721",721,4647
"722",722,4467
"723",723,4896
"724",724,4737
"725",725,4707
"726",726,5045
"727",727,5833
"728",728,4323
"729",729,3721
"730",730,4048
"731",731,3517
"732",732,3438
"733",733,4009
"734",734,4239
"735",735,4247
"736",736,4020
"737",737,4296
"738",738,4272
"739",739,4309
"740",740,4086
"741",741,4208
"742",742,4125
"743",743,4379
"744",744,4897
"745",745,4442
"746",746,4291
"747",747,4952
"748",748,4453
"749",749,4676
"750",750,5150
"751",751,5013
"752",752,4510
"753",753,4691
"754",754,4892
"755",755,6025
"756",756,3406
"757",757,3580
"758",758,3381
"759",759,3390
"760",760,3505
"761",761,3387
"762",762,3796
"763",763,3374
"764",764,3568
"765",765,3972
"766",766,3902
"767",767,3987
"768",768,3419
"769",769,4111
"770",770,4165
"771",771,3904
"772",772,4173
"773",773,4262
"774",774,3902
"775",775,4181
"776",776,4170
"777",777,4773
"778",778,4777
"779",779,4528
"780",780,4363
"781",781,5111
"782",782,4823
"783",783,4450
"784",784,4551
"785",785,4265
"786",786,4624
"787",787,4948
"788",788,5226
"789",789,4490
"790",790,4109
"791",791,4521
"792",792,5084
"793",793,5075
"794",794,4792
"795",795,4860
"796",796,4349
"797",797,4847
"798",798,4819
"799",799,4944
"800",800,4978
"801",801,5180
"802",802,4923
"803",803,4782
"804",804,5669
"805",805,4393
"806",806,4425
"807",807,4090
"808",808,4780
"809",809,4415
"810",810,4848
"811",811,4285
"812",812,4067
"813",813,4088
"814",814,4393
"815",815,4248
"816",816,5692
"817",817,4248
"818",818,4023
"819",819,3671
"820",820,4044
"821",821,3877
"822",822,4033
"823",823,3755
"824",824,3663
"825",825,3924
"826",826,4375
"827",827,4130
"828",828,4234
"829",829,4604
"830",830,4176
"831",831,4109
"832",832,4520
"833",833,4383
"834",834,4680
"835",835,4029
"836",836,4826
"837",837,4629
"838",838,4604
"839",839,4204
"840",840,4798
"841",841,4919
"842",842,4720
"843",843,4840
"844",844,5185
"845",845,4930
"846",846,5079
"847",847,4570
"848",848,4608
"849",849,4950
"850",850,4524
"851",851,4789
"852",852,5548
"853",853,4888
"854",854,4369
"855",855,4183
"856",856,4406
"857",857,4570
"858",858,4809
"859",859,4426
"860",860,4754
"861",861,4846
"862",862,4747
"863",863,5070
"864",864,4630
"865",865,4700
"866",866,4998
"867",867,5274
"868",868,4465
"869",869,4896
"870",870,4654
"871",871,4963
"872",872,4751
"873",873,4468
"874",874,4102
"875",875,4359
"876",876,4861
"877",877,4745
"878",878,5360
"879",879,4921
"880",880,4659
"881",881,4712
"882",882,4997
"883",883,5570
"884",884,4027
"885",885,4465
"886",886,4000
"887",887,4536
"888",888,4423
"889",889,4504
"890",890,4618
"891",891,4090
"892",892,4137
"893",893,5797
"894",894,4161
"895",895,3729
"896",896,3748
"897",897,3950
"898",898,3867
"899",899,3651
"900",900,4112
"901",901,3909
"902",902,3665
"903",903,4358
"904",904,4256
"905",905,4046
"906",906,4032
"907",907,4022
"908",908,4048
"909",909,3954
"910",910,4187
"911",911,4374
"912",912,4937
"913",913,4768
"914",914,4411
"915",915,4668
"916",916,4438
"917",917,4494
"918",918,5261
"919",919,5119
"920",920,4499
"921",921,4703
"922",922,4682
"923",923,4683
"924",924,4127
"925",925,4387
"926",926,4508
"927",927,4743
"928",928,6090
"929",929,3824
"930",930,3433
"931",931,3008
"932",932,2990
"933",933,3309
"934",934,3287
"935",935,3871
"936",936,3673
"937",937,3459
"938",938,3658
"939",939,3659
"940",940,3311
"941",941,3453
"942",942,3535
"943",943,3575
"944",944,4134
"945",945,4364
"946",946,4235
"947",947,4081
"948",948,3991
"949",949,4464
"950",950,4511
"951",951,4672
"952",952,4297
"953",953,4651
"954",954,5103
"955",955,4139
"956",956,4055
"957",957,4303
"958",958,4613
"959",959,5077
"960",960,4904
"961",961,4476
"962",962,4447
"963",963,4653
"964",964,4602
"965",965,4428
"966",966,4548
"967",967,4187
"968",968,4771
"969",969,4913
"970",970,4655
"971",971,4639
"972",972,4933
"973",973,4824
"974",974,4863
"975",975,5217
"976",976,4867
"977",977,5061
"978",978,5143
"979",979,4840
"980",980,4833
"981",981,5163
"982",982,5116
"983",983,5343
"984",984,4833
"985",985,4641
"986",986,4620
"987",987,4735
"988",988,4954
"989",989,5121
"990",990,4303
"991",991,4876
"992",992,4972
"993",993,5128
"994",994,5027
