"","time","MR_mean_summ","MR_sd_summ","maladaptation_time"
"1",1,0.725453325475309,0.282888570110844,0
"2",2,0.729683929388741,0.272875578004604,0
"3",3,0.736367367316597,0.269937346770362,1
"4",4,0.715022357911219,0.268912801544643,0
"5",5,0.69379698923,0.284451765190088,0
"6",6,0.698514162771082,0.286374184082638,0
"7",7,0.703660316789485,0.278076676513348,1
"8",8,0.698006676551589,0.282113274879748,0
"9",9,0.705921533129202,0.277967795509538,0
"10",10,0.711913399494304,0.27429725409775,1
"11",11,0.70809189655196,0.273892194890213,0
"12",12,0.702972445774069,0.284585610427566,1
"13",13,0.705241137572114,0.276315161594286,1
"14",14,0.703922015148237,0.278135107510551,0
"15",15,0.70072117494752,0.274755071646913,1
"16",16,0.692944337648442,0.275954140042546,0
"17",17,0.715126739604634,0.273473372853164,0
"18",18,0.705166303311998,0.274436080127422,1
"19",19,0.696287240611983,0.27534094408022,1
"20",20,0.708380081267062,0.273203476397317,1
"21",21,0.710740550816552,0.273808707681678,0
"22",22,0.711310905691171,0.268575405360206,1
"23",23,0.712994080117276,0.266992657367795,1
"24",24,0.705649472011607,0.271013416077499,0
"25",25,0.706533874604291,0.270033910699039,1
"26",26,0.722501436025216,0.267385777180132,0
"27",27,0.704480737373891,0.271987024154929,0
"28",28,0.698977491662203,0.271183444243414,0
"29",29,0.717991098463425,0.265690223197728,1
"30",30,0.713361335249664,0.268351797436451,0
"31",31,0.719461270087083,0.265799787229253,0
"32",32,0.715942275877612,0.266549191990176,1
"33",33,0.708106046663497,0.267771634140697,1
"34",34,0.714235531263335,0.263716915990758,1
"35",35,0.730245074833101,0.263115001421048,0
"36",36,0.721982667782549,0.263420261921074,1
"37",37,0.722459864676175,0.268931883931749,0
"38",38,0.713244066833537,0.266158092900685,1
"39",39,0.722124066416271,0.265745768901126,0
"40",40,0.720194142105744,0.265033266205407,1
"41",41,0.726407095373229,0.262578379209773,0
"42",42,0.722465071196815,0.264161641985649,1
"43",43,0.716747605590297,0.27098225957017,1
"44",44,0.705572828958237,0.272978785073555,1
"45",45,0.723832113624701,0.267696537775065,0
"46",46,0.714183556286799,0.269000552733043,1
"47",47,0.721249673672326,0.266270908078011,0
"48",48,0.714231777102381,0.266595363361385,1
"49",49,0.715604438407463,0.263661338107065,1
"50",50,0.715772028998493,0.264136552112735,1
"51",51,0.717522543887333,0.263106332487738,1
"52",52,0.724005414837641,0.259758842966727,0
"53",53,0.71442196083499,0.25936246875518,1
"54",54,0.717904645988059,0.257977902097236,0
"55",55,0.713122927336508,0.263915036243614,0
"56",56,0.703019077982398,0.264533953839798,1
