"","time","sum_size"
"1",1,5071
"2",2,5946
"3",3,6281
"4",4,7038
"5",5,7436
"6",6,7424
"7",7,7619
"8",8,7096
"9",9,7140
"10",10,7490
"11",11,7542
"12",12,7397
"13",13,8024
"14",14,7617
"15",15,8077
"16",16,8108
"17",17,8121
"18",18,7984
"19",19,8243
"20",20,8465
"21",21,8305
"22",22,8456
"23",23,8561
"24",24,8611
"25",25,8593
"26",26,8789
"27",27,8762
"28",28,8890
"29",29,9794
"30",30,10273
"31",31,10457
"32",32,10374
"33",33,10146
"34",34,10320
"35",35,10394
"36",36,10472
"37",37,11001
"38",38,11578
"39",39,11267
"40",40,11883
"41",41,12402
"42",42,12040
"43",43,12075
"44",44,12383
"45",45,12041
"46",46,12208
"47",47,12104
"48",48,11828
"49",49,12711
"50",50,11998
"51",51,12502
"52",52,12852
"53",53,13078
"54",54,13185
"55",55,13875
"56",56,13664
"57",57,13529
"58",58,13775
"59",59,14099
"60",60,14075
"61",61,14604
"62",62,14270
"63",63,14671
"64",64,14427
"65",65,14969
"66",66,15349
"67",67,15132
"68",68,15402
"69",69,15730
"70",70,15704
"71",71,15012
"72",72,15479
"73",73,16489
"74",74,15919
"75",75,16980
"76",76,17369
"77",77,16739
"78",78,17306
"79",79,17877
"80",80,17602
"81",81,18119
"82",82,17375
"83",83,16736
"84",84,17639
"85",85,18260
"86",86,18647
"87",87,18547
"88",88,18641
"89",89,18274
"90",90,18061
"91",91,19386
"92",92,19362
"93",93,19667
"94",94,19591
"95",95,20184
"96",96,19557
"97",97,20185
"98",98,20393
"99",99,21735
"100",100,20981
"101",101,21981
"102",102,23050
"103",103,22945
"104",104,22547
"105",105,22342
"106",106,23110
"107",107,22952
"108",108,22705
"109",109,23219
"110",110,24094
"111",111,24114
"112",112,24777
"113",113,25515
"114",114,23705
"115",115,23945
"116",116,23620
"117",117,25270
"118",118,24679
"119",119,25709
"120",120,24443
"121",121,24501
"122",122,24682
"123",123,25141
"124",124,25056
"125",125,25731
"126",126,24229
"127",127,25086
"128",128,24501
"129",129,25535
"130",130,24079
"131",131,24832
"132",132,25393
"133",133,24635
"134",134,24418
"135",135,24195
"136",136,24590
"137",137,24772
"138",138,25597
"139",139,24256
"140",140,24727
"141",141,25494
"142",142,24306
"143",143,25114
"144",144,25050
"145",145,24364
"146",146,25311
"147",147,24447
"148",148,24903
"149",149,25059
"150",150,25853
"151",151,24691
"152",152,25239
"153",153,24299
"154",154,25378
"155",155,24740
"156",156,24672
"157",157,24928
"158",158,24612
"159",159,25023
"160",160,25605
"161",161,24983
"162",162,25944
"163",163,24549
"164",164,24774
"165",165,25410
"166",166,24112
"167",167,24569
"168",168,24023
"169",169,24098
"170",170,24184
"171",171,23468
"172",172,24247
"173",173,24847
"174",174,25402
"175",175,25371
"176",176,24530
"177",177,24543
"178",178,24058
"179",179,24811
"180",180,25236
"181",181,25267
"182",182,25353
"183",183,24238
"184",184,24583
"185",185,24873
"186",186,25686
"187",187,25282
"188",188,24772
"189",189,23974
"190",190,24944
"191",191,23789
"192",192,23739
"193",193,24703
"194",194,25278
"195",195,25016
"196",196,25703
"197",197,23539
"198",198,23188
"199",199,23548
"200",200,24344
"201",201,25320
"202",202,25026
"203",203,24600
"204",204,24886
"205",205,26025
"206",206,24302
"207",207,24118
"208",208,24598
"209",209,25066
"210",210,25703
"211",211,24263
"212",212,23659
"213",213,24400
"214",214,26213
"215",215,22821
"216",216,22294
"217",217,22945
"218",218,23206
"219",219,23529
"220",220,23398
"221",221,23439
"222",222,23192
"223",223,24442
"224",224,24994
"225",225,24992
"226",226,24459
"227",227,25169
"228",228,25058
"229",229,25473
"230",230,24792
"231",231,24972
"232",232,25800
"233",233,24708
"234",234,25045
"235",235,24673
"236",236,24947
"237",237,25584
"238",238,25577
"239",239,23694
"240",240,24526
"241",241,24000
"242",242,24173
"243",243,25456
"244",244,24523
"245",245,24961
"246",246,25489
"247",247,24856
"248",248,24853
"249",249,24190
"250",250,24625
"251",251,25510
"252",252,25257
"253",253,25245
"254",254,24255
"255",255,24954
"256",256,25014
"257",257,25807
"258",258,24317
"259",259,23941
"260",260,24703
"261",261,24954
"262",262,24848
"263",263,24939
"264",264,25940
"265",265,24659
"266",266,24537
"267",267,24844
"268",268,25170
"269",269,25412
"270",270,24059
"271",271,24536
"272",272,24146
"273",273,23633
"274",274,24893
"275",275,25340
"276",276,24833
"277",277,25298
"278",278,26526
"279",279,22385
"280",280,23691
"281",281,23045
"282",282,23678
"283",283,22888
"284",284,23451
"285",285,23678
"286",286,25017
"287",287,24604
"288",288,24885
"289",289,24407
"290",290,24495
"291",291,24339
"292",292,24422
"293",293,24360
"294",294,25448
"295",295,24991
"296",296,25336
"297",297,24784
"298",298,25846
"299",299,24085
"300",300,23458
"301",301,24081
"302",302,25436
"303",303,23894
"304",304,24297
"305",305,25459
"306",306,24851
"307",307,24812
"308",308,24693
"309",309,25209
"310",310,24230
"311",311,24416
"312",312,24353
"313",313,25141
"314",314,25524
"315",315,25347
"316",316,24834
"317",317,24920
"318",318,25240
"319",319,25518
"320",320,24076
"321",321,25038
"322",322,24752
"323",323,24632
"324",324,24817
"325",325,25452
"326",326,25702
"327",327,24732
"328",328,24669
"329",329,24667
"330",330,24684
"331",331,24944
"332",332,25087
"333",333,24551
"334",334,24807
"335",335,26363
"336",336,23544
"337",337,23879
"338",338,23236
"339",339,23687
"340",340,24474
"341",341,24196
"342",342,25057
"343",343,25841
"344",344,24195
"345",345,24025
"346",346,24309
"347",347,24489
"348",348,25315
"349",349,24810
"350",350,25308
"351",351,26027
"352",352,24406
"353",353,24561
"354",354,24467
"355",355,24746
"356",356,24773
"357",357,25916
"358",358,24099
"359",359,24424
"360",360,24279
"361",361,24332
"362",362,25092
"363",363,24815
"364",364,24175
"365",365,24879
"366",366,25252
"367",367,24742
"368",368,26182
"369",369,23343
"370",370,23352
"371",371,22585
"372",372,23960
"373",373,23727
"374",374,24450
"375",375,25430
"376",376,24154
"377",377,24498
"378",378,24742
"379",379,24878
"380",380,25184
"381",381,24791
"382",382,26066
"383",383,24525
"384",384,24982
"385",385,24888
"386",386,24984
"387",387,24275
"388",388,24433
"389",389,24000
"390",390,24298
"391",391,25110
"392",392,24793
"393",393,25427
"394",394,25751
"395",395,23929
"396",396,23759
"397",397,23565
"398",398,24698
"399",399,24332
"400",400,24088
"401",401,24620
"402",402,25709
"403",403,24696
"404",404,24888
"405",405,25161
"406",406,25172
