"","time","mean_sumsize"
"1",1,5576.5
"2",2,5866.3
"3",3,6272.3
"4",4,6409.8
"5",5,6461
"6",6,6753.7
"7",7,6727.8
"8",8,7001.7
"9",9,7281.4
"10",10,7228.3
"11",11,7382.5
"12",12,7522
"13",13,7777.9
"14",14,7805.2
"15",15,7863.7
"16",16,8306.3
"17",17,8280.7
"18",18,8606.8
"19",19,8566.2
"20",20,8619.1
"21",21,8781.4
"22",22,8852.7
"23",23,8972.5
"24",24,9384.9
"25",25,9436.8
"26",26,9453.8
"27",27,9759.5
"28",28,9947.2
"29",29,10026.7
"30",30,10228.7
"31",31,10222.6
"32",32,10306.3
"33",33,10401.8
"34",34,10373.8
"35",35,10364.3
"36",36,10474.4
"37",37,10602.1
"38",38,10778.3
"39",39,10838
"40",40,10926.5
"41",41,11132
"42",42,11302.3
"43",43,11254
"44",44,11638.4
"45",45,11938.7
"46",46,11924.7
"47",47,11785.7
"48",48,11962.5
"49",49,11997.6
"50",50,12324.5
"51",51,12173.5
"52",52,12149.7
"53",53,12595.6
"54",54,12698.1
"55",55,12812
"56",56,12818.5
"57",57,12908.8
"58",58,13015.9
"59",59,12991.5
"60",60,13134.8
"61",61,13220.4
"62",62,13339.5
"63",63,13579.8
"64",64,13656.4
"65",65,13880.7
"66",66,14137.6
"67",67,14083.3
"68",68,14331.6
"69",69,14346.4
"70",70,14816.4
"71",71,14612
"72",72,14953.7
"73",73,15152.2
"74",74,15040.5
"75",75,15083.2
"76",76,15585.6
"77",77,15684.4
"78",78,15866.7
"79",79,15974.2
"80",80,16260.9
"81",81,16004.9
"82",82,16210.2
"83",83,16430.2
"84",84,16495.3
"85",85,16738.3
"86",86,16875.7
"87",87,17152
"88",88,17225.2
"89",89,17320.7
"90",90,17672.5
"91",91,17535.9
"92",92,17747.3
"93",93,18074.6
"94",94,18518.9
"95",95,18697.6
"96",96,19048.1
"97",97,18898.9
"98",98,19302.7
"99",99,19568.2
"100",100,19670.3
"101",101,19769.5
"102",102,19993
"103",103,20471.8
"104",104,20868.1
"105",105,21095.3
"106",106,21093.5
"107",107,21333.6
"108",108,21631.4
"109",109,21904.1
"110",110,22360.8
"111",111,22382.2
"112",112,22819.2
"113",113,22989.7
"114",114,23214.7
"115",115,23258.6
"116",116,23511.9
"117",117,24516.2
"118",118,23775.4
"119",119,24068.1
"120",120,23829.7
"121",121,24115.9
"122",122,24124.1
"123",123,24555.5
"124",124,24543.3
"125",125,24858.9
"126",126,24065.8
"127",127,24085.2
"128",128,24362.1
"129",129,25092.8
"130",130,24932.9
"131",131,24904.6
"132",132,24706.3
"133",133,24797
"134",134,24734.4
"135",135,24426.1
"136",136,24673.5
"137",137,24927.7
"138",138,24701.7
"139",139,24541.7
"140",140,24387.5
"141",141,24544.9
"142",142,24871.8
"143",143,24537.4
"144",144,24315.9
"145",145,24336.8
"146",146,24472.6
"147",147,24760.6
"148",148,24755.8
"149",149,24561.8
"150",150,24745.9
"151",151,24847.1
"152",152,24669.9
"153",153,24905.9
"154",154,24753.2
"155",155,24358.6
"156",156,24653.9
"157",157,24587.5
"158",158,24593.3
"159",159,24655.2
"160",160,24827.4
"161",161,24504.5
"162",162,24899.6
"163",163,25032.9
"164",164,24547.2
"165",165,24851.5
"166",166,24249.7
"167",167,24575.9
"168",168,24736.8
"169",169,24561.4
"170",170,24358
"171",171,24492.4
"172",172,24632.1
"173",173,24427.3
"174",174,24623.9
"175",175,24543.6
"176",176,24306.6
"177",177,24227.7
"178",178,24289.9
"179",179,24628
"180",180,24949.1
"181",181,24588.1
"182",182,24674.2
"183",183,24828.5
"184",184,24478.5
"185",185,24827
"186",186,24667.8
"187",187,24944.5
"188",188,24966.1
"189",189,24440.1
"190",190,24545.4
"191",191,24657.4
"192",192,24788.4
"193",193,24666.5
"194",194,24697.4
"195",195,24812.3
"196",196,24481.4
"197",197,24674.7
"198",198,24770.9
"199",199,24963
"200",200,24941.9
"201",201,24740.1
"202",202,24556.7
"203",203,24447.5
"204",204,24265.9
"205",205,24231.4
"206",206,24285.7
"207",207,24738.9
"208",208,24313.6
"209",209,24543.4
"210",210,24314.1
"211",211,24656
"212",212,24629.3
"213",213,24675.2
"214",214,24546.7
"215",215,24821.5
"216",216,24535.5
"217",217,24678
"218",218,24798.1
"219",219,24671.2
"220",220,24757.2
"221",221,24920.5
"222",222,24332.7
"223",223,24529.3
"224",224,24376
"225",225,24684.6
"226",226,24713
"227",227,24858.3
"228",228,25060.3
"229",229,24471.6
"230",230,24860.8
"231",231,25115.9
"232",232,24999.1
"233",233,24965.1
"234",234,24392.4
"235",235,24235.2
"236",236,24488.7
"237",237,24531.2
"238",238,24629.1
"239",239,24267.3
"240",240,24465
"241",241,24445.9
"242",242,24170.7
"243",243,24110.7
"244",244,23973.8
"245",245,24565.8
"246",246,24580.5
"247",247,25074.2
"248",248,24325.2
"249",249,24243.4
"250",250,24711.7
"251",251,24655
"252",252,24675
"253",253,24709.3
"254",254,24662.8
"255",255,24548.7
"256",256,24228.1
"257",257,24458.7
"258",258,24841.4
"259",259,24413.6
"260",260,24604.5
"261",261,24647.8
"262",262,24806.5
"263",263,24621
"264",264,24799.3
"265",265,24963.2
"266",266,24760.2
"267",267,24696.1
"268",268,24829.5
"269",269,24405.6
"270",270,24715.9
"271",271,24498.9
"272",272,24378.5
"273",273,24776.5
"274",274,24731.2
"275",275,24621.3
"276",276,25282.6
"277",277,24525.3
"278",278,24439.6
"279",279,24403.5
"280",280,24550.4
"281",281,24343.3
"282",282,24352.1
"283",283,24676.4
"284",284,24722.8
"285",285,24501.9
"286",286,24719.2
"287",287,24710.4
"288",288,24759
"289",289,24695.7
"290",290,24717
"291",291,24569
"292",292,25011.9
"293",293,24436.8
"294",294,25229.3
"295",295,24802.4
"296",296,24706.5
"297",297,24495.4
"298",298,24346.5
"299",299,24610.1
"300",300,24875.8
"301",301,24746.8
"302",302,24237.5
"303",303,24184.1
"304",304,24376
"305",305,24161.4
"306",306,24131.8
"307",307,24537.4
"308",308,24069.6
"309",309,24413.1
"310",310,24415.1
"311",311,24975.1
"312",312,24644.3
"313",313,24393.2
"314",314,24736.2
"315",315,24516.4
"316",316,23985.1
"317",317,24055
"318",318,24429.3
"319",319,24676.2
"320",320,24907.6
"321",321,24976.6
"322",322,24676.1
"323",323,24761.5
"324",324,24325.9
"325",325,24256.9
"326",326,24453.7
"327",327,24850.2
"328",328,24587.3
"329",329,24459.4
"330",330,24378.5
"331",331,24279
"332",332,24313
"333",333,24212
"334",334,24495.5
"335",335,24969.3
"336",336,24804.4
"337",337,24774.7
"338",338,24783.1
"339",339,24512.3
"340",340,24624
"341",341,24821.3
"342",342,24295.8
"343",343,24403.5
"344",344,24408.1
"345",345,24448.9
"346",346,24430.9
"347",347,24726.3
"348",348,24768.5
"349",349,24435.1
"350",350,24592
"351",351,24965.4
"352",352,24892.2
"353",353,24713.5
"354",354,24399.6
"355",355,24416.4
"356",356,24001.9
"357",357,24521.3
"358",358,24828.3
"359",359,24950.7
"360",360,24849.9
"361",361,24233.8
"362",362,24735.9
"363",363,24555.6
"364",364,24621.5
"365",365,24794.7
"366",366,24337.9
"367",367,24615.6
"368",368,24321.4
"369",369,24288.4
"370",370,24836.5
"371",371,24945
"372",372,24871.3
"373",373,24749.9
"374",374,24976
"375",375,24612.3
"376",376,24356
"377",377,24586
"378",378,25098.9
"379",379,24144
"380",380,24385.9
"381",381,24439.9
"382",382,24315.1
"383",383,24682.6
"384",384,24289.9
"385",385,24668.2
"386",386,24936.4
"387",387,24438.9
"388",388,24401.2
"389",389,24996.7
"390",390,25004.1
"391",391,24522
