"","time","MR_mean_summ","MR_sd_summ","maladaptation_time"
"1",1,0.797647965929324,0.346625026413001,1
"2",2,0.670038693867532,0.401304909741254,0
"3",3,0.717072724560755,0.388785660906222,1
"4",4,0.749540599840991,0.366433901940615,1
"5",5,0.70012843493602,0.343716757662996,1
"6",6,0.736168173580399,0.351103515112055,1
"7",7,0.778251022768763,0.322389692257119,1
"8",8,0.805239846118536,0.319747003687024,0
"9",9,0.765449044895226,0.314927723966017,1
"10",10,0.77193223312259,0.320944269057221,1
"11",11,0.744734066270089,0.349065015110735,1
"12",12,0.759623317007076,0.321602384654842,1
"13",13,0.776220409347796,0.324339024793005,0
"14",14,0.758791525369909,0.318545910791993,1
"15",15,0.733599405989217,0.347420843065451,1
"16",16,0.736875395115634,0.334053805155912,1
"17",17,0.725744285827651,0.346031676133968,1
"18",18,0.684734234758762,0.36319036163121,1
"19",19,0.706584690809615,0.361886103177233,1
"20",20,0.733976151475705,0.345594969841816,1
"21",21,0.726128269628291,0.337496105147305,0
"22",22,0.635432747774659,0.407516871497336,0
"23",23,0.681568203343359,0.346788068674386,1
"24",24,0.66818132034489,0.374895626790823,1
"25",25,0.720304222771829,0.361837814804566,1
"26",26,0.675871628002353,0.365885855112023,1
"27",27,0.656762287850072,0.375038787419448,1
"28",28,0.719047392360508,0.355538921820841,0
"29",29,0.712657161325849,0.354982377039284,1
"30",30,0.751039856421112,0.345567418267964,0
"31",31,0.765388465874005,0.320144210849448,1
"32",32,0.73903598169901,0.326909843143762,1
"33",33,0.68416936197914,0.337731349416824,0
"34",34,0.726893131905488,0.332805822852869,0
"35",35,0.730126908130989,0.344270470091837,1
"36",36,0.707173633856967,0.322064318564962,1
"37",37,0.721381832538023,0.3385650941192,1
"38",38,0.718073273976289,0.323337060395593,0
"39",39,0.714210925248869,0.331238242754385,1
"40",40,0.704027486802457,0.334518649627865,1
"41",41,0.664009333203446,0.383719242889666,0
"42",42,0.688615204578746,0.357140942573886,1
"43",43,0.700139496250783,0.346504090214954,1
"44",44,0.718365788851005,0.323948444649846,1
"45",45,0.702737651964459,0.321613144653333,0
"46",46,0.711504497761764,0.329908697299581,0
"47",47,0.716137980153866,0.322654853903022,1
"48",48,0.713226974543656,0.330251606004188,1
"49",49,0.691278354622579,0.327007668086653,0
"50",50,0.728244500192671,0.315088065977888,1
"51",51,0.733408083851808,0.318031644457526,1
"52",52,0.696211115718501,0.341809187951596,0
"53",53,0.670006204066693,0.348554603498953,0
"54",54,0.696694672397406,0.350308940765993,1
"55",55,0.673250682953289,0.361429702000208,0
"56",56,0.68252942323174,0.343933739430838,1
"57",57,0.709386878550546,0.332723475052264,1
"58",58,0.699049648513102,0.343149826019696,1
"59",59,0.715861208727822,0.341906864771298,0
"60",60,0.659350382840107,0.353956770673443,0
"61",61,0.713285880660015,0.339673276446503,0
"62",62,0.698035980271014,0.338444068306697,1
"63",63,0.688400167218429,0.352651728683531,0
"64",64,0.651043246286127,0.341402388381412,1
"65",65,0.673941951236284,0.333954194208922,0
"66",66,0.654716101978635,0.352245518158079,1
"67",67,0.609949141710378,0.333276240739994,1
"68",68,0.648752113442486,0.342000942258338,1
"69",69,0.673916107519143,0.35236853150522,0
"70",70,0.673119418374582,0.325165456194064,1
"71",71,0.644349551284204,0.354709161343447,1
"72",72,0.68061818787603,0.338962119984052,0
"73",73,0.687961848210955,0.343905652745343,0
"74",74,0.644300351449634,0.344615151578518,1
"75",75,0.663282077644915,0.346433662791232,0
"76",76,0.65143779389876,0.324573635641025,1
"77",77,0.686611506795444,0.311084469533581,0
"78",78,0.660921836390241,0.33218721117654,1
"79",79,0.695724777966635,0.320875126164118,1
"80",80,0.71397875517885,0.33379731944914,0
"81",81,0.70211997908394,0.327844515886281,0
"82",82,0.71395473105527,0.323829963177107,1
"83",83,0.714693057829467,0.308432536645092,1
"84",84,0.734766283106352,0.319397272339787,0
"85",85,0.664444391131224,0.350174532002865,1
"86",86,0.688862765763963,0.338839585626647,1
"87",87,0.672403064274351,0.344484426118269,0
"88",88,0.688732192594647,0.342835268125615,0
"89",89,0.634908589663299,0.363577174199791,1
"90",90,0.670626556409083,0.349502572901381,0
"91",91,0.706078095107982,0.326998045765354,0
"92",92,0.683449475827721,0.34303589750789,0
"93",93,0.669114365263928,0.338581198553778,1
"94",94,0.680825969757218,0.340289659493443,1
"95",95,0.671218418981708,0.354988519651646,0
"96",96,0.638521547691896,0.350855994284231,0
"97",97,0.65339145055087,0.338295972508727,1
"98",98,0.61357969093421,0.361747174047562,0
"99",99,0.630865831863306,0.352307472156423,1
"100",100,0.63660079736889,0.350418868316908,1
"101",101,0.682577983432064,0.343958768449053,0
"102",102,0.639648865463648,0.355410637565857,0
"103",103,0.649582136633511,0.333277003647513,1
"104",104,0.700781180251978,0.316499880520852,0
"105",105,0.676245945269958,0.322507865780156,1
"106",106,0.65952398511734,0.317928382506722,1
"107",107,0.665451933128967,0.323484051997663,0
"108",108,0.677148184493049,0.318530065625186,0
"109",109,0.67705854344199,0.321258430317379,0
"110",110,0.687524238626079,0.314943162778667,0
"111",111,0.692176559315239,0.311343320656084,1
"112",112,0.649690169656479,0.305662105123961,1
"113",113,0.654196573028058,0.327980808655564,1
"114",114,0.667601229230501,0.317747010266414,1
"115",115,0.647246823440526,0.330001339883912,0
"116",116,0.604021516820229,0.350981426471111,0
"117",117,0.583559865842994,0.357068618131697,1
"118",118,0.603488844621348,0.356878421687919,1
"119",119,0.649751575105682,0.334604807813045,1
"120",120,0.646197105338121,0.337771849303964,1
"121",121,0.660787605657671,0.334076109934577,0
"122",122,0.664129101898841,0.336214884377906,0
"123",123,0.641295448442321,0.333010544063086,1
"124",124,0.612061188006224,0.340913478501105,1
"125",125,0.613489056310882,0.327520409799944,1
"126",126,0.6383026137997,0.34005783881843,0
"127",127,0.653088095131946,0.333612006888344,0
"128",128,0.613845445482056,0.359383815795672,0
"129",129,0.648782168099776,0.348004534745957,1
"130",130,0.625500660102571,0.341089605087863,1
"131",131,0.645480854065438,0.328474587218653,0
"132",132,0.653909192021683,0.328077653382541,1
"133",133,0.649677381341756,0.310705318164159,1
"134",134,0.627130000281713,0.329028996939339,0
"135",135,0.64579663336582,0.320149665938778,1
"136",136,0.60703071930554,0.353984643821732,0
"137",137,0.618278918276596,0.331104925613784,1
"138",138,0.632999606084687,0.324741053495099,0
"139",139,0.636509268598295,0.328649508614032,0
"140",140,0.67366860025551,0.332516079691293,0
"141",141,0.651365107955018,0.344606390495044,0
"142",142,0.627067213912429,0.335470535394927,1
"143",143,0.621994482189351,0.333424207994933,1
"144",144,0.622399384220354,0.330704901303134,1
"145",145,0.607154291723845,0.316200450597892,1
"146",146,0.591201905040887,0.319490348956572,1
"147",147,0.571221095131607,0.33734671690065,0
"148",148,0.605393399520643,0.321750539952782,1
"149",149,0.604290230790159,0.317065141362189,1
"150",150,0.61420074041311,0.318496831510576,1
"151",151,0.609688316785487,0.315390209034984,1
"152",152,0.59560826695603,0.306612112881241,1
"153",153,0.607373068052574,0.309908998350934,1
"154",154,0.65922800356518,0.313289023001969,0
"155",155,0.668420112040616,0.324566463507684,0
"156",156,0.647178400143583,0.344893986623222,0
"157",157,0.591590387808171,0.329012671967507,1
