"","time","sum_size"
"1",1,968
"2",2,946
"3",3,1294
"4",4,1103
"5",5,1184
"6",6,1288
"7",7,1622
"8",8,1454
"9",9,1571
"10",10,1491
"11",11,1289
"12",12,1314
"13",13,1277
"14",14,1658
"15",15,1627
"16",16,1440
"17",17,1279
"18",18,1295
"19",19,1750
"20",20,1428
"21",21,1452
"22",22,1586
"23",23,1365
"24",24,1498
"25",25,1637
"26",26,1723
"27",27,1728
"28",28,1682
"29",29,1627
"30",30,2090
"31",31,2027
"32",32,2205
"33",33,1996
"34",34,1792
"35",35,1720
"36",36,1628
"37",37,1697
"38",38,1798
"39",39,1929
"40",40,1628
"41",41,1867
"42",42,1762
"43",43,1689
"44",44,1836
"45",45,1954
"46",46,1744
"47",47,1917
"48",48,2400
"49",49,2304
"50",50,1948
"51",51,1770
"52",52,2182
"53",53,2178
"54",54,1947
"55",55,1946
"56",56,2291
"57",57,2263
"58",58,2012
"59",59,2044
"60",60,2049
"61",61,1975
"62",62,1911
"63",63,2083
"64",64,2285
"65",65,2006
"66",66,1975
"67",67,1846
"68",68,1866
"69",69,1726
"70",70,1721
"71",71,1583
"72",72,1995
"73",73,2024
"74",74,1698
"75",75,1586
"76",76,1894
"77",77,1655
"78",78,1817
"79",79,1908
"80",80,2022
"81",81,1872
"82",82,1937
"83",83,1922
"84",84,2052
"85",85,1805
"86",86,1905
"87",87,1919
"88",88,1800
"89",89,1770
"90",90,1687
"91",91,1779
"92",92,1936
"93",93,2205
"94",94,2027
"95",95,2246
"96",96,2283
"97",97,2076
"98",98,2132
"99",99,1802
"100",100,1869
"101",101,1845
"102",102,1925
"103",103,1872
"104",104,1806
"105",105,2034
"106",106,1977
"107",107,1925
"108",108,1714
"109",109,2092
"110",110,1779
"111",111,1909
"112",112,2398
"113",113,2238
"114",114,2073
"115",115,1921
"116",116,2037
"117",117,2276
"118",118,2363
"119",119,2554
"120",120,2087
"121",121,2172
"122",122,2116
"123",123,2222
"124",124,2339
"125",125,2144
"126",126,2182
"127",127,2314
"128",128,2314
"129",129,2111
"130",130,2701
"131",131,2542
"132",132,2383
"133",133,2431
"134",134,2181
"135",135,2305
"136",136,2348
"137",137,2476
"138",138,2586
"139",139,2619
"140",140,2353
"141",141,2496
"142",142,2797
"143",143,2934
"144",144,3139
"145",145,2955
"146",146,2709
"147",147,2891
"148",148,2528
"149",149,2732
"150",150,2680
"151",151,2514
"152",152,2650
"153",153,2474
"154",154,2559
"155",155,3124
"156",156,3124
"157",157,2703
"158",158,2913
"159",159,2701
"160",160,2599
"161",161,2555
"162",162,2756
"163",163,2760
"164",164,2674
"165",165,3053
"166",166,2797
"167",167,3145
"168",168,2794
"169",169,2706
"170",170,2618
"171",171,2479
"172",172,2879
"173",173,2918
"174",174,3151
"175",175,2818
"176",176,2938
"177",177,2757
"178",178,2946
"179",179,2624
"180",180,2874
"181",181,2955
"182",182,3258
"183",183,3368
"184",184,3231
"185",185,3423
"186",186,3346
"187",187,3526
"188",188,3311
"189",189,3019
"190",190,2951
"191",191,3089
"192",192,3311
"193",193,3427
"194",194,3531
"195",195,3499
"196",196,3373
"197",197,3281
"198",198,3591
"199",199,3393
"200",200,3432
"201",201,3254
"202",202,3406
"203",203,3753
"204",204,3251
"205",205,3313
"206",206,3381
"207",207,3413
"208",208,3396
"209",209,3473
"210",210,3150
"211",211,3372
"212",212,3481
"213",213,3349
"214",214,3627
"215",215,3454
"216",216,3441
"217",217,3417
"218",218,3529
"219",219,3173
"220",220,3337
"221",221,3203
"222",222,3725
"223",223,3222
"224",224,3454
"225",225,3438
"226",226,3241
"227",227,3305
"228",228,3763
"229",229,4072
"230",230,3714
"231",231,3737
"232",232,3747
"233",233,3530
"234",234,3695
"235",235,3670
"236",236,3643
"237",237,3504
"238",238,3248
"239",239,3861
"240",240,3730
"241",241,3573
"242",242,3672
"243",243,3987
"244",244,4271
"245",245,4036
"246",246,3994
"247",247,4213
"248",248,3794
"249",249,4083
"250",250,3909
"251",251,3788
"252",252,3911
"253",253,4058
"254",254,4263
"255",255,4350
"256",256,4043
"257",257,4149
"258",258,4148
"259",259,4231
"260",260,4365
"261",261,4754
"262",262,4415
"263",263,4700
"264",264,4598
"265",265,4432
"266",266,4342
"267",267,4499
"268",268,4310
"269",269,4686
"270",270,4451
"271",271,4324
"272",272,4334
"273",273,4200
"274",274,4354
"275",275,4781
"276",276,5304
"277",277,4689
"278",278,4313
"279",279,4340
"280",280,3819
"281",281,4236
"282",282,4125
"283",283,4419
"284",284,4623
"285",285,4554
"286",286,4319
"287",287,4204
"288",288,4583
"289",289,4414
"290",290,4345
"291",291,4102
"292",292,3925
"293",293,4385
"294",294,4283
"295",295,4461
"296",296,4358
"297",297,4403
"298",298,4837
"299",299,4891
"300",300,5069
"301",301,4471
"302",302,4972
"303",303,4534
"304",304,4576
"305",305,4873
"306",306,4708
"307",307,4725
"308",308,5014
"309",309,4391
"310",310,4467
"311",311,4874
"312",312,4861
"313",313,4630
"314",314,4886
"315",315,4661
"316",316,4562
"317",317,4918
"318",318,4679
"319",319,4423
"320",320,4602
"321",321,4799
"322",322,4609
"323",323,5403
"324",324,4068
"325",325,4129
"326",326,4256
"327",327,4398
"328",328,4242
"329",329,3986
"330",330,4288
"331",331,4408
"332",332,4289
