IID,ph1,ph2,COI,FID,n,species,Lat,Long,Pop,ID
1,0,0,0,NSW1071070,1,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_1
2,0.5,1,2,NSW1071070,2,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_2
3,4,1,60,NSW1071070,3,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_3
4,4,1,60,NSW1071070,4,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_4
5,4,1,40,NSW1071070,5,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_5
6,1,1,5,NSW1071070,6,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_6
7,2,1,3,NSW1071070,7,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_7
8,3,1,12,NSW1071070,8,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_8
9,4,1,60,NSW1071070,9,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_9
10,3,1,12,NSW1071070,10,Melaleuca quinquenervia,-31.19779728,152.9682061,p93a6ddc0,NSW_1071070_10
14,0,0,0,NSW1071075,2,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_2
15,0,0,0,NSW1071075,3,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_3
16,4,1,25,NSW1071075,4,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_4
19,4,1,20,NSW1071075,7,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_7
20,0,0,0,NSW1071075,8,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_8
22,0,0,0,NSW1071075,10,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_10
24,4,1,10,NSW1071075,12,Melaleuca quinquenervia,-28.60642035,153.5706189,p328a8440,NSW_1071075_12
25,0,0,0,NSW1071080,1,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_1
27,0.5,1,0.5,NSW1071080,3,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_3
28,0,0,0,NSW1071080,4,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_4
31,0.5,1,2.5,NSW1071080,7,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_7
32,0,0,0,NSW1071080,8,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_8
35,NA,NA,NA,NSW1071080,11,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_11
36,4,1,52.5,NSW1071080,12,Melaleuca quinquenervia,-28.60644177,153.5706227,p328a8440,NSW_1071080_12
37,1.5,1,3,NSW1071090,1,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_1
39,0,0,0,NSW1071090,2,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_2
41,0,0,0,NSW1071090,3,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_3
43,0.5,1,5,NSW1071090,4,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_4
45,3,1,0,NSW1071090,5,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_5
49,1,1,2,NSW1071090,7,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_7
51,NA,NA,NA,NSW1071090,8,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_8
55,0,0,0,NSW1071090,10,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_10
57,0.5,1,5,NSW1071090,11,Melaleuca quinquenervia,-28.47684672,153.5464416,p666c7140,NSW_1071090_11
61,0,0,0,NSW1071110,1,Melaleuca quinquenervia,-31.1994082,152.9677057,p93a6ddc0,NSW_1071110_1
62,0.5,1,2,NSW1071110,2,Melaleuca quinquenervia,-31.1994082,152.9677057,p93a6ddc0,NSW_1071110_2
63,0,0,0,NSW1071110,3,Melaleuca quinquenervia,-31.1994082,152.9677057,p93a6ddc0,NSW_1071110_3
65,4,1,20,NSW1071110,5,Melaleuca quinquenervia,-31.1994082,152.9677057,p93a6ddc0,NSW_1071110_5
66,4,1,50,NSW1071110,6,Melaleuca quinquenervia,-31.1994082,152.9677057,p93a6ddc0,NSW_1071110_6
68,0,0,0,NSW1071110,8,Melaleuca quinquenervia,-31.1994082,152.9677057,p93a6ddc0,NSW_1071110_8
71,0.5,1,5,NSW1071110,11,Melaleuca quinquenervia,-31.1994082,152.9677057,p93a6ddc0,NSW_1071110_11
81,3,1,6,NSW1071113,9,Melaleuca quinquenervia,-31.25563895,152.9663093,p93a6ddc0,NSW_1071113_9
82,0,0,0,NSW1071113,10,Melaleuca quinquenervia,-31.25563895,152.9663093,p93a6ddc0,NSW_1071113_10
83,0,0,0,NSW1071113,11,Melaleuca quinquenervia,-31.25563895,152.9663093,p93a6ddc0,NSW_1071113_11
85,0.5,1,2,NSW1071115,1,Melaleuca quinquenervia,-31.1977717,152.9681876,p93a6ddc0,NSW_1071115_1
87,4,1,30,NSW1071115,3,Melaleuca quinquenervia,-31.1977717,152.9681876,p93a6ddc0,NSW_1071115_3
