,variable,bin,count
1,MR_age_impact_bin,"(5,8.01]",21
2,MR_age_impact_bin,"(11,14]",21
3,MR_age_impact_bin,"(17,20]",16
4,MR_age_impact_bin,"(8.01,11]",15
5,MR_age_impact_bin,"(14,17]",9
6,MR_death_impact_bin,"(0.8,1]",22
7,MR_death_impact_bin,"(0.4,0.6]",19
8,MR_death_impact_bin,"(-0.000934,0.2]",14
9,MR_death_impact_bin,"(0.6,0.8]",14
10,MR_death_impact_bin,"(0.2,0.4]",13
11,MR_recruit_impact_bin,"(0.406,0.603]",23
12,MR_recruit_impact_bin,"(0.603,0.8]",19
13,MR_recruit_impact_bin,"(0.208,0.406]",17
14,MR_recruit_impact_bin,"(0.00987,0.208]",12
15,MR_recruit_impact_bin,"(0.8,0.999]",11
16,age_impact_bin,"(0.821,1]",45
17,age_impact_bin,"(0.641,0.821]",33
18,age_impact_bin,"(0.462,0.641]",4
19,age_recruit_impact_value_bin,"(0.209,0.407]",23
20,age_recruit_impact_value_bin,"(0.604,0.802]",19
21,age_recruit_impact_value_bin,"(0.802,1]",19
22,age_recruit_impact_value_bin,"(0.407,0.604]",12
23,age_recruit_impact_value_bin,"(0.0106,0.209]",9
24,recruitment_const_bin,"(0.004,0.005]",25
25,recruitment_const_bin,"(0.005,0.00599]",20
26,recruitment_const_bin,"(0.003,0.004]",13
27,recruitment_const_bin,"(0.00599,0.007]",13
28,recruitment_const_bin,"(0.002,0.003]",11
