"param_iteration","timeperiod","pop_struct","pop_size","mean_MR","sd_MR"
1,"Before",226011.760348547,253085,0.449549401215742,0.377645038657164
1,"Soon",1900410.95392559,2206060,0.0932725502689555,0.149620525196428
1,"After",2162778.69473337,2505390,0.0877583414700282,0.144255768173088
2,"Before",232003.399817326,261831,0.523379758404814,0.36436184297547
2,"Soon",1803626.06742443,2194965,0.0465079881173964,0.0954680454149269
2,"After",2085414.56831223,2536932,0.0468117334886307,0.0959972345633703
3,"Before",225254.199663284,257764,0.526286593535741,0.369013235253225
3,"Soon",1887706.98483211,2228221,0.0709149544805724,0.12496890180115
3,"After",2108243.06783942,2490981,0.0718518331906899,0.125542985557404
4,"Before",169778.158588345,245557,0.536185978026607,0.363284286479385
4,"Soon",1449227.63278639,2140139,0.050678114310807,0.101755811203062
4,"After",1648827.87628345,2432091,0.0498162888375808,0.100433110866985
5,"Before",167963.316960105,245640,0.62035086908836,0.367332750501367
5,"Soon",1396194.2608164,2097300,0.0878791667300444,0.147457805660958
5,"After",1602931.26673635,2399717,0.0845749397257373,0.142092874847044
7,"Before",192413.79745569,249386,0.561602135773914,0.356531510104279
7,"Soon",1411007.39145184,2110353,0.0387528751010369,0.0876279043839236
7,"After",1599313.28177751,2393289,0.0378291925659929,0.0859729307431428
8,"Before",236928.001278749,256124,0.506856536896829,0.38166651749505
8,"Soon",1942424.1717777,2219779,0.0727676050812172,0.126439148208997
8,"After",2220327.22851327,2542255,0.0727414402433733,0.126759692008637
9,"Before",243729.834640355,261349,0.539686461629882,0.377998491133256
9,"Soon",1920126.37172111,2220558,0.0493056008273954,0.0990380796427066
9,"After",2184287.43215176,2525921,0.0483995198974707,0.0978738383630028
10,"Before",221168.296354286,253828,0.574692033774557,0.357912683406936
10,"Soon",1727999.65791958,2158412,0.0374196187866793,0.0850349055541539
10,"After",1986427.96038313,2480918,0.0373817306379618,0.0851103557268667
11,"Before",78224.4424187614,236275,0.665939911126808,0.337259204817185
11,"Soon",674338.55744795,1910137,0.0322777167950019,0.0804363316049401
11,"After",802465.812504333,2246013,0.0319164390367613,0.0795968634373417
12,"Before",212296.221515894,252624,0.489723531203302,0.379100881232895
12,"Soon",1772348.53371629,2225217,0.0544263173187304,0.106334819635697
12,"After",1988479.28693527,2498829,0.054566525066091,0.106158859101898
13,"Before",143234.695508892,245994,0.495482726937521,0.38206558132026
13,"Soon",1261073.3850641,2106486,0.0584624841262321,0.111471457553838
13,"After",1417634.29382983,2371459,0.0562163006707265,0.107962503910028
14,"Before",159977.703555447,250501,0.419699469923758,0.371500888299306
14,"Soon",1459907.69826823,2162768,0.142109446396806,0.20096464841708
14,"After",1644092.11611425,2440466,0.133909996096051,0.192800936171485
15,"Before",83625.4090172025,234524,0.357021427547721,0.352171128522062
15,"Soon",862091.262357409,2005573,0.0946139204460914,0.154228364000649
