"param_iteration","timeperiod","Lifestage","mean_MR","sd_MR"
1,"Soon","Adult",0.0626793120911895,0.155902533822849
1,"Soon","Seedling",0.10557623819314,0.206930377713876
1,"Soon","Subadult",0.0555284036738234,0.126675736269978
1,"After","Adult",0.024587763453934,0.0571909706969652
1,"After","Seedling",0.0920286949517413,0.140806100518546
1,"After","Subadult",0.0472236235386304,0.0892207188053156
2,"Soon","Adult",0.577650571045245,0.374098744847996
2,"Soon","Seedling",0.524207649862792,0.357497426908329
2,"Soon","Subadult",0.508685620158986,0.375363406264094
2,"After","Adult",0.197257180587787,0.244570631926392
2,"After","Seedling",0.221545738868965,0.251459562491006
2,"After","Subadult",0.214956798243567,0.265155029669918
3,"Soon","Adult",0.131482224295726,0.242220033543968
3,"Soon","Seedling",0.171580877346466,0.255499651081073
3,"Soon","Subadult",0.0844278640512626,0.151044023963896
3,"After","Adult",0.0112146491310753,0.0377517359398624
3,"After","Seedling",0.0784233200757964,0.133252285259804
3,"After","Subadult",0.0503825961008369,0.0993084230010069
4,"Soon","Adult",0.084689379594317,0.200365547625364
4,"Soon","Seedling",0.135939860932642,0.202890407052696
4,"Soon","Subadult",0.0748428614666573,0.121426710746003
4,"After","Adult",0.0332944603898843,0.0706299607993236
4,"After","Seedling",0.0741611925291745,0.127400186079399
4,"After","Subadult",0.0596444081584793,0.11040633705681
5,"Soon","Adult",0.144448983493125,0.254379544936809
5,"Soon","Seedling",0.175621997003356,0.266037810090792
5,"Soon","Subadult",0.0969421176480265,0.1974899466837
5,"After","Adult",0.0262299719997412,0.0636780285333164
5,"After","Seedling",0.081196537465336,0.126305304813111
5,"After","Subadult",0.0442075281036541,0.0878167437372686
6,"Soon","Adult",0.202248373540437,0.285091332273414
6,"Soon","Seedling",0.232188679671503,0.292293764794745
6,"Soon","Subadult",0.165190832160921,0.260988335490713
6,"After","Adult",0.0269925612867668,0.0686732132540385
6,"After","Seedling",0.0783681503429197,0.125810334456467
6,"After","Subadult",0.0607317035963688,0.115369187191631
7,"Soon","Adult",0.199346085817553,0.285946479461901
7,"Soon","Seedling",0.206100647419664,0.282304126948018
7,"Soon","Subadult",0.160847591489742,0.235387395108972
7,"After","Adult",0.0691506074835347,0.120043724576342
