"iteration","age_impact","MR_death_impact","MR_age_impact","age_recruit_impact_value","MR_recruit_impact","recruitment_const","timeperiod","Lifestage","mean_MR","sd_MR"
1,1,0.2875,5,0.7525,0.7525,0.007,"Soon","Adult",0.431412634595083,0.0493525830601973
1,1,0.2875,5,0.7525,0.7525,0.007,"Soon","Seedling",0.423443735031202,0.0575608899385624
1,1,0.2875,5,0.7525,0.7525,0.007,"Soon","Subadult",0.42667665638623,0.0572577012331226
1,1,0.2875,5,0.7525,0.7525,0.007,"After","Adult",0.428278486397905,0.0466079535604904
1,1,0.2875,5,0.7525,0.7525,0.007,"After","Seedling",0.416837015605455,0.0654877910241807
1,1,0.2875,5,0.7525,0.7525,0.007,"After","Subadult",0.416913011899453,0.0533795770248303
2,1,0.2875,16.25,0.7525,0.7525,0.007,"Soon","Adult",0.435729649376666,0.0520249820265603
2,1,0.2875,16.25,0.7525,0.7525,0.007,"Soon","Seedling",0.430294698399576,0.0567225358604135
2,1,0.2875,16.25,0.7525,0.7525,0.007,"Soon","Subadult",0.419136935367391,0.0561333640216717
2,1,0.2875,16.25,0.7525,0.7525,0.007,"After","Adult",0.422492521405365,0.0553454978802803
2,1,0.2875,16.25,0.7525,0.7525,0.007,"After","Seedling",0.425074807561947,0.0521499639508695
2,1,0.2875,16.25,0.7525,0.7525,0.007,"After","Subadult",0.431467053214165,0.0586879914742843
8,1,0.2875,16.25,0.2575,1,0.00325,"Soon","Adult",0.434878485321775,0.0506740774964542
8,1,0.2875,16.25,0.2575,1,0.00325,"Soon","Seedling",0.423380426801731,0.0584784152784906
8,1,0.2875,16.25,0.2575,1,0.00325,"Soon","Subadult",0.427274869759164,0.055784435061419
8,1,0.2875,16.25,0.2575,1,0.00325,"After","Adult",0.423889441749698,0.0601734500147975
8,1,0.2875,16.25,0.2575,1,0.00325,"After","Seedling",0.43890656462184,0.0471390623488806
8,1,0.2875,16.25,0.2575,1,0.00325,"After","Subadult",0.412924656113605,0.0502948361521295
9,1,0.2875,5,0.2575,1,0.00325,"Soon","Adult",0.442996478924624,0.0598502348797726
9,1,0.2875,5,0.2575,1,0.00325,"Soon","Seedling",0.422166095306906,0.061597254767591
9,1,0.2875,5,0.2575,1,0.00325,"Soon","Subadult",0.418164891116611,0.0577588823084302
9,1,0.2875,5,0.2575,1,0.00325,"After","Adult",0.431809608432916,0.0674041490639031
9,1,0.2875,5,0.2575,1,0.00325,"After","Seedling",0.408670926420731,0.0645859991278292
9,1,0.2875,5,0.2575,1,0.00325,"After","Subadult",0.419119175571931,0.056051960833765
