"iteration","MR_mean","MR_sd","age_impact","MR_death_impact","MR_age_impact","age_recruit_impact_value","MR_recruit_impact","recruitment_const","dist_imp","timeperiod","pop_struct","pop_size","mean_MR","sd_MR","pop_growth_trend","pop_growth_R2"
1,0.75,0.75,0.775,0.25,16.25,0.01,0.01,0.002,1,"Before",9452.80295838904,14609,0.487963858333195,0.205275507182733,-233.000000000071,0.332347041430473
1,0.75,0.75,0.775,0.25,16.25,0.01,0.01,0.002,1,"Soon",21643.5171279914,67265,0.425070610973813,0.0590783904603437,-115.566666666666,0.837981121673931
1,0.75,0.75,0.775,0.25,16.25,0.01,0.01,0.002,1,"After",9482.81856687253,29881,0.42187551402431,0.0585999483904716,-47.027272727272,0.400108863989832
2,0.75,0.75,0.775,0.25,5,0.01,0.01,0.002,1,"Before",9452.80295838904,14609,0.487963858333195,0.205275507182733,-233.000000000071,0.332347041430473
2,0.75,0.75,0.775,0.25,5,0.01,0.01,0.002,1,"Soon",27670.0857078611,86321,0.42650759965539,0.0572895701472025,-13.4877192982458,0.0719647986367159
2,0.75,0.75,0.775,0.25,5,0.01,0.01,0.002,1,"After",14474.2937179902,46119,0.421372490017719,0.0584832596232752,16.0545454545454,0.0468671819304235
8,0,0,0.1,1,5,0.7525,0.7525,0.002,1,"Before",11244.5994917506,14916,0.486311460133103,0.203562841422865,-62.0000000000315,0.0792642692181314
8,0,0,0.1,1,5,0.7525,0.7525,0.002,1,"Soon",34388.8924555519,62821,0.418325214385706,0.0587335492165282,-121.615789473684,0.909788491090611
8,0,0,0.1,1,5,0.7525,0.7525,0.002,1,"After",10582.6899150304,24406,0.410022388856503,0.0595930986019987,-65.7999999999998,0.750642683687988
10,0,0,0.1,1,5,0.7525,0.7525,0.00575,0.25,"Before",6344.09845674386,15014,0.484802214473621,0.203519342447821,-439.500000000163,0.185238642927704
10,0,0,0.1,1,5,0.7525,0.7525,0.00575,0.25,"Soon",54185.119887523,83204,0.419637378680028,0.057408949795276,-28.5157894736841,0.31679737986516
10,0,0,0.1,1,5,0.7525,0.7525,0.00575,0.25,"After",24120.9062299417,38678,0.408611810585525,0.0575049491595535,-51.7090909090905,0.228784978208628
