"","time","sum_size"
"1",1,6054
"2",2,6252
"3",3,6412
"4",4,6706
"5",5,6935
"6",6,6919
"7",7,6807
"8",8,7086
"9",9,6885
"10",10,6696
"11",11,7209
"12",12,6974
"13",13,7570
"14",14,8081
"15",15,8211
"16",16,8008
"17",17,8535
"18",18,8530
"19",19,8171
"20",20,8409
"21",21,8417
"22",22,8758
"23",23,8765
"24",24,9195
"25",25,9685
"26",26,9828
"27",27,9564
"28",28,10022
"29",29,9647
"30",30,10118
"31",31,10139
"32",32,10565
"33",33,10599
"34",34,10523
"35",35,10488
"36",36,10242
"37",37,10764
"38",38,10781
"39",39,10841
"40",40,11115
"41",41,10861
"42",42,11449
"43",43,10977
"44",44,11001
"45",45,11002
"46",46,11748
"47",47,11393
"48",48,11846
"49",49,11385
"50",50,11899
"51",51,12373
"52",52,12371
"53",53,12927
"54",54,13020
"55",55,13678
"56",56,13427
"57",57,13412
"58",58,13169
"59",59,13398
"60",60,13330
"61",61,13487
"62",62,13590
"63",63,13358
"64",64,13299
"65",65,13503
"66",66,13503
"67",67,13583
"68",68,13450
"69",69,13917
"70",70,13720
"71",71,14947
"72",72,14699
"73",73,14840
"74",74,14697
"75",75,15336
"76",76,15905
"77",77,16303
"78",78,16603
"79",79,16710
"80",80,16409
"81",81,15935
"82",82,16191
"83",83,16151
"84",84,16370
"85",85,16067
"86",86,16217
"87",87,16387
"88",88,16521
"89",89,17542
"90",90,18909
"91",91,18782
"92",92,18388
"93",93,19318
"94",94,19188
"95",95,19402
"96",96,19827
"97",97,19451
"98",98,19279
"99",99,19669
"100",100,20119
"101",101,20780
"102",102,20621
"103",103,21855
"104",104,21581
"105",105,21975
"106",106,22580
"107",107,22414
"108",108,22300
"109",109,22354
"110",110,22366
"111",111,22845
"112",112,22653
"113",113,23358
"114",114,23932
"115",115,23884
"116",116,24289
"117",117,24043
"118",118,24037
"119",119,23928
"120",120,24742
"121",121,24954
"122",122,25257
"123",123,26756
"124",124,23355
"125",125,22778
"126",126,22597
"127",127,22236
"128",128,23535
"129",129,23346
"130",130,22315
"131",131,22891
"132",132,23180
"133",133,23336
"134",134,24160
"135",135,25166
"136",136,24350
"137",137,24486
"138",138,25888
"139",139,25113
"140",140,25331
"141",141,23802
"142",142,23883
"143",143,24842
"144",144,24708
"145",145,25223
"146",146,25461
"147",147,24358
"148",148,23657
"149",149,24412
"150",150,24165
"151",151,24267
"152",152,25041
"153",153,24499
"154",154,25757
"155",155,24679
"156",156,24586
"157",157,24800
"158",158,25607
"159",159,24497
"160",160,24427
"161",161,25053
"162",162,25764
"163",163,23756
"164",164,23620
"165",165,23720
"166",166,24170
"167",167,24780
"168",168,25497
"169",169,25370
"170",170,24785
"171",171,24170
"172",172,24657
"173",173,25172
"174",174,24596
"175",175,24420
"176",176,25489
"177",177,24693
"178",178,24385
"179",179,24852
"180",180,26369
"181",181,23964
"182",182,24163
"183",183,24542
"184",184,23956
"185",185,24281
"186",186,25375
"187",187,24620
"188",188,24394
"189",189,24788
"190",190,25695
"191",191,23980
"192",192,23273
"193",193,24729
"194",194,24087
"195",195,25085
"196",196,25434
"197",197,25209
"198",198,24970
"199",199,24894
"200",200,25094
"201",201,25375
"202",202,24895
"203",203,24872
"204",204,24743
"205",205,25133
"206",206,24564
"207",207,25685
"208",208,24708
"209",209,24307
"210",210,24250
"211",211,24674
"212",212,25575
"213",213,25149
"214",214,24261
"215",215,24824
"216",216,24994
"217",217,25383
"218",218,25572
"219",219,25920
"220",220,24748
"221",221,24055
"222",222,23700
"223",223,23720
"224",224,24429
"225",225,24019
"226",226,23803
"227",227,24312
"228",228,24629
"229",229,25911
"230",230,23358
"231",231,23509
"232",232,23824
"233",233,23933
"234",234,23942
"235",235,24151
"236",236,25008
"237",237,26290
"238",238,23550
"239",239,23187
"240",240,22780
"241",241,23176
"242",242,22985
"243",243,24497
"244",244,25129
"245",245,23952
"246",246,24042
"247",247,23775
"248",248,23562
"249",249,23788
"250",250,24187
"251",251,24588
"252",252,26711
"253",253,24084
"254",254,23602
"255",255,23391
"256",256,23826
"257",257,24719
"258",258,24851
"259",259,25104
"260",260,25329
"261",261,24030
"262",262,24190
"263",263,24989
"264",264,24779
"265",265,24914
"266",266,25125
"267",267,25467
"268",268,24807
"269",269,23850
"270",270,25200
"271",271,25628
"272",272,24087
"273",273,24440
"274",274,25147
"275",275,24919
"276",276,24608
