"Output_Metric","Parameter","mu","mu.star","sigma"
"pop_struct_after","age_impact",1212.34702924324,12120.2982579581,18600.8145272414
"pop_struct_after","MR_death_impact",5675.92804602,6078.70612496909,10130.1181874158
"pop_struct_after","MR_age_impact",407.111424831275,3741.95604591543,5566.70672068301
"pop_struct_after","age_recruit_impact_value",7825.9695222922,14010.6679709457,21894.2946079526
"pop_struct_after","MR_recruit_impact",9356.96825678089,10733.3291350109,19236.3948461179
"pop_struct_after","recruitment_const",5813.41677860624,15950.338924753,26295.8337047286
"pop_size_after","age_impact",-14871.0666666667,21802.8,31478.4888341072
"pop_size_after","MR_death_impact",16126.9333333333,16888.5333333333,27533.7004498886
"pop_size_after","MR_age_impact",345.333333333333,9210.4,16519.8299336596
"pop_size_after","age_recruit_impact_value",13665.0666666667,20563.4666666667,30792.8418027852
"pop_size_after","MR_recruit_impact",14927.4666666667,17320.8,29085.2001205823
"pop_size_after","recruitment_const",14765.2,23044.1333333333,33160.3135486822
"pop_growth_trend_after","age_impact",22.6812121212116,46.5503030303024,60.6993939380486
"pop_growth_trend_after","MR_death_impact",-4.33939393939386,15.7575757575756,35.0658894424123
"pop_growth_trend_after","MR_age_impact",3.07393939393941,71.597575757575,100.875872705581
"pop_growth_trend_after","age_recruit_impact_value",60.7503030303024,78.956363636363,118.62239382814
"pop_growth_trend_after","MR_recruit_impact",7.96363636363643,40.7272727272722,69.8057047867386
"pop_growth_trend_after","recruitment_const",-22.3090909090906,39.5963636363634,50.1904364010915
"mean_MR_seedling_soon","age_impact",-0.17084033654107,0.286135625838608,0.382628660302462
"mean_MR_seedling_soon","MR_death_impact",0.112220225273649,0.116258996491359,0.235525681693343
"mean_MR_seedling_soon","MR_age_impact",-0.0572840372973303,0.0635849117630271,0.184793246584455
"mean_MR_seedling_soon","age_recruit_impact_value",0.169617598221353,0.169656084902217,0.268970058232883
"mean_MR_seedling_soon","MR_recruit_impact",0.0550118682159161,0.171143586047297,0.314346758349204
"mean_MR_seedling_soon","recruitment_const",0.224443944676253,0.224443944676253,0.283784150556716
"mean_MR_subadult_soon","age_impact",-0.167309727645386,0.276436145022921,0.370816496635506
"mean_MR_subadult_soon","MR_death_impact",0.112924692461172,0.116614689202156,0.23597572675634
"mean_MR_subadult_soon","MR_age_impact",-0.0573289819650717,0.0632251318066912,0.182340973706214
"mean_MR_subadult_soon","age_recruit_impact_value",0.161249201571985,0.170656544462537,0.27057627673161
"mean_MR_subadult_soon","MR_recruit_impact",0.0608887692921475,0.169089091650341,0.311048885444421
"mean_MR_subadult_soon","recruitment_const",0.22721250564701,0.22721250564701,0.286555741975281
