"param_iteration","timeperiod","pop_struct","pop_size","mean_MR","sd_MR","pop_growth_trend","pop_growth_R2"
1,"Before",1162995.02056383,1350805,0.554430019807404,0.370930438222267,8.81733970801668,0.00667657198241261
1,"Soon",1078121.06014299,1306968,0.21847551499726,0.295423123589094,18.2302040816327,0.0336956016898909
1,"After",1115547.79085373,1325471,0.102828459295925,0.16216522559263,-1.48941176470586,9.59280792100884e-05
2,"Before",1185905.06233545,1320879,0.534698442465842,0.376612386700538,12.6067190301374,0.0399696363818858
2,"Soon",970114.389989618,1239021,0.0655235063395098,0.14433022467873,123.880672268908,0.351125780639602
2,"After",1074955.63376302,1299484,0.0408291758269615,0.0885924652095364,13.8873303167421,0.00743161983753304
3,"Before",1195915.85151113,1318654,0.520338224004048,0.378961307250089,-1.63288653632724,0.00137835240845282
3,"Soon",974887.026562156,1253443,0.152950738791428,0.25217836566934,40.0581512605041,0.214128122410773
3,"After",1107420.8146908,1296545,0.0550405754989667,0.105412780372735,1.81085972850689,0.000433462946009946
4,"Before",836225.227070462,1305487,0.566112985364205,0.367943267475711,10.4306753180227,0.0182639627791884
4,"Soon",758212.0560827,1191249,0.100805628141598,0.190768997214701,156.860744297719,0.56786863976824
4,"After",863395.542056411,1293071,0.0517112901439949,0.102619052840669,3.56633484162902,0.00145415901202982
5,"Before",865397.436992335,1304694,0.513794199954749,0.375079200944684,-3.96687441304542,0.00685930244945234
5,"Soon",661970.32497521,1230059,0.305538456270007,0.343224448935944,22.5060744297719,0.14608347914273
5,"After",785243.454571887,1272222,0.080042873833467,0.135961519647306,-11.3838009049773,0.0312699641478898
6,"Before",815031.255282236,1295977,0.459464753338398,0.374280421647441,-20.8701015965168,0.0275555442042837
6,"Soon",724269.884722615,1234802,0.117126857105408,0.204365157188638,61.9403601440576,0.300098485581444
6,"After",760527.183483103,1259051,0.0596813379094914,0.112898936244491,-2.33312217194569,0.000328892281463899
7,"Before",922981.485516736,1317264,0.471565017516634,0.378031825448348,-3.16434730641162,0.00226437626343938
7,"Soon",733587.230115896,1148500,0.0750203091201814,0.158335892890839,189.409459783914,0.65556316664068
7,"After",854116.330774409,1275915,0.0416420161444825,0.0911034986016741,-4.22126696832571,0.00191397599352921
8,"Before",1230266.82287802,1328226,0.497291371502043,0.375460487296254,-3.60283445744046,0.00397784888766725
8,"Soon",1069968.65138175,1282330,0.157261701295452,0.249736105204882,8.45896758703476,0.0150913376096749
8,"After",1154834.37643772,1317357,0.0689773163673173,0.122993825755197,0.302081447963826,1.11095368103984e-05
9,"Before",1258046.35393844,1339723,0.524792188061539,0.375702884234606,-1.04213267309823,0.000321118861595451
9,"Soon",1072479.22381621,1285036,0.0767314176277521,0.153672749273376,42.2291476590636,0.0757127662798349
9,"After",1128671.69002138,1304714,0.0483495451878116,0.0978675053192819,9.644705882353,0.00247959846559488
10,"Before",1129471.87157881,1342399,0.462808669406547,0.376253021867691,-8.3451293434646,0.0101437296097938
10,"Soon",952234.797927848,1215768,0.0615388258946019,0.129845383826398,163.106842737095,0.451956556378687
10,"After",1051839.23591362,1314695,0.0433222723790661,0.0919967774509706,-4.21276018099539,0.0017006600341961
11,"Before",467570.107279605,1262155,0.548570181006231,0.372154018249233,-9.22577478015885,0.0155250185414979
11,"Soon",192273.886066318,584356,0.162403034550839,0.264373062564278,-1.25714285714282,0.000104154517574256
11,"After",495423.532998145,1264933,0.0366308742485197,0.0856841660112685,2.15556561085978,0.0016920940771896
12,"Before",1119696.70586246,1320468,0.540131473180497,0.372988122560357,4.35259967557413,0.00601425980644644
12,"Soon",947959.934702354,1266989,0.0907296047211518,0.17397681610283,52.7543337334934,0.166882076705019
12,"After",1024788.78676543,1299757,0.0519300002452866,0.102100587649817,-21.2066968325791,0.020247555365767
13,"Before",765063.852223724,1295541,0.461466341618936,0.370524129130771,0.988346281908926,0.00013371447684471
13,"Soon",719725.64312823,1249953,0.145084606882398,0.234057436592104,10.0362545018008,0.0126359485363244
13,"After",812941.716653208,1288943,0.0620472791390503,0.114508849330482,13.1223529411765,0.0185871360110968
14,"Before",695158.096176917,1295179,0.437819664849044,0.370169124959357,-8.35358149065147,0.014479111937751
14,"Soon",754130.050911645,1233719,0.254066576190552,0.305755950220972,78.5293157262905,0.228081177879007
14,"After",838554.736900957,1291238,0.124868681574094,0.182604104853223,6.93782805429869,0.00434547862167199
15,"Before",306847.666199622,1199846,0.425149682214175,0.366037484396578,-12.2247075898575,0.0225395484727352
15,"Soon",329319.250918806,1147543,0.29953239892003,0.33393516126118,-30.9539015606243,0.19572737787654
15,"After",385835.671960634,1202985,0.0721128138345012,0.127358502174095,-9.59601809954735,0.0143043454440148
16,"Before",1166526.2670203,1318622,0.50719948473266,0.367280042901411,3.54341330145989,0.0048869717104893
16,"Soon",1033684.75130047,1291951,0.285632084895204,0.319258356534239,11.9364705882353,0.0218710721651683
