"param_iteration","timeperiod","Lifestage","mean_MR","sd_MR"
1,"Soon","Adult",0.198863698953889,0.289394000379654
1,"Soon","Seedling",0.242668652570812,0.301436602947076
1,"Soon","Subadult",0.227499535018344,0.289390815537622
1,"After","Adult",0.0764932113612931,0.142373816650016
1,"After","Seedling",0.13242446320822,0.199804590428197
1,"After","Subadult",0.11809592861702,0.179769372143765
2,"Soon","Adult",0.0807337656367628,0.195130886093369
2,"Soon","Seedling",0.108839816893248,0.178291040436258
2,"Soon","Subadult",0.0667311834633926,0.12881790511847
2,"After","Adult",0.0183583970222519,0.0488785680885153
2,"After","Seedling",0.0791596053631697,0.129670789077962
2,"After","Subadult",0.0559596081386221,0.101652168392211
3,"Soon","Adult",0.152264881296961,0.247890992812295
3,"Soon","Seedling",0.162355908831247,0.232246176671965
3,"Soon","Subadult",0.153607018989955,0.230093367254238
3,"After","Adult",0.037571350787261,0.0816958559231129
3,"After","Seedling",0.0713045411963994,0.132554702124148
3,"After","Subadult",0.0809005258074995,0.128845502647692
4,"Soon","Adult",0.101087327013329,0.207135567517463
4,"Soon","Seedling",0.114782599270728,0.208919277322128
4,"Soon","Subadult",0.104787108106113,0.183128978439644
4,"After","Adult",0.0276563021892152,0.0594338610909894
4,"After","Seedling",0.065771017655624,0.112232051884928
4,"After","Subadult",0.0570850585034124,0.100421306631496
5,"Soon","Adult",0.326690603655004,0.367011599754081
5,"Soon","Seedling",0.298088201845668,0.347206508214356
5,"Soon","Subadult",0.269515576113162,0.329540181453094
5,"After","Adult",0.0763874109589317,0.133020381313074
5,"After","Seedling",0.0938692909966546,0.141143280619628
5,"After","Subadult",0.0772564619341271,0.12678676311119
6,"Soon","Adult",0.0811320089128256,0.171723583739992
6,"Soon","Seedling",0.157545001201149,0.245634204522273
6,"Soon","Subadult",0.121668789947356,0.221136580856915
6,"After","Adult",0.0340162090119542,0.0744458131229212
6,"After","Seedling",0.0929010591590827,0.13973790114726
6,"After","Subadult",0.0697682240363365,0.125449682981904
7,"Soon","Adult",0.0782030923771297,0.173724048661781
7,"Soon","Seedling",0.104930073267018,0.194326265208632
7,"Soon","Subadult",0.0624066356042022,0.138196526511156
7,"After","Adult",0.0180136718693306,0.0475294690633075
7,"After","Seedling",0.0872107365020757,0.129891734909815
7,"After","Subadult",0.0533511497228317,0.0964101942575536
8,"Soon","Adult",0.162571191076953,0.259005669769415
8,"Soon","Seedling",0.175355610652994,0.261211946900956
8,"Soon","Subadult",0.145256220463187,0.227360670001162
