"","time","sum_size"
"1",1,6199
"2",2,6395
"3",3,7192
"4",4,7383
"5",5,7250
"6",6,7364
"7",7,6978
"8",8,7397
"9",9,7667
"10",10,7653
"11",11,8039
"12",12,8169
"13",13,8161
"14",14,7721
"15",15,7686
"16",16,7623
"17",17,8428
"18",18,9421
"19",19,9310
"20",20,9576
"21",21,9202
"22",22,9417
"23",23,9596
"24",24,10220
"25",25,10630
"26",26,9700
"27",27,9769
"28",28,10090
"29",29,10839
"30",30,10245
"31",31,10171
"32",32,10996
"33",33,10738
"34",34,11133
"35",35,11303
"36",36,11766
"37",37,12232
"38",38,11869
"39",39,11446
"40",40,12069
"41",41,11130
"42",42,10729
"43",43,11491
"44",44,11207
"45",45,11286
"46",46,12028
"47",47,12304
"48",48,12396
"49",49,12293
"50",50,12431
"51",51,12596
"52",52,12317
"53",53,12406
"54",54,12493
"55",55,12799
"56",56,12507
"57",57,12585
"58",58,12305
"59",59,12818
"60",60,12764
"61",61,13385
"62",62,13972
"63",63,14168
"64",64,14522
"65",65,14462
"66",66,14098
"67",67,14189
"68",68,15302
"69",69,15255
"70",70,15440
"71",71,15970
"72",72,15772
"73",73,16089
"74",74,15968
"75",75,15334
"76",76,16366
"77",77,15435
"78",78,16636
"79",79,16140
"80",80,16385
"81",81,16130
"82",82,16304
"83",83,17012
"84",84,16328
"85",85,17555
"86",86,17082
"87",87,17186
"88",88,17841
"89",89,17311
"90",90,18185
"91",91,19179
"92",92,19407
"93",93,19628
"94",94,19233
"95",95,20041
"96",96,19668
"97",97,19436
"98",98,19274
"99",99,18825
"100",100,19917
"101",101,20452
"102",102,21716
"103",103,21858
"104",104,21840
"105",105,21643
"106",106,23231
"107",107,21816
"108",108,22354
"109",109,21800
"110",110,22772
"111",111,24071
"112",112,23985
"113",113,24730
"114",114,25333
"115",115,25350
"116",116,23640
"117",117,23335
"118",118,24709
"119",119,25573
"120",120,24694
"121",121,23800
"122",122,23202
"123",123,24052
"124",124,24845
"125",125,25140
"126",126,24828
"127",127,24958
"128",128,25715
"129",129,25066
"130",130,25181
"131",131,24495
"132",132,23752
"133",133,24455
"134",134,24438
"135",135,24982
"136",136,26410
"137",137,24126
"138",138,24124
"139",139,24285
"140",140,24523
"141",141,24688
"142",142,25699
"143",143,24213
"144",144,24477
"145",145,24312
"146",146,24579
"147",147,24232
"148",148,24244
"149",149,24879
"150",150,25791
"151",151,25403
"152",152,24104
"153",153,24020
"154",154,24395
"155",155,25450
"156",156,25160
"157",157,25599
"158",158,24504
"159",159,24011
"160",160,23823
"161",161,24890
"162",162,24996
"163",163,25259
"164",164,24557
"165",165,24172
"166",166,24275
"167",167,24599
"168",168,25301
"169",169,25994
"170",170,25025
"171",171,24762
"172",172,25001
"173",173,25298
"174",174,25977
"175",175,23633
"176",176,23364
"177",177,23555
"178",178,24218
"179",179,25434
"180",180,24382
"181",181,25189
"182",182,24046
"183",183,25187
"184",184,24992
"185",185,25292
"186",186,24566
"187",187,25157
"188",188,24843
"189",189,24043
"190",190,24458
"191",191,24574
"192",192,25330
"193",193,25349
"194",194,24495
"195",195,24739
"196",196,24903
"197",197,25999
"198",198,25136
"199",199,24217
"200",200,23847
"201",201,23897
"202",202,24381
"203",203,24294
"204",204,24832
"205",205,24633
"206",206,24211
"207",207,25005
"208",208,25738
"209",209,24305
"210",210,24534
"211",211,25887
"212",212,24462
"213",213,23760
"214",214,25124
"215",215,25116
"216",216,23982
"217",217,24811
"218",218,25430
"219",219,24568
"220",220,24691
"221",221,25054
"222",222,24707
"223",223,25188
"224",224,25805
"225",225,23962
"226",226,24578
"227",227,25067
"228",228,25540
"229",229,24947
"230",230,24653
"231",231,24388
"232",232,24716
"233",233,24800
"234",234,25030
"235",235,27223
"236",236,21791
"237",237,21936
"238",238,23159
"239",239,23077
"240",240,23573
"241",241,23367
"242",242,24550
"243",243,23576
"244",244,23160
"245",245,23042
"246",246,22930
"247",247,23126
"248",248,23826
"249",249,24332
"250",250,24079
"251",251,24938
"252",252,25496
"253",253,25130
"254",254,24126
"255",255,24137
"256",256,24546
"257",257,24623
"258",258,24820
"259",259,25165
"260",260,25287
"261",261,25251
"262",262,25244
"263",263,25449
"264",264,24918
"265",265,25651
