"","time","sum_size"
"1",1,4861
"2",2,5012
"3",3,5909
"4",4,6067
"5",5,5867
"6",6,6006
"7",7,6393
"8",8,6721
"9",9,6716
"10",10,6598
"11",11,6398
"12",12,6245
"13",13,6373
"14",14,6438
"15",15,6567
"16",16,6845
"17",17,7015
"18",18,7223
"19",19,6884
"20",20,6952
"21",21,7492
"22",22,7518
"23",23,7354
"24",24,7839
"25",25,7684
"26",26,7448
"27",27,7134
"28",28,7862
"29",29,7620
"30",30,7814
"31",31,8181
"32",32,8115
"33",33,8347
"34",34,8597
"35",35,8721
"36",36,8728
"37",37,8849
"38",38,8399
"39",39,8921
"40",40,8788
"41",41,8704
"42",42,8554
"43",43,8588
"44",44,9220
"45",45,9307
"46",46,9682
"47",47,9315
"48",48,9561
"49",49,9693
"50",50,9590
"51",51,9642
"52",52,10462
"53",53,10435
"54",54,10146
"55",55,9762
"56",56,9603
"57",57,9875
"58",58,9996
"59",59,10293
"60",60,10293
"61",61,10349
"62",62,10612
"63",63,10226
"64",64,9844
"65",65,10052
"66",66,11029
"67",67,10623
"68",68,10761
"69",69,10394
"70",70,10269
"71",71,10244
"72",72,10281
"73",73,10105
"74",74,9972
"75",75,9633
"76",76,10346
"77",77,10314
"78",78,11459
"79",79,10730
"80",80,11350
"81",81,11596
"82",82,11793
"83",83,11720
"84",84,12039
"85",85,12464
"86",86,12461
"87",87,12213
"88",88,12576
"89",89,11869
"90",90,11891
"91",91,11992
"92",92,11740
"93",93,11306
"94",94,11208
"95",95,11588
"96",96,11685
"97",97,12372
"98",98,11807
"99",99,12258
"100",100,12012
"101",101,12158
"102",102,12438
"103",103,12824
"104",104,12410
"105",105,12786
"106",106,13128
"107",107,13102
"108",108,12478
"109",109,12639
"110",110,13331
"111",111,13029
"112",112,13585
"113",113,13269
"114",114,13886
"115",115,13692
"116",116,14506
"117",117,14887
"118",118,15077
"119",119,15024
"120",120,14656
"121",121,15266
"122",122,15937
"123",123,15999
"124",124,16959
"125",125,17241
"126",126,17407
"127",127,17032
"128",128,17619
"129",129,17633
"130",130,16676
"131",131,18470
"132",132,18291
"133",133,17875
"134",134,18141
"135",135,18108
"136",136,18334
"137",137,17892
"138",138,17765
"139",139,18078
"140",140,18789
"141",141,19324
"142",142,19032
"143",143,19785
"144",144,20587
"145",145,19764
"146",146,19687
"147",147,20376
"148",148,20524
"149",149,20844
"150",150,21267
"151",151,21145
"152",152,21314
"153",153,21038
"154",154,21769
"155",155,21763
"156",156,21971
"157",157,21373
"158",158,22232
"159",159,22419
"160",160,22772
"161",161,22604
"162",162,22759
"163",163,22441
"164",164,22950
"165",165,22652
"166",166,23118
"167",167,23249
"168",168,24180
"169",169,24172
"170",170,24258
"171",171,23658
"172",172,23919
"173",173,24541
"174",174,24673
"175",175,24713
"176",176,24868
"177",177,25015
"178",178,25505
"179",179,24555
"180",180,26116
"181",181,23679
"182",182,24427
"183",183,24386
"184",184,24447
"185",185,24678
"186",186,24168
"187",187,24217
"188",188,23473
"189",189,24052
"190",190,24710
"191",191,25697
"192",192,24475
"193",193,24704
"194",194,25025
"195",195,24731
"196",196,24843
"197",197,25161
"198",198,25905
"199",199,23608
"200",200,23567
