"","time","sum_size"
"1",1,6103
"2",2,7573
"3",3,7694
"4",4,8044
"5",5,8596
"6",6,7815
"7",7,8232
"8",8,8649
"9",9,8132
"10",10,8531
"11",11,9309
"12",12,8987
"13",13,9016
"14",14,9357
"15",15,9938
"16",16,10169
"17",17,9812
"18",18,10195
"19",19,10392
"20",20,10776
"21",21,11327
"22",22,12040
"23",23,11871
"24",24,11600
"25",25,11632
"26",26,11528
"27",27,11617
"28",28,12721
"29",29,12612
"30",30,13196
"31",31,13972
"32",32,13286
"33",33,14023
"34",34,13076
"35",35,12980
"36",36,12932
"37",37,13110
"38",38,14178
"39",39,14176
"40",40,15496
"41",41,15450
"42",42,14888
"43",43,14681
"44",44,15327
"45",45,16568
"46",46,15888
"47",47,16082
"48",48,16413
"49",49,15958
"50",50,15742
"51",51,16160
"52",52,17465
"53",53,17552
"54",54,16770
"55",55,16488
"56",56,17366
"57",57,18093
"58",58,18073
"59",59,18249
"60",60,18717
"61",61,18913
"62",62,19220
"63",63,19776
"64",64,19299
"65",65,20039
"66",66,20146
"67",67,19311
"68",68,19555
"69",69,18741
"70",70,19870
"71",71,20142
"72",72,20438
"73",73,20135
"74",74,20222
"75",75,20192
"76",76,20387
"77",77,21698
"78",78,23504
"79",79,22447
"80",80,23216
"81",81,22272
"82",82,24192
"83",83,23037
"84",84,23994
"85",85,24956
"86",86,24548
"87",87,25345
"88",88,24835
"89",89,24233
"90",90,22932
"91",91,23827
"92",92,23868
"93",93,24273
"94",94,25381
"95",95,25254
"96",96,24792
"97",97,24569
"98",98,24933
"99",99,25885
"100",100,23980
"101",101,24539
"102",102,26084
"103",103,23570
"104",104,22959
"105",105,23200
"106",106,24471
"107",107,24533
"108",108,25756
"109",109,25251
"110",110,24781
"111",111,24991
"112",112,24108
"113",113,25371
"114",114,24243
"115",115,23904
"116",116,24968
"117",117,26537
"118",118,23708
"119",119,24877
"120",120,24559
"121",121,25104
"122",122,25795
"123",123,24991
"124",124,24080
"125",125,25624
"126",126,24085
"127",127,24153
"128",128,24102
"129",129,23295
"130",130,23955
"131",131,25256
"132",132,25916
"133",133,22948
"134",134,22868
"135",135,23421
"136",136,24332
"137",137,25364
"138",138,24916
"139",139,24376
"140",140,25435
"141",141,24384
"142",142,24945
"143",143,25579
"144",144,24258
"145",145,26749
"146",146,23578
"147",147,23514
"148",148,21048
"149",149,21760
"150",150,23246
"151",151,22907
"152",152,22219
"153",153,23595
"154",154,23580
"155",155,23074
"156",156,24044
"157",157,25822
"158",158,23239
"159",159,23442
"160",160,23954
"161",161,24436
"162",162,25637
"163",163,25736
"164",164,24974
"165",165,24447
"166",166,24027
"167",167,23676
"168",168,23718
"169",169,23715
"170",170,24136
"171",171,24037
"172",172,24232
"173",173,24861
"174",174,23926
"175",175,24547
"176",176,25377
"177",177,25526
"178",178,23600
"179",179,24524
"180",180,23526
"181",181,24293
"182",182,25358
"183",183,25252
"184",184,24985
"185",185,25359
"186",186,25721
"187",187,24453
"188",188,24324
"189",189,25500
"190",190,26034
"191",191,23987
"192",192,23342
"193",193,22978
"194",194,23973
"195",195,23718
"196",196,24304
"197",197,25140
"198",198,25097
"199",199,25315
"200",200,24092
"201",201,23947
"202",202,23465
"203",203,24080
"204",204,25903
"205",205,24469
"206",206,23828
"207",207,23245
"208",208,23837
"209",209,23919
"210",210,23467
"211",211,25265
"212",212,25940
"213",213,25128
"214",214,23328
"215",215,24495
"216",216,24175
"217",217,24661
"218",218,25165
"219",219,25087
"220",220,24049
"221",221,24625
"222",222,24279
"223",223,24467
"224",224,25978
"225",225,24529
"226",226,25236
"227",227,25265
"228",228,24906
"229",229,25407
"230",230,24191
"231",231,24937
"232",232,24443
"233",233,25159
"234",234,24597
"235",235,25420
"236",236,25280
"237",237,24770
"238",238,23997
"239",239,25746
"240",240,24563
"241",241,24651
"242",242,23879
"243",243,24472
"244",244,24763
"245",245,25035
"246",246,27792
"247",247,23158
"248",248,22233
"249",249,22368
"250",250,22407
"251",251,22877
"252",252,22408
"253",253,23003
"254",254,22639
"255",255,23560
"256",256,22272
"257",257,23129
"258",258,22581
"259",259,23793
"260",260,24567
"261",261,23982
"262",262,25028
"263",263,25106
"264",264,26447
"265",265,24552
"266",266,24671
"267",267,24442
"268",268,24817
"269",269,25039
"270",270,24761
"271",271,24505
"272",272,25629
"273",273,23755
"274",274,23021
"275",275,23055
"276",276,25937
"277",277,24639
"278",278,26148
"279",279,23878
"280",280,22750
"281",281,23450
"282",282,23388
"283",283,23029
"284",284,24072
"285",285,25085
"286",286,25557
"287",287,25144
"288",288,23166
"289",289,25245
"290",290,24898
"291",291,23966
"292",292,23623
"293",293,24231
"294",294,25056
"295",295,25372
"296",296,25943
"297",297,24715
"298",298,24756
"299",299,24763
"300",300,24460
"301",301,24240
"302",302,25133
"303",303,26941
"304",304,23278
"305",305,23162
"306",306,22890
"307",307,23631
"308",308,23412
"309",309,24296
"310",310,24597
"311",311,24800
"312",312,25309
"313",313,24675
"314",314,24801
"315",315,24561
"316",316,26002
"317",317,23477
"318",318,24309
"319",319,23645
"320",320,24125
"321",321,25228
"322",322,24258
"323",323,23766
"324",324,24640
"325",325,26178
"326",326,23801
"327",327,23759
"328",328,24499
"329",329,23569
"330",330,23897
"331",331,24136
"332",332,24823
"333",333,25293
"334",334,25147
"335",335,25505
"336",336,25298
"337",337,25431
"338",338,23116
"339",339,24191
"340",340,24141
"341",341,24723
"342",342,26194
"343",343,25383
